itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Rarely,14%,13%,16%,15%,15%,16%,12%,14%,18%,7%,26%,16%,14%,15%,13%,21%,13%,16%,13%,15%,10%,15%,19%,14%,15%,13%,16%,17%,12%,15%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Never,42%,42%,43%,24%,52%,43%,46%,47%,30%,35%,33%,47%,41%,53%,44%,31%,33%,38%,42%,46%,39%,42%,45%,43%,43%,35%,38%,43%,47%,39%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Never use social media,18%,25%,12%,4%,9%,18%,35%,19%,18%,18%,12%,17%,18%,17%,19%,16%,18%,16%,19%,19%,20%,18%,16%,18%,18%,20%,17%,20%,18%,18%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Don't know/Refused,1%,<.5%,<1%,0%,0%,0%,1%,<.5%,<1%,0%,0%,<.5%,<1%,0%,<1%,<1%,0%,<1%,1%,1%,0%,0%,0%,1%,<.5%,7%,0%,0%,<.5%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Now just a few questions for demographic purposes...Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Now just a few questions for demographic purposes...Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Now just a few questions for demographic purposes...Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Yes,13%,16%,11%,19%,17%,8%,12%,0%,0%,100%,0%,9%,16%,0%,0%,35%,45%,17%,18%,5%,15%,16%,10%,12%,12%,23%,16%,10%,13%,15%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No,85%,82%,89%,81%,83%,91%,87%,100%,98%,0%,100%,89%,84%,100%,100%,64%,55%,81%,80%,94%,85%,84%,89%,87%,87%,68%,84%,90%,85%,85%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,2%,1%,<.5%,0%,0%,1%,<1%,<.5%,2%,0%,0%,1%,<1%,0%,0%,<1%,<1%,2%,3%,1%,0%,<.5%,<1%,<1%,2%,9%,0%,<.5%,2%,<.5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Would you consider yourself:[IF biracial or multiracial ask: What races would that be?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Would you consider yourself:[IF biracial or multiracial ask: What races would that be?],Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Would you consider yourself:[IF biracial or multiracial ask: What races would that be?],Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",White,72%,69%,76%,64%,72%,73%,82%,100%,0%,51%,0%,76%,70%,99%,100%,21%,22%,60%,66%,86%,70%,73%,75%,67%,81%,53%,66%,85%,71%,67%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Black or African American,13%,10%,14%,16%,11%,12%,11%,0%,100%,5%,0%,10%,14%,0%,0%,38%,41%,19%,15%,5%,15%,11%,12%,20%,5%,11%,23%,3%,12%,20%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Asian or Asian American,3%,4%,2%,7%,5%,1%,<.5%,0%,0%,<1%,43%,5%,2%,0%,0%,19%,4%,4%,4%,<.5%,2%,2%,4%,4%,2%,4%,3%,2%,4%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Native American,2%,4%,1%,2%,2%,4%,<1%,0%,0%,8%,21%,1%,3%,0%,0%,4%,9%,3%,2%,2%,4%,2%,2%,2%,2%,6%,1%,3%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Some other race (specify),4%,6%,3%,3%,5%,4%,2%,<.5%,0%,24%,7%,3%,5%,<1%,<.5%,8%,13%,5%,6%,1%,4%,5%,3%,3%,4%,11%,4%,4%,4%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] More than one race,2%,3%,2%,4%,3%,3%,0%,0%,0%,3%,30%,2%,2%,0%,0%,8%,7%,3%,2%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,4%,4%,2%,4%,2%,2%,3%,0%,0%,9%,0%,2%,3%,0%,0%,2%,4%,5%,5%,2%,2%,3%,2%,3%,3%,13%,1%,2%,4%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself politically liberal, moderate or conservative?[FOLLOW UP: (If liberal or conservative) Is that very or somewhat?]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself politically liberal, moderate or conservative?[FOLLOW UP: (If liberal or conservative) Is that very or somewhat?]",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself politically liberal, moderate or conservative?[FOLLOW UP: (If liberal or conservative) Is that very or somewhat?]",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very liberal,11%,8%,13%,15%,14%,9%,10%,12%,11%,7%,13%,18%,7%,18%,8%,18%,6%,18%,12%,6%,10%,12%,14%,22%,1%,9%,28%,<1%,6%,23%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat liberal,13%,8%,17%,10%,16%,12%,12%,12%,22%,10%,10%,15%,11%,15%,10%,17%,14%,13%,15%,10%,12%,14%,14%,23%,4%,5%,25%,3%,13%,24%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Moderate,34%,39%,32%,48%,36%,35%,26%,33%,36%,42%,38%,38%,33%,38%,30%,40%,38%,32%,39%,30%,36%,33%,37%,39%,30%,38%,31%,23%,47%,38%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat conservative,19%,19%,18%,8%,16%,20%,26%,20%,18%,18%,9%,14%,21%,16%,23%,11%,19%,19%,15%,23%,21%,21%,14%,9%,28%,15%,11%,29%,18%,9%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very conservative,16%,18%,15%,13%,9%,19%,21%,18%,6%,15%,16%,11%,19%,12%,23%,9%,13%,10%,12%,25%,14%,15%,17%,2%,31%,12%,1%,41%,8%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,8%,5%,6%,8%,5%,4%,4%,7%,8%,14%,4%,8%,2%,6%,5%,11%,7%,8%,7%,7%,6%,3%,6%,6%,21%,3%,3%,8%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Under $25,000",10%,8%,12%,14%,4%,10%,12%,10%,9%,11%,12%,3%,14%,3%,15%,4%,14%,12%,8%,12%,36%,0%,0%,8%,12%,6%,12%,11%,7%,12%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","At least $25,000 but under $50,000",18%,18%,19%,27%,15%,11%,26%,16%,24%,21%,16%,9%,23%,9%,22%,10%,26%,13%,18%,19%,64%,0%,0%,18%,19%,12%,22%,17%,17%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","At least $50,000 but under $100,000",24%,22%,27%,29%,28%,22%,25%,25%,22%,29%,19%,24%,25%,22%,27%,31%,21%,25%,26%,22%,0%,100%,0%,26%,24%,21%,24%,22%,25%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","At least $100,000 but under $200,000",25%,30%,21%,18%,32%,29%,18%,25%,31%,21%,19%,32%,21%,34%,20%,28%,23%,28%,24%,24%,0%,0%,64%,25%,25%,20%,24%,28%,27%,24%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","$200,000 or more",14%,17%,12%,8%,16%,21%,10%,16%,5%,9%,23%,25%,8%,27%,9%,20%,6%,16%,14%,14%,0%,0%,36%,17%,11%,17%,14%,15%,15%,15%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,9%,7%,9%,5%,6%,8%,10%,7%,9%,8%,10%,7%,9%,6%,8%,6%,10%,6%,10%,10%,0%,0%,0%,6%,9%,24%,3%,8%,10%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Catholic,17%,17%,17%,13%,13%,16%,25%,16%,5%,37%,13%,15%,18%,15%,16%,15%,22%,17%,20%,13%,17%,16%,17%,15%,19%,13%,19%,20%,14%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Protestant (Christian),31%,27%,37%,20%,26%,33%,42%,34%,42%,17%,23%,31%,32%,32%,36%,31%,26%,23%,26%,43%,34%,33%,30%,24%,40%,26%,22%,47%,30%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Mormon (LDS),<1%,<.5%,1%,<.5%,0%,1%,1%,<1%,0%,0%,2%,1%,<.5%,1%,<1%,1%,0%,1%,<.5%,<1%,<.5%,<1%,<1%,<1%,1%,<1%,0%,2%,<1%,<.5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Jewish,2%,3%,2%,3%,2%,2%,2%,3%,0%,0%,1%,4%,1%,6%,2%,<1%,0%,3%,3%,<1%,<1%,2%,4%,3%,2%,2%,4%,1%,3%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Muslim,<1%,1%,<1%,6%,<.5%,<.5%,0%,<.5%,4%,0%,5%,<1%,<1%,0%,<.5%,4%,2%,2%,1%,<.5%,<1%,<.5%,2%,<1%,<1%,3%,<1%,0%,2%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",11%,11%,12%,12%,10%,13%,10%,10%,24%,9%,6%,7%,13%,7%,11%,6%,17%,10%,8%,15%,14%,14%,8%,10%,12%,10%,10%,11%,10%,11%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Greek/Russian Orthodox,<.5%,<1%,0%,1%,<.5%,0%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,<1%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<1%,0%,<.5%,<.5%,0%,<.5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Some other religion (specify),3%,4%,1%,3%,4%,3%,2%,2%,4%,2%,14%,3%,3%,2%,2%,5%,5%,3%,4%,2%,3%,3%,2%,4%,2%,4%,4%,1%,4%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No religious affiliation,30%,34%,28%,40%,44%,29%,15%,32%,19%,32%,34%,36%,28%,37%,29%,32%,26%,39%,33%,22%,29%,29%,35%,42%,21%,26%,40%,15%,34%,41%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,3%,2%,1%,2%,<1%,3%,2%,1%,2%,3%,2%,2%,2%,<.5%,2%,4%,2%,2%,3%,3%,<.5%,2%,<1%,<1%,2%,16%,<1%,1%,2%,<1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Yes,24%,21%,27%,14%,19%,28%,30%,23%,43%,17%,13%,21%,26%,20%,26%,25%,26%,19%,18%,33%,28%,27%,21%,15%,33%,16%,15%,40%,20%,15%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",No,21%,21%,22%,20%,18%,23%,25%,23%,18%,15%,28%,21%,21%,22%,23%,21%,18%,19%,21%,23%,24%,21%,21%,22%,20%,24%,21%,20%,24%,21%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",52%,56%,47%,62%,59%,48%,43%,51%,29%,69%,54%,56%,49%,56%,48%,52%,50%,60%,59%,38%,45%,48%,57%,59%,44%,57%,61%,37%,54%,60%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,3%,2%,4%,4%,4%,1%,3%,2%,10%,0%,5%,2%,4%,2%,2%,2%,6%,2%,2%,5%,3%,3%,<1%,4%,3%,3%,3%,3%,2%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
