itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",A lot,18%,23%,15%,11%,12%,22%,22%,23%,4%,12%,7%,14%,21%,17%,27%,8%,8%,21%,13%,21%,17%,13%,14%,27%,0%,39%,2%,1%,43%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some,23%,31%,16%,25%,29%,22%,18%,25%,10%,23%,17%,18%,26%,20%,28%,15%,19%,25%,16%,26%,21%,18%,20%,29%,4%,41%,25%,6%,37%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not much,19%,14%,24%,27%,18%,17%,17%,17%,24%,22%,33%,21%,19%,17%,16%,29%,24%,18%,18%,20%,21%,19%,22%,17%,25%,12%,27%,25%,11%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all,36%,28%,44%,34%,37%,36%,41%,33%,60%,39%,41%,44%,31%,45%,25%,46%,47%,34%,48%,28%,40%,47%,40%,24%,70%,3%,32%,67%,6%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,5%,2%,2%,3%,4%,1%,3%,1%,3%,3%,2%,4%,1%,4%,3%,2%,2%,5%,5%,<1%,3%,4%,3%,<1%,4%,13%,1%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has committed serious federal crimes,54%,41%,65%,66%,52%,50%,56%,45%,83%,64%,70%,61%,49%,58%,38%,70%,73%,53%,63%,45%,59%,66%,59%,38%,92%,16%,56%,88%,19%,52%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has not committed serious federal crimes,37%,49%,27%,26%,39%,41%,38%,46%,9%,27%,22%,29%,42%,32%,54%,24%,17%,36%,27%,45%,35%,26%,32%,51%,3%,74%,17%,7%,72%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,9%,10%,8%,8%,10%,9%,5%,9%,7%,10%,8%,10%,9%,11%,8%,6%,10%,11%,10%,10%,7%,8%,9%,11%,5%,10%,26%,5%,9%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What comes closer to your view about Donald Trump's actions after the 2020 election?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What comes closer to your view about Donald Trump's actions after the 2020 election?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What comes closer to your view about Donald Trump's actions after the 2020 election?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",He was just exercising his right to contest the election,43%,51%,35%,43%,43%,47%,35%,48%,15%,38%,38%,32%,49%,35%,57%,25%,32%,44%,35%,49%,39%,32%,36%,58%,5%,81%,35%,8%,78%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",He went so far that he threatened American democracy,51%,44%,59%,51%,52%,47%,60%,46%,82%,54%,56%,62%,45%,59%,38%,71%,61%,52%,61%,45%,52%,60%,58%,37%,94%,11%,45%,91%,15%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,5%,6%,6%,5%,6%,5%,5%,4%,8%,7%,6%,6%,6%,5%,4%,7%,4%,4%,6%,9%,8%,6%,4%,1%,8%,20%,2%,7%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",A lot of attention,26%,29%,24%,14%,15%,28%,42%,27%,24%,28%,21%,28%,26%,29%,26%,25%,25%,23%,27%,24%,31%,32%,28%,21%,31%,25%,9%,32%,27%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some attention,36%,35%,37%,31%,45%,36%,32%,36%,36%,40%,28%,35%,37%,36%,36%,34%,36%,35%,37%,38%,34%,33%,37%,37%,40%,34%,27%,42%,31%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only a little attention,24%,21%,26%,38%,24%,25%,17%,23%,25%,19%,39%,24%,24%,22%,25%,31%,25%,30%,21%,22%,23%,24%,24%,24%,21%,25%,34%,17%,27%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No attention at all,13%,14%,12%,15%,16%,11%,10%,13%,15%,10%,12%,12%,13%,13%,13%,10%,13%,11%,15%,15%,11%,11%,11%,17%,7%,17%,27%,7%,15%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<1%,<1%,<1%,<.5%,0%,0%,<.5%,0%,3%,0%,<.5%,<1%,<.5%,0%,0%,2%,<.5%,0%,1%,<1%,0%,<1%,1%,<1%,0%,3%,1%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very serious,30%,20%,40%,32%,29%,32%,32%,25%,55%,42%,31%,31%,30%,30%,22%,33%,49%,30%,33%,26%,35%,39%,32%,22%,54%,8%,25%,56%,9%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat serious,28%,25%,30%,38%,29%,23%,29%,27%,26%,26%,40%,33%,25%,31%,25%,40%,24%,29%,32%,25%,28%,27%,31%,24%,36%,19%,30%,33%,21%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not too serious,14%,18%,11%,16%,17%,14%,13%,17%,2%,12%,10%,11%,17%,13%,21%,6%,10%,13%,15%,14%,16%,16%,10%,18%,6%,24%,9%,6%,23%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all serious,22%,30%,15%,11%,19%,26%,22%,25%,12%,13%,12%,18%,23%,20%,28%,14%,12%,22%,13%,29%,17%,14%,20%,29%,2%,43%,13%,3%,43%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,6%,7%,5%,2%,6%,6%,5%,6%,5%,7%,6%,7%,5%,7%,5%,7%,5%,5%,7%,7%,4%,4%,7%,6%,2%,6%,24%,3%,4%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Serious,58%,45%,70%,70%,58%,55%,61%,52%,81%,69%,71%,64%,55%,61%,47%,74%,73%,59%,65%,50%,62%,66%,63%,46%,90%,27%,54%,88%,30%,54%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Not serious,36%,48%,25%,28%,36%,39%,35%,43%,15%,25%,23%,29%,40%,32%,49%,20%,22%,36%,28%,43%,33%,30%,30%,48%,7%,66%,22%,9%,66%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump should be found guilty,46%,36%,55%,57%,44%,44%,47%,39%,73%,59%,60%,52%,42%,48%,33%,62%,65%,39%,55%,39%,55%,57%,51%,32%,84%,10%,37%,84%,13%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump should be found NOT guilty,36%,44%,28%,24%,33%,41%,38%,42%,15%,28%,23%,28%,40%,30%,48%,23%,22%,34%,30%,44%,30%,29%,30%,47%,3%,71%,13%,6%,71%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,18%,20%,17%,18%,23%,14%,14%,20%,12%,13%,17%,20%,18%,22%,19%,15%,13%,27%,15%,17%,15%,14%,19%,21%,12%,19%,49%,10%,16%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Israel,42%,50%,35%,15%,31%,52%,54%,48%,25%,29%,27%,37%,45%,44%,50%,19%,32%,40%,38%,43%,44%,35%,40%,49%,24%,63%,18%,27%,65%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Palestinians,24%,19%,29%,45%,30%,15%,19%,20%,35%,33%,40%,30%,21%,26%,16%,42%,32%,16%,33%,18%,32%,38%,21%,18%,41%,9%,18%,41%,10%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Both equally (Includes neither),18%,17%,18%,16%,18%,19%,15%,18%,19%,18%,16%,18%,18%,16%,19%,22%,16%,20%,18%,20%,11%,12%,21%,17%,18%,16%,23%,18%,14%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,17%,14%,18%,23%,21%,14%,12%,14%,20%,21%,17%,15%,17%,14%,15%,17%,20%,23%,11%,18%,13%,15%,18%,16%,17%,12%,42%,15%,12%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Fox News,11%,12%,10%,6%,7%,13%,15%,13%,4%,4%,7%,9%,12%,10%,15%,6%,4%,6%,11%,15%,10%,8%,10%,14%,2%,21%,3%,2%,29%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] CNN,11%,10%,11%,10%,9%,12%,13%,9%,20%,10%,14%,11%,11%,9%,10%,16%,14%,8%,13%,10%,11%,12%,11%,9%,17%,6%,6%,19%,3%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] MSNBC,3%,2%,4%,0%,1%,2%,7%,3%,5%,2%,0%,3%,3%,3%,3%,3%,2%,3%,4%,2%,3%,3%,4%,2%,6%,<.5%,0%,6%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Public Radio/NPR/PBS,4%,3%,5%,2%,6%,3%,4%,5%,2%,3%,1%,7%,2%,10%,2%,3%,2%,5%,5%,3%,2%,3%,6%,2%,7%,<.5%,5%,6%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Talk radio/conservative personality,1%,2%,<1%,2%,<.5%,2%,1%,2%,0%,2%,0%,<.5%,2%,<.5%,2%,0%,1%,2%,1%,<1%,1%,2%,2%,<.5%,<.5%,3%,0%,<.5%,3%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National television networks, like CBS, NBC or ABC",11%,8%,13%,3%,7%,12%,16%,11%,13%,20%,1%,10%,11%,12%,10%,8%,14%,15%,11%,7%,12%,8%,12%,11%,14%,7%,19%,16%,8%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Local broadcast news (includes non-talk, non-public local radio)",8%,8%,10%,9%,6%,9%,11%,7%,13%,13%,9%,6%,10%,5%,8%,6%,16%,11%,9%,6%,9%,8%,9%,8%,8%,9%,7%,11%,8%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",5%,5%,5%,4%,7%,5%,4%,6%,2%,2%,6%,11%,2%,12%,2%,7%,1%,4%,8%,4%,6%,8%,5%,3%,10%,<1%,<1%,10%,<.5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Local print or online news organizations,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,<.5%,0%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,0%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Social media,17%,17%,16%,41%,23%,12%,2%,12%,24%,27%,32%,18%,17%,13%,12%,28%,27%,12%,18%,20%,16%,20%,17%,15%,14%,18%,26%,15%,13%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Friends and family,<.5%,<.5%,<.5%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,<1%,0%,<.5%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",1%,1%,2%,<1%,4%,1%,<1%,2%,<1%,0%,4%,3%,<1%,3%,<1%,3%,<1%,2%,2%,<1%,2%,2%,1%,<1%,2%,<1%,0%,2%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,4%,4%,9%,3%,<.5%,5%,1%,3%,3%,4%,4%,4%,5%,6%,<1%,5%,3%,3%,5%,2%,3%,6%,4%,4%,3%,4%,3%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Conservative news sites,3%,4%,2%,2%,2%,3%,4%,3%,2%,<1%,2%,2%,3%,2%,5%,1%,2%,3%,<1%,2%,4%,3%,3%,2%,<1%,5%,1%,0%,5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Newsmax,1%,2%,<.5%,0%,<.5%,2%,1%,1%,1%,<1%,1%,<1%,2%,<1%,2%,1%,<1%,1%,<.5%,2%,<1%,<.5%,2%,2%,0%,3%,1%,0%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<1%,0%,<.5%,1%,0%,<1%,<1%,0%,0%,<.5%,<.5%,<.5%,<1%,<1%,0%,0%,0%,1%,<.5%,<.5%,<1%,0%,<1%,<.5%,0%,0%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Doesn’t consume news,3%,3%,3%,5%,2%,4%,2%,3%,1%,4%,3%,2%,4%,2%,5%,<1%,4%,2%,4%,3%,3%,2%,4%,4%,2%,5%,2%,<1%,6%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (includes no preference and the internet),10%,13%,7%,7%,12%,11%,9%,11%,6%,6%,12%,10%,11%,10%,12%,9%,7%,13%,6%,11%,9%,13%,6%,13%,8%,12%,12%,6%,8%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,5%,5%,5%,4%,9%,5%,4%,3%,5%,4%,6%,4%,5%,2%,4%,6%,4%,7%,4%,6%,4%,8%,4%,6%,12%,2%,8%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,53%,49%,58%,82%,56%,54%,36%,51%,64%,61%,56%,56%,52%,53%,50%,67%,58%,49%,56%,55%,52%,56%,52%,53%,54%,54%,43%,59%,53%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,17%,16%,18%,11%,17%,19%,22%,18%,16%,16%,19%,16%,19%,18%,18%,10%,21%,18%,18%,15%,20%,20%,14%,18%,16%,17%,25%,15%,21%,16%
