itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly support,38%,44%,33%,21%,28%,36%,55%,40%,34%,28%,43%,45%,33%,49%,35%,39%,31%,40%,37%,34%,42%,40%,41%,33%,66%,15%,20%,60%,22%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat support,24%,23%,25%,34%,27%,21%,21%,25%,21%,23%,23%,25%,23%,28%,23%,21%,24%,20%,27%,21%,29%,31%,24%,20%,20%,27%,26%,23%,29%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat oppose,12%,10%,14%,17%,16%,14%,6%,11%,16%,16%,10%,9%,14%,9%,12%,9%,19%,16%,11%,12%,9%,8%,11%,16%,6%,16%,18%,7%,11%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly oppose,21%,20%,22%,25%,26%,26%,10%,19%,21%,28%,20%,18%,23%,12%,24%,30%,20%,21%,21%,23%,19%,19%,21%,24%,6%,35%,25%,9%,32%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of this,<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,3%,6%,2%,3%,3%,8%,5%,7%,5%,3%,2%,7%,2%,6%,1%,7%,3%,4%,9%,<1%,2%,4%,7%,2%,6%,12%,2%,7%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Support,62%,67%,58%,55%,55%,57%,76%,65%,55%,51%,67%,71%,56%,77%,58%,59%,54%,60%,64%,55%,71%,71%,65%,53%,86%,42%,46%,82%,50%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Oppose,33%,30%,36%,43%,42%,40%,16%,30%,37%,44%,30%,27%,37%,21%,36%,39%,39%,36%,32%,36%,29%,27%,31%,39%,12%,52%,43%,16%,43%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly support,33%,34%,32%,8%,24%,42%,40%,36%,21%,23%,32%,31%,33%,32%,38%,31%,20%,35%,27%,35%,32%,27%,33%,35%,13%,53%,18%,13%,56%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat support,18%,20%,17%,25%,20%,16%,18%,18%,20%,24%,9%,23%,15%,24%,14%,21%,18%,16%,26%,15%,20%,23%,19%,16%,24%,13%,23%,21%,12%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat oppose,17%,17%,18%,29%,23%,14%,12%,18%,20%,16%,17%,16%,19%,17%,19%,15%,20%,15%,21%,18%,16%,18%,15%,20%,25%,10%,22%,27%,7%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly oppose,24%,22%,26%,33%,27%,22%,19%,21%,29%,29%,38%,26%,23%,24%,20%,28%,32%,27%,21%,21%,28%,24%,28%,20%,32%,17%,26%,33%,18%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of this,<.5%,<.5%,<.5%,<1%,0%,<.5%,0%,<.5%,0%,0%,1%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,7%,7%,7%,4%,6%,6%,10%,6%,10%,9%,1%,4%,10%,3%,9%,5%,9%,7%,5%,10%,5%,7%,5%,9%,7%,7%,11%,7%,8%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Support,51%,54%,49%,33%,44%,58%,59%,54%,41%,47%,41%,55%,48%,56%,53%,52%,38%,50%,53%,51%,51%,50%,52%,51%,37%,66%,41%,34%,68%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Oppose,42%,39%,44%,62%,50%,36%,31%,39%,49%,45%,56%,41%,42%,41%,38%,42%,52%,42%,42%,39%,44%,43%,42%,40%,56%,27%,48%,60%,24%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has committed serious federal crimes,53%,50%,55%,72%,45%,47%,57%,47%,74%,65%,65%,61%,47%,59%,39%,67%,69%,54%,55%,43%,62%,65%,58%,40%,92%,18%,46%,86%,18%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has not committed serious federal crimes,38%,39%,36%,23%,37%,45%,38%,43%,17%,28%,24%,32%,42%,34%,48%,24%,23%,33%,33%,48%,30%,27%,33%,49%,3%,71%,25%,9%,70%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,10%,9%,4%,18%,9%,5%,10%,9%,6%,11%,7%,11%,6%,13%,9%,8%,12%,12%,9%,7%,8%,9%,11%,5%,11%,29%,5%,12%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Fox News,11%,10%,12%,8%,7%,13%,14%,13%,1%,11%,8%,9%,13%,10%,15%,5%,8%,10%,7%,14%,11%,6%,12%,13%,<1%,21%,9%,2%,25%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] CNN,8%,8%,7%,7%,9%,10%,4%,5%,22%,8%,11%,8%,7%,6%,4%,14%,13%,5%,10%,8%,8%,13%,8%,4%,10%,6%,7%,16%,2%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] MSNBC,3%,3%,3%,<1%,0%,3%,7%,3%,8%,<1%,0%,5%,2%,5%,1%,3%,4%,2%,2%,3%,5%,4%,4%,1%,7%,<.5%,0%,8%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Public Radio/NPR/PBS,3%,4%,3%,4%,5%,3%,2%,3%,1%,<.5%,10%,5%,2%,5%,2%,6%,<1%,3%,4%,3%,3%,7%,2%,3%,6%,<.5%,2%,5%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Talk radio/conservative personality,<.5%,<1%,0%,<.5%,0%,<.5%,<1%,<.5%,0%,0%,0%,0%,<1%,0%,<1%,0%,0%,1%,0%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National television networks, like CBS, NBC or ABC",14%,12%,16%,5%,10%,12%,22%,14%,13%,18%,11%,12%,14%,14%,14%,10%,17%,13%,17%,15%,10%,14%,11%,17%,16%,11%,19%,15%,15%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Local broadcast news (includes non-talk, non-public local radio)",7%,5%,9%,3%,8%,5%,10%,7%,8%,3%,8%,2%,10%,2%,11%,4%,8%,9%,7%,6%,6%,4%,6%,10%,8%,6%,10%,7%,5%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,8%,7%,11%,6%,6%,9%,7%,2%,7%,13%,13%,3%,14%,3%,12%,3%,7%,11%,4%,9%,10%,7%,6%,13%,3%,4%,11%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Local print or online news organizations,1%,1%,<1%,0%,<.5%,1%,2%,1%,1%,2%,2%,2%,<1%,2%,<1%,3%,<1%,1%,1%,1%,<1%,2%,2%,<.5%,2%,<1%,0%,1%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Social media,13%,15%,12%,32%,17%,12%,6%,12%,19%,20%,12%,11%,15%,7%,15%,21%,16%,12%,16%,15%,11%,15%,15%,10%,12%,14%,19%,10%,10%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Friends and family,<.5%,<.5%,<1%,<.5%,1%,<.5%,0%,<.5%,3%,0%,0%,<.5%,<1%,<.5%,<.5%,0%,2%,0%,<1%,<1%,0%,<.5%,<1%,0%,<.5%,<1%,0%,1%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",3%,3%,2%,4%,3%,4%,<.5%,3%,0%,4%,<1%,3%,2%,4%,3%,2%,2%,3%,2%,2%,3%,3%,4%,1%,3%,2%,2%,3%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,3%,6%,7%,5%,6%,3%,5%,5%,5%,2%,5%,5%,5%,5%,3%,5%,6%,4%,5%,4%,5%,5%,4%,5%,4%,6%,6%,3%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Conservative news sites,3%,4%,2%,4%,3%,4%,2%,4%,0%,2%,1%,2%,3%,3%,4%,1%,1%,3%,<1%,5%,2%,2%,2%,5%,<.5%,6%,0%,<.5%,7%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Newsmax,1%,2%,1%,0%,1%,2%,2%,2%,0%,0%,0%,2%,1%,2%,2%,0%,0%,3%,2%,1%,<.5%,0%,2%,2%,0%,3%,0%,0%,3%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,<1%,0%,1%,2%,0%,<1%,0%,2%,4%,<1%,1%,0%,<1%,2%,2%,<.5%,0%,<.5%,3%,0%,1%,<1%,1%,0%,3%,3%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Doesn’t consume news,2%,2%,1%,<1%,2%,1%,<1%,2%,1%,<.5%,0%,<1%,2%,<1%,3%,<.5%,<1%,3%,2%,<1%,1%,<.5%,2%,2%,<.5%,3%,0%,<.5%,4%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (includes no preference and the internet),13%,14%,12%,7%,15%,12%,13%,14%,11%,10%,14%,14%,12%,16%,12%,11%,12%,16%,9%,11%,17%,11%,14%,12%,12%,14%,12%,9%,15%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,4%,4%,5%,7%,4%,3%,4%,3%,7%,2%,5%,4%,5%,4%,4%,5%,3%,5%,4%,6%,3%,4%,6%,3%,5%,7%,4%,4%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,49%,42%,56%,77%,55%,48%,35%,49%,48%,55%,50%,54%,46%,52%,46%,57%,48%,47%,56%,46%,50%,47%,54%,45%,53%,48%,34%,53%,43%,54%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,20%,23%,17%,17%,22%,23%,16%,19%,22%,26%,19%,20%,20%,19%,18%,19%,25%,21%,19%,22%,18%,22%,20%,20%,17%,22%,26%,19%,21%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,13%,15%,11%,5%,12%,13%,17%,14%,12%,7%,9%,11%,14%,12%,15%,10%,9%,13%,10%,17%,9%,13%,11%,15%,11%,15%,12%,11%,17%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,18%,20%,16%,1%,10%,16%,31%,19%,16%,11%,21%,15%,19%,16%,20%,13%,17%,18%,15%,16%,22%,18%,16%,20%,19%,14%,27%,16%,19%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,2%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<1%,<1%,0%,0%,0%,0%,<1%,0%,<1%,<1%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,13%,11%,15%,43%,14%,9%,5%,12%,25%,18%,7%,10%,15%,6%,15%,20%,16%,6%,17%,16%,13%,11%,15%,12%,13%,13%,15%,12%,11%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,9%,9%,10%,15%,14%,11%,3%,8%,8%,20%,8%,11%,9%,11%,6%,10%,16%,11%,11%,8%,9%,11%,11%,7%,10%,9%,8%,12%,6%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,9%,8%,10%,13%,11%,9%,7%,9%,10%,8%,10%,12%,7%,13%,6%,8%,10%,13%,5%,10%,8%,11%,10%,7%,13%,7%,6%,14%,7%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,50%,52%,49%,28%,49%,56%,54%,52%,39%,43%,53%,51%,49%,52%,52%,48%,40%,51%,52%,51%,48%,48%,48%,54%,44%,57%,44%,45%,57%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Never use social media,18%,20%,16%,1%,10%,16%,31%,19%,16%,11%,21%,15%,19%,16%,20%,13%,17%,18%,15%,16%,22%,18%,16%,20%,19%,14%,27%,16%,19%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,2%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<1%,<1%,0%,0%,0%,0%,<1%,0%,<1%,<1%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very liberal,12%,11%,13%,14%,13%,9%,12%,11%,18%,11%,14%,15%,9%,16%,8%,16%,13%,6%,15%,11%,16%,16%,13%,8%,24%,1%,8%,32%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat liberal,14%,10%,17%,21%,16%,10%,15%,13%,24%,6%,18%,17%,11%,16%,11%,19%,12%,19%,13%,9%,15%,17%,14%,12%,26%,3%,8%,27%,<1%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Moderate,31%,34%,29%,36%,36%,32%,26%,28%,29%,46%,32%,38%,27%,36%,24%,42%,33%,28%,38%,29%,30%,35%,32%,28%,35%,23%,54%,29%,14%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat conservative,21%,21%,22%,13%,20%,28%,18%,22%,19%,19%,23%,15%,25%,15%,26%,14%,23%,25%,20%,23%,16%,18%,23%,21%,10%,33%,17%,9%,37%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very conservative,19%,22%,16%,12%,11%,20%,28%,23%,5%,13%,12%,13%,23%,16%,28%,6%,13%,18%,11%,24%,20%,11%,16%,27%,3%,37%,3%,2%,45%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,5%,4%,2%,2%,2%,6%,5%,1%,2%,4%,<1%,3%,3%,5%,3%,3%,3%,3%,3%,2%,4%,2%,3%,10%,1%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Under $25,000",7%,5%,9%,11%,5%,6%,8%,6%,9%,15%,<.5%,2%,10%,1%,9%,3%,15%,4%,8%,9%,6%,4%,7%,8%,4%,10%,5%,5%,12%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $25,000 but under $50,000",15%,12%,18%,19%,9%,10%,23%,15%,17%,13%,16%,7%,21%,7%,21%,6%,22%,22%,13%,13%,14%,21%,13%,14%,14%,15%,19%,14%,13%,18%
