itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Somewhat important,10%,14%,8%,19%,14%,7%,5%,0%,10%,13%,9%,-,0%,13%,9%,3%,14%,10%,13%,7%,18%,31%,8%,6%,11%,9%,6%,14%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not very important,6%,10%,3%,5%,8%,6%,5%,0%,6%,4%,7%,-,0%,4%,7%,3%,4%,6%,14%,6%,11%,0%,5%,2%,9%,6%,10%,4%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Not at all important,9%,11%,8%,3%,9%,9%,14%,0%,9%,11%,8%,-,0%,11%,8%,<1%,4%,12%,12%,5%,36%,1%,3%,32%,15%,4%,48%,8%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,[VOL] Don’t know/Refused,3%,3%,3%,0%,5%,4%,2%,100%,3%,5%,2%,-,100%,5%,2%,8%,3%,2%,2%,2%,3%,12%,2%,6%,3%,2%,7%,4%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Extremely/Very important,72%,63%,79%,72%,64%,74%,74%,0%,72%,67%,74%,-,0%,67%,74%,85%,75%,70%,58%,81%,32%,56%,82%,53%,62%,77%,29%,70%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,NET Not very/Not at all important,15%,21%,11%,8%,17%,16%,19%,0%,15%,15%,15%,-,0%,15%,15%,4%,9%,18%,27%,10%,47%,1%,7%,35%,24%,11%,58%,12%,NA,NA
(Ask of Black respondents)  How important is being Black or African American to how you think about yourself?,Number of respondents,433,181,247,90,97,157,78,1,432,171,260,,1,171,259,51,77,274,31,341,62,30,248,20,128,302,27,92,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Extremely important,20%,4%,37%,32%,11%,7%,100%,-,20%,25%,12%,-,-,25%,12%,18%,19%,25%,18%,27%,9%,11%,40%,8%,11%,37%,6%,5%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Very important,26%,26%,27%,38%,31%,7%,0%,-,26%,17%,38%,-,-,17%,38%,82%,6%,18%,34%,29%,28%,8%,43%,10%,25%,9%,23%,54%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Somewhat important,27%,31%,23%,6%,49%,24%,0%,-,27%,35%,12%,-,-,35%,12%,0%,26%,19%,45%,27%,37%,0%,6%,61%,27%,25%,33%,31%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not very important,9%,17%,1%,7%,1%,26%,0%,-,9%,11%,8%,-,-,11%,8%,0%,6%,25%,0%,6%,0%,53%,11%,0%,2%,18%,0%,3%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Not at all important,17%,21%,12%,17%,7%,36%,0%,-,17%,13%,30%,-,-,13%,30%,0%,42%,13%,3%,10%,26%,29%,0%,22%,36%,9%,38%,7%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Extremely/Very important,47%,30%,64%,70%,43%,14%,100%,-,47%,42%,50%,-,-,42%,50%,100%,26%,43%,52%,56%,36%,18%,84%,18%,35%,47%,29%,59%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,NET Not very/Not at all important,26%,38%,13%,24%,9%,62%,0%,-,26%,23%,38%,-,-,23%,38%,0%,48%,38%,3%,17%,26%,82%,11%,22%,38%,28%,38%,10%,NA,NA
(Ask of Asian respondents)  How important is being Asian to how you think about yourself?,Number of respondents,66,33,33,26,19,17,2,,66,43,22,,,43,22,5,12,34,15,40,21,5,20,8,27,26,15,22,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Extremely important,30%,14%,62%,70%,31%,20%,45%,-,30%,45%,23%,-,-,45%,23%,21%,0%,56%,34%,41%,15%,0%,52%,60%,14%,34%,14%,54%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Very important,29%,39%,11%,30%,5%,19%,29%,-,29%,3%,43%,-,-,3%,43%,0%,81%,12%,12%,40%,13%,0%,36%,16%,24%,45%,17%,7%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Somewhat important,18%,21%,11%,0%,29%,33%,6%,-,18%,24%,15%,-,-,24%,15%,27%,7%,21%,19%,9%,29%,59%,12%,10%,26%,11%,18%,22%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not very important,8%,9%,6%,0%,5%,13%,10%,-,8%,0%,12%,-,-,0%,12%,0%,12%,8%,9%,4%,15%,0%,0%,15%,9%,0%,24%,9%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not at all important,13%,15%,10%,0%,30%,11%,10%,-,13%,29%,5%,-,-,29%,5%,51%,0%,3%,21%,5%,28%,0%,0%,0%,27%,10%,28%,0%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,[VOL] Don’t know/Refused,1%,2%,0%,0%,0%,4%,0%,-,1%,0%,2%,-,-,0%,2%,0%,0%,0%,5%,0%,0%,41%,0%,0%,0%,0%,0%,8%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Extremely/Very important,60%,53%,73%,100%,36%,39%,74%,-,60%,47%,66%,-,-,47%,66%,21%,81%,68%,46%,81%,28%,0%,88%,75%,38%,79%,30%,61%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Not very/Not at all important,21%,24%,16%,0%,35%,24%,20%,-,21%,29%,17%,-,-,29%,17%,51%,12%,11%,30%,10%,43%,0%,0%,15%,36%,10%,52%,9%,NA,NA
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Number of respondents,40,25,15,3,12,15,9,,40,16,24,,,16,24,5,6,16,13,20,18,2,9,6,21,16,14,9,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Extremely important,25%,24%,29%,0%,11%,58%,53%,-,25%,29%,21%,-,-,29%,21%,-,66%,16%,22%,26%,28%,0%,21%,74%,7%,31%,34%,0%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Very important,20%,20%,20%,8%,36%,8%,0%,-,20%,16%,23%,-,-,16%,23%,-,0%,21%,24%,4%,21%,72%,24%,0%,27%,46%,0%,0%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Somewhat important,25%,15%,51%,67%,18%,34%,0%,-,25%,23%,28%,-,-,23%,28%,-,34%,24%,24%,43%,16%,28%,18%,26%,25%,23%,15%,74%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not very important,14%,20%,0%,0%,30%,0%,0%,-,14%,27%,0%,-,-,27%,0%,-,0%,34%,0%,0%,24%,0%,0%,0%,28%,0%,28%,0%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not at all important,15%,22%,0%,25%,5%,0%,47%,-,15%,4%,28%,-,-,4%,28%,-,0%,5%,29%,27%,11%,0%,37%,0%,13%,0%,23%,26%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Extremely/Very important,45%,43%,49%,8%,47%,66%,53%,-,45%,45%,45%,-,-,45%,45%,-,66%,37%,47%,30%,50%,72%,45%,74%,34%,77%,34%,0%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Not very/Not at all important,29%,42%,0%,25%,35%,0%,47%,-,29%,31%,28%,-,-,31%,28%,-,0%,39%,29%,27%,35%,0%,37%,0%,41%,0%,51%,26%,NA,NA
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Number of respondents,21,13,8,6,8,5,2,,21,11,10,,,11,10,,3,10,8,8,11,2,4,4,12,6,8,5,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Extremely important,4%,0%,19%,0%,0%,14%,0%,-,4%,11%,0%,-,-,11%,0%,-,0%,4%,5%,8%,<1%,0%,20%,0%,2%,12%,0%,0%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Very important,17%,18%,21%,15%,31%,0%,0%,-,17%,32%,10%,-,-,32%,10%,-,58%,45%,0%,0%,16%,100%,0%,0%,22%,6%,0%,56%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Somewhat important,29%,23%,60%,49%,25%,36%,0%,-,29%,7%,40%,-,-,7%,40%,-,0%,51%,30%,19%,42%,0%,0%,32%,32%,25%,51%,0%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Not very important,12%,9%,0%,36%,0%,24%,0%,-,12%,19%,9%,-,-,19%,9%,-,0%,0%,18%,30%,0%,0%,37%,0%,17%,0%,0%,44%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Not at all important,38%,51%,0%,0%,43%,25%,100%,-,38%,31%,41%,-,-,31%,41%,-,42%,0%,47%,43%,40%,0%,43%,68%,28%,57%,49%,0%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,NET Extremely/Very important,21%,18%,40%,15%,31%,14%,0%,-,21%,43%,10%,-,-,43%,10%,-,58%,49%,5%,8%,17%,100%,20%,0%,24%,17%,0%,56%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,NET Not very/Not at all important,50%,59%,0%,36%,43%,50%,100%,-,50%,50%,50%,-,-,50%,50%,-,42%,0%,66%,73%,40%,0%,80%,68%,45%,57%,49%,44%,NA,NA
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Number of respondents,17,9,6,4,6,6,1,,17,9,8,,,9,8,,2,7,8,7,9,1,3,2,10,6,4,6,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,45%,44%,47%,36%,36%,47%,56%,48%,40%,59%,37%,64%,37%,48%,36%,43%,49%,42%,51%,65%,27%,23%,64%,34%,43%,67%,28%,30%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,50%,53%,48%,61%,60%,49%,39%,48%,55%,36%,59%,33%,59%,46%,60%,53%,46%,54%,45%,32%,69%,61%,33%,63%,53%,30%,68%,66%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,3%,5%,3%,4%,4%,5%,4%,5%,5%,4%,4%,4%,6%,4%,5%,5%,4%,4%,3%,4%,16%,3%,2%,4%,4%,5%,4%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Is the party of the working class,Describes the Democratic Party more,48%,41%,55%,55%,47%,45%,51%,43%,63%,58%,41%,56%,34%,68%,60%,47%,56%,41%,54%,89%,6%,27%,94%,10%,46%,88%,8%,44%,NA,NA
Is the party of the working class,Describes the Republican Party more,45%,52%,39%,38%,44%,50%,43%,51%,29%,35%,52%,38%,60%,24%,32%,46%,39%,53%,38%,6%,89%,35%,4%,86%,45%,7%,89%,45%,NA,NA
Is the party of the working class,[VOL] Don’t know/Refused,7%,7%,6%,7%,9%,5%,6%,6%,8%,6%,7%,5%,6%,8%,7%,7%,5%,6%,8%,5%,5%,38%,3%,4%,10%,5%,3%,11%,NA,NA
Is the party of the working class,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +3 Calculated using candidates’ unrounded vote shares
Keeps its promises,Describes the Democratic Party more,40%,34%,44%,47%,32%,37%,47%,36%,50%,49%,33%,49%,27%,51%,49%,38%,45%,35%,45%,78%,2%,8%,84%,6%,34%,77%,3%,33%,NA,NA
Keeps its promises,Describes the Republican Party more,44%,51%,38%,36%,44%,47%,42%,49%,31%,33%,51%,35%,59%,28%,33%,45%,38%,49%,38%,7%,83%,43%,6%,83%,42%,7%,85%,46%,NA,NA
Keeps its promises,[VOL] Don’t know/Refused,17%,15%,18%,17%,24%,16%,11%,15%,19%,18%,16%,16%,15%,21%,18%,17%,17%,15%,17%,16%,14%,48%,11%,11%,24%,16%,12%,21%,NA,NA
Keeps its promises,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares,MARGIN Republican +4 Calculated using candidates’ unrounded vote shares
Understands the problems facing people like me,Describes the Democratic Party more,49%,41%,56%,63%,47%,43%,53%,43%,66%,59%,43%,56%,34%,69%,64%,48%,56%,43%,54%,91%,5%,31%,94%,9%,48%,90%,6%,48%,NA,NA
Understands the problems facing people like me,Describes the Republican Party more,44%,52%,38%,30%,43%,52%,42%,52%,25%,35%,51%,38%,61%,23%,27%,43%,37%,51%,41%,4%,89%,26%,3%,88%,41%,6%,89%,40%,NA,NA
Understands the problems facing people like me,[VOL] Don’t know/Refused,7%,7%,6%,7%,10%,5%,5%,6%,8%,7%,6%,6%,5%,8%,9%,9%,7%,7%,4%,4%,5%,43%,3%,3%,10%,4%,5%,12%,NA,NA
Understands the problems facing people like me,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares,MARGIN Democrat +5 Calculated using candidates’ unrounded vote shares
Can fix the problems facing people like me,Describes the Democratic Party more,46%,39%,51%,58%,45%,41%,48%,40%,60%,55%,40%,52%,32%,66%,57%,44%,48%,41%,53%,88%,4%,14%,91%,8%,42%,86%,4%,43%,NA,NA
Can fix the problems facing people like me,Describes the Republican Party more,45%,53%,39%,31%,44%,52%,45%,52%,28%,36%,52%,40%,61%,23%,31%,45%,43%,51%,39%,4%,91%,40%,3%,87%,46%,6%,90%,43%,NA,NA
Can fix the problems facing people like me,[VOL] Don’t know/Refused,9%,8%,10%,11%,11%,7%,8%,8%,12%,9%,8%,8%,7%,12%,11%,11%,10%,8%,8%,8%,6%,45%,6%,5%,12%,8%,5%,14%,NA,NA
Can fix the problems facing people like me,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A great deal of difference,63%,61%,65%,44%,54%,65%,75%,67%,50%,65%,61%,71%,64%,48%,51%,63%,66%,64%,57%,63%,65%,39%,66%,68%,57%,63%,70%,42%,NA,NA
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A fair amount of difference,28%,28%,28%,44%,34%,28%,18%,26%,34%,27%,29%,23%,28%,38%,31%,29%,24%,28%,31%,30%,27%,23%,27%,26%,31%,29%,24%,37%,NA,NA
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Hardly any difference,8%,11%,5%,11%,11%,7%,4%,5%,14%,6%,9%,4%,6%,11%,16%,6%,8%,7%,10%,7%,7%,26%,6%,5%,11%,6%,5%,18%,NA,NA
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",[VOL] Don’t know/Refused,2%,<1%,2%,1%,1%,<1%,2%,1%,2%,1%,2%,<1%,2%,2%,2%,2%,2%,2%,1%,<1%,1%,12%,<1%,<1%,<1%,<1%,<1%,3%,NA,NA
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Do you think the Democratic Party is …,Too far to the left,49%,59%,40%,41%,50%,53%,46%,55%,31%,44%,52%,48%,60%,30%,32%,51%,42%,52%,47%,18%,82%,45%,12%,80%,52%,19%,82%,48%,NA,NA
Do you think the Democratic Party is …,Too far to the right,7%,7%,7%,12%,9%,5%,5%,6%,12%,7%,7%,5%,6%,14%,10%,5%,5%,7%,11%,10%,5%,8%,9%,4%,8%,9%,6%,8%,NA,NA
Do you think the Democratic Party is …,Not too far either way,39%,31%,46%,44%,36%,37%,43%,35%,50%,44%,36%,43%,29%,49%,51%,39%,47%,36%,37%,68%,9%,30%,76%,11%,36%,68%,9%,38%,NA,NA
Do you think the Democratic Party is …,[VOL] Don’t know/Refused,5%,2%,7%,3%,4%,5%,6%,4%,8%,4%,5%,3%,4%,7%,7%,5%,5%,5%,5%,4%,5%,18%,4%,4%,5%,4%,4%,6%,NA,NA
Do you think the Democratic Party is …,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Do you think the Republican Party is …,Too far to the right,46%,46%,46%,57%,51%,44%,42%,45%,48%,60%,37%,62%,33%,58%,43%,44%,50%,41%,52%,75%,15%,40%,71%,17%,51%,76%,14%,45%,NA,NA
Do you think the Republican Party is …,Too far to the left,6%,5%,6%,6%,4%,5%,7%,5%,9%,3%,8%,3%,6%,5%,12%,5%,6%,6%,6%,7%,4%,10%,8%,4%,5%,6%,6%,6%,NA,NA
Do you think the Republican Party is …,Not too far either way,42%,46%,39%,33%,40%,45%,43%,45%,34%,32%,49%,32%,55%,29%,37%,46%,39%,46%,36%,13%,75%,32%,15%,73%,38%,12%,76%,44%,NA,NA
Do you think the Republican Party is …,[VOL] Don’t know/Refused,6%,3%,9%,5%,5%,5%,8%,5%,9%,5%,7%,4%,6%,8%,8%,5%,6%,7%,6%,5%,6%,18%,6%,5%,5%,6%,5%,6%,NA,NA
Do you think the Republican Party is …,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for Black people to get ahead are now largely gone,35%,42%,29%,28%,32%,38%,35%,37%,28%,28%,40%,27%,45%,28%,28%,32%,32%,40%,32%,13%,59%,35%,13%,59%,32%,13%,60%,35%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for Black people to get ahead,57%,51%,63%,68%,61%,52%,58%,55%,64%,67%,51%,67%,46%,68%,64%,58%,63%,51%,61%,84%,30%,38%,84%,32%,60%,84%,28%,59%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,7%,8%,3%,7%,11%,7%,8%,7%,6%,9%,6%,9%,5%,9%,10%,5%,9%,7%,3%,11%,27%,3%,10%,8%,3%,12%,7%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
