itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Somewhat important,27%,26%,28%,100%,0%,12%,-,-,-,-,27%,-,27%,20%,33%,-,-,20%,33%,-,13%,100%,0%,100%,-,26%,28%,0%,14%,55%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not very important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,-,0%,0%,0%,0%,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not at all important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,-,0%,0%,0%,0%,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,-,0%,0%,0%,0%,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Extremely/Very important,73%,74%,72%,0%,100%,88%,-,-,-,-,73%,-,73%,80%,67%,-,-,80%,67%,-,87%,0%,100%,0%,-,74%,72%,100%,86%,45%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Not very/Not at all important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,-,0%,0%,0%,0%,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Number of respondents,6,4,2,2,1,3,,,,,6,,6,3,3,,,3,3,,3,1,1,1,,4,2,1,2,2
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Extremely important,6%,0%,100%,0%,0%,100%,-,-,-,-,6%,-,6%,12%,0%,-,-,12%,0%,-,0%,0%,100%,0%,100%,0%,-,-,-,6%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Very important,94%,100%,0%,100%,100%,0%,-,-,-,-,94%,-,94%,88%,100%,-,-,88%,100%,-,100%,100%,0%,100%,0%,100%,-,-,-,94%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Somewhat important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,-,-,-,0%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Not very important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,-,-,-,0%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Not at all important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,-,-,-,0%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,-,-,-,0%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,NET Extremely/Very important,100%,100%,100%,100%,100%,100%,-,-,-,-,100%,-,100%,100%,100%,-,-,100%,100%,-,100%,100%,100%,100%,100%,100%,-,-,-,100%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,NET Not very/Not at all important,0%,0%,0%,0%,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,0%,0%,0%,0%,0%,0%,-,-,-,0%
(Ask of Native Hawaiian or Pacific Islander respondents)  How important is being Native Hawaiian or Pacific Islander to how you think about yourself?,Number of respondents,4,2,1,2,1,1,,,,,4,,4,3,1,,,3,1,,1,1,1,1,1,3,,,,4
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,41%,37%,46%,28%,36%,41%,53%,45%,43%,33%,36%,45%,36%,47%,37%,47%,44%,47%,31%,66%,45%,33%,40%,35%,62%,24%,32%,60%,33%,40%
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,55%,62%,49%,71%,59%,57%,43%,52%,46%,63%,64%,52%,59%,47%,60%,49%,55%,44%,67%,30%,53%,63%,56%,60%,36%,73%,48%,38%,66%,55%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,<1%,6%,1%,4%,3%,5%,3%,10%,4%,0%,3%,5%,6%,2%,4%,2%,9%,3%,4%,2%,5%,4%,5%,2%,3%,20%,2%,2%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Is the party of the working class,Describes the Democratic Party more,43%,37%,49%,54%,44%,37%,45%,35%,71%,49%,42%,35%,54%,53%,36%,45%,28%,67%,46%,62%,54%,43%,24%,54%,87%,6%,25%,93%,10%,42%
Is the party of the working class,Describes the Republican Party more,51%,55%,48%,44%,44%,59%,53%,61%,18%,42%,50%,61%,37%,41%,58%,49%,70%,27%,43%,32%,40%,49%,72%,38%,8%,94%,19%,4%,89%,50%
Is the party of the working class,[VOL] Don’t know/Refused,6%,8%,3%,3%,11%,5%,2%,4%,11%,9%,8%,4%,9%,6%,6%,5%,2%,7%,11%,6%,6%,8%,4%,8%,5%,<1%,57%,3%,<1%,8%
Is the party of the working class,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares
Keeps its promises,Describes the Democratic Party more,35%,30%,40%,41%,32%,33%,37%,27%,67%,44%,22%,27%,45%,40%,32%,33%,23%,52%,42%,54%,40%,34%,21%,47%,76%,2%,5%,82%,5%,32%
Keeps its promises,Describes the Republican Party more,50%,54%,47%,42%,49%,55%,52%,58%,14%,44%,57%,58%,39%,45%,54%,53%,62%,31%,42%,28%,46%,51%,61%,44%,9%,89%,29%,8%,88%,45%
Keeps its promises,[VOL] Don’t know/Refused,15%,16%,13%,18%,19%,12%,11%,14%,19%,13%,20%,14%,16%,15%,15%,14%,14%,17%,16%,19%,13%,15%,18%,9%,16%,8%,66%,9%,7%,23%
Keeps its promises,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares,MARGIN Republican +15 Calculated using candidates’ unrounded vote shares
Understands the problems facing people like me,Describes the Democratic Party more,42%,35%,48%,56%,40%,34%,44%,32%,86%,49%,33%,32%,56%,48%,38%,39%,26%,63%,52%,62%,49%,44%,25%,53%,90%,3%,11%,93%,8%,40%
Understands the problems facing people like me,Describes the Republican Party more,50%,55%,46%,38%,47%,59%,53%,62%,5%,41%,50%,62%,33%,43%,55%,54%,69%,26%,37%,33%,37%,50%,69%,40%,4%,94%,26%,2%,90%,51%
Understands the problems facing people like me,[VOL] Don’t know/Refused,8%,10%,6%,5%,13%,7%,3%,6%,9%,10%,17%,6%,11%,8%,8%,7%,5%,11%,11%,5%,14%,7%,6%,7%,6%,4%,64%,5%,3%,9%
Understands the problems facing people like me,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares,MARGIN Republican +9 Calculated using candidates’ unrounded vote shares
Can fix the problems facing people like me,Describes the Democratic Party more,40%,36%,45%,50%,40%,38%,40%,32%,72%,48%,37%,32%,52%,49%,35%,42%,25%,60%,48%,56%,49%,44%,25%,47%,88%,3%,4%,95%,7%,37%
Can fix the problems facing people like me,Describes the Republican Party more,51%,55%,47%,42%,45%,57%,54%,60%,16%,43%,52%,60%,37%,42%,56%,52%,66%,27%,43%,32%,40%,49%,67%,46%,5%,93%,33%,2%,89%,52%
Can fix the problems facing people like me,[VOL] Don’t know/Refused,9%,9%,8%,8%,14%,5%,6%,8%,13%,9%,11%,8%,11%,9%,9%,6%,9%,13%,9%,13%,11%,7%,8%,8%,7%,5%,62%,3%,4%,11%
Can fix the problems facing people like me,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares,MARGIN Republican +10 Calculated using candidates’ unrounded vote shares
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A great deal of difference,61%,55%,66%,43%,45%,65%,79%,70%,39%,53%,46%,70%,48%,62%,60%,69%,71%,50%,45%,60%,47%,60%,72%,58%,53%,71%,32%,59%,69%,52%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A fair amount of difference,29%,32%,27%,46%,36%,25%,18%,27%,41%,30%,29%,27%,33%,28%,30%,28%,26%,30%,35%,32%,39%,26%,25%,26%,38%,23%,17%,32%,27%,31%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Hardly any difference,8%,11%,5%,10%,13%,8%,3%,3%,11%,13%,25%,3%,15%,7%,9%,2%,3%,14%,16%,2%,11%,11%,3%,15%,8%,6%,24%,9%,4%,14%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",[VOL] Don’t know/Refused,2%,2%,1%,0%,5%,1%,<.5%,<.5%,8%,4%,0%,<.5%,4%,3%,2%,1%,0%,6%,3%,6%,3%,2%,<1%,1%,1%,<.5%,27%,<.5%,0%,3%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Do you think the Democratic Party is …,Too far to the left,50%,53%,47%,44%,51%,50%,55%,62%,18%,38%,38%,62%,32%,48%,50%,59%,64%,30%,33%,31%,36%,49%,68%,41%,17%,80%,35%,12%,76%,57%
Do you think the Democratic Party is …,Too far to the right,12%,13%,11%,12%,17%,9%,10%,10%,18%,15%,17%,10%,16%,12%,13%,10%,9%,14%,17%,12%,20%,13%,7%,12%,17%,7%,18%,20%,9%,3%
Do you think the Democratic Party is …,Not too far either way,34%,31%,36%,37%,28%,38%,34%,25%,47%,44%,45%,25%,45%,37%,31%,29%,23%,50%,43%,52%,43%,30%,19%,45%,61%,10%,28%,64%,13%,34%
Do you think the Democratic Party is …,[VOL] Don’t know/Refused,5%,3%,5%,7%,4%,4%,2%,3%,18%,3%,<.5%,3%,6%,3%,5%,2%,4%,6%,7%,4%,1%,8%,6%,2%,4%,3%,19%,3%,2%,6%
Do you think the Democratic Party is …,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Do you think the Republican Party is …,Too far to the right,44%,45%,45%,50%,56%,40%,36%,44%,40%,46%,44%,44%,44%,57%,36%,57%,35%,55%,38%,61%,49%,37%,40%,48%,70%,22%,41%,69%,24%,47%
Do you think the Republican Party is …,Too far to the left,9%,9%,8%,7%,8%,8%,11%,7%,21%,7%,6%,7%,11%,3%,12%,3%,10%,5%,15%,6%,9%,10%,6%,14%,12%,6%,8%,13%,5%,10%
Do you think the Republican Party is …,Not too far either way,41%,42%,40%,38%,32%,46%,45%,43%,20%,42%,49%,43%,38%,36%,44%,37%,47%,34%,39%,28%,42%,39%,49%,31%,12%,67%,32%,14%,64%,38%
Do you think the Republican Party is …,[VOL] Don’t know/Refused,6%,4%,8%,5%,4%,6%,8%,6%,18%,4%,<.5%,6%,7%,4%,8%,3%,8%,6%,8%,4%,<1%,15%,5%,7%,6%,5%,19%,4%,7%,5%
Do you think the Republican Party is …,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for Black people to get ahead are now largely gone,41%,46%,36%,33%,38%,41%,47%,49%,29%,32%,25%,49%,30%,34%,45%,41%,54%,24%,34%,34%,33%,45%,47%,35%,19%,63%,18%,13%,62%,43%
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for Black people to get ahead,50%,43%,58%,64%,51%,47%,44%,44%,57%,59%,59%,44%,59%,59%,45%,54%,37%,66%,55%,62%,57%,44%,45%,54%,77%,26%,49%,83%,30%,48%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,9%,11%,6%,3%,10%,12%,8%,7%,13%,9%,16%,7%,12%,7%,10%,4%,9%,10%,12%,5%,9%,12%,8%,12%,4%,11%,33%,4%,8%,10%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"Yes, the Democratic Party has solutions",75%,61%,81%,100%,32%,78%,97%,-,75%,-,-,-,75%,68%,82%,-,-,68%,82%,24%,87%,58%,84%,100%,78%,39%,86%,88%,76%,56%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"No, the Democratic Party does not have solutions",18%,39%,9%,0%,55%,14%,0%,-,18%,-,-,-,18%,24%,11%,-,-,24%,11%,27%,13%,29%,16%,0%,14%,61%,6%,4%,24%,34%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,7%,0%,10%,0%,14%,9%,3%,-,7%,-,-,-,7%,8%,6%,-,-,8%,6%,49%,0%,13%,0%,0%,8%,0%,8%,7%,0%,10%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,Number of respondents,40,16,24,10,10,16,3,,40,,,,40,22,18,,,22,18,5,9,12,11,3,29,7,4,16,3,17
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,"Yes, the Republican Party has solutions",25%,16%,29%,43%,7%,18%,0%,-,25%,-,-,-,25%,12%,38%,-,-,12%,38%,21%,58%,0%,0%,0%,25%,36%,0%,26%,85%,5%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,"No, the Republican Party does not have solutions",69%,81%,64%,43%,79%,82%,97%,-,69%,-,-,-,69%,84%,54%,-,-,84%,54%,75%,42%,87%,93%,81%,71%,64%,46%,67%,15%,93%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,6%,3%,7%,14%,14%,0%,3%,-,6%,-,-,-,6%,4%,8%,-,-,4%,8%,4%,0%,13%,7%,19%,4%,0%,54%,7%,0%,2%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,Number of respondents,40,16,24,10,10,16,3,,40,,,,40,22,18,,,22,18,5,9,12,11,3,29,7,4,16,3,17
Building a wall along the U.S.-Mexico border,Strongly support,43%,45%,42%,24%,36%,47%,55%,52%,17%,36%,39%,52%,31%,33%,50%,39%,61%,22%,36%,26%,36%,45%,58%,31%,7%,78%,20%,9%,75%,39%
Building a wall along the U.S.-Mexico border,Somewhat support,13%,16%,11%,20%,12%,12%,12%,11%,23%,12%,17%,11%,16%,16%,12%,15%,8%,17%,16%,10%,15%,13%,12%,16%,14%,13%,11%,8%,12%,19%
Building a wall along the U.S.-Mexico border,Somewhat oppose,17%,14%,19%,19%,24%,15%,9%,14%,19%,19%,25%,14%,20%,17%,17%,19%,11%,15%,24%,25%,18%,20%,10%,20%,25%,6%,47%,23%,10%,15%
Building a wall along the U.S.-Mexico border,Strongly oppose,25%,23%,27%,37%,26%,23%,23%,22%,31%,32%,19%,22%,29%,32%,20%,26%,19%,42%,22%,36%,31%,19%,19%,32%,52%,2%,11%,58%,2%,24%
Building a wall along the U.S.-Mexico border,[VOL] Don't know/Refused,2%,2%,1%,1%,3%,3%,<1%,<1%,11%,<1%,0%,<1%,3%,3%,2%,<1%,<1%,5%,2%,3%,1%,4%,2%,<1%,2%,<1%,12%,1%,<1%,2%
Building a wall along the U.S.-Mexico border,NET Support,57%,61%,53%,43%,48%,60%,67%,63%,40%,48%,56%,63%,48%,48%,62%,54%,69%,38%,52%,36%,51%,58%,70%,47%,21%,91%,30%,17%,87%,59%
Building a wall along the U.S.-Mexico border,NET Oppose,42%,37%,46%,55%,49%,38%,32%,36%,50%,51%,44%,36%,49%,49%,37%,45%,30%,56%,46%,61%,48%,38%,29%,52%,77%,8%,58%,81%,12%,39%
Building a wall along the U.S.-Mexico border,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly support,28%,25%,32%,37%,39%,24%,23%,28%,27%,33%,26%,28%,30%,35%,24%,34%,23%,36%,26%,38%,38%,20%,21%,37%,49%,9%,43%,49%,11%,31%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat support,25%,26%,25%,31%,23%,26%,22%,17%,42%,33%,38%,17%,37%,24%,26%,19%,15%,31%,40%,29%,30%,35%,18%,17%,37%,16%,14%,39%,17%,21%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat oppose,12%,14%,11%,12%,13%,11%,12%,15%,9%,6%,8%,15%,8%,11%,13%,14%,16%,5%,9%,7%,8%,9%,15%,19%,5%,18%,13%,5%,18%,13%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly oppose,33%,34%,31%,18%,21%,39%,41%,39%,16%,26%,28%,39%,23%,29%,35%,33%,44%,23%,23%,26%,23%,34%,44%,24%,9%,55%,15%,6%,52%,33%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,[VOL] Don't know/Refused,2%,2%,1%,2%,3%,<1%,2%,1%,6%,2%,0%,1%,3%,2%,2%,0%,2%,5%,1%,<.5%,<1%,2%,3%,3%,<.5%,2%,16%,<1%,1%,2%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Support,53%,51%,57%,68%,62%,50%,45%,44%,69%,66%,64%,44%,66%,58%,51%,53%,38%,67%,67%,67%,68%,55%,39%,54%,86%,25%,57%,89%,29%,52%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Oppose,45%,47%,42%,30%,35%,49%,53%,54%,25%,32%,36%,54%,31%,40%,47%,47%,60%,28%,32%,33%,31%,43%,59%,43%,14%,73%,27%,11%,70%,46%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I feel like he is talking about me,24%,20%,28%,21%,21%,29%,24%,6%,9%,26%,52%,6%,26%,31%,21%,0%,7%,33%,23%,44%,19%,25%,15%,26%,36%,14%,0%,41%,12%,20%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I do not feel like he is talking about me,72%,74%,70%,79%,69%,68%,76%,88%,91%,70%,48%,88%,70%,64%,75%,61%,93%,64%,73%,52%,67%,72%,85%,72%,64%,84%,45%,59%,87%,77%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,[VOL] Don’t know/Refused,4%,6%,2%,0%,11%,3%,0%,6%,0%,4%,0%,6%,4%,5%,4%,39%,0%,3%,5%,4%,14%,3%,0%,2%,0%,2%,55%,0%,1%,3%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,Number of respondents,151,80,71,54,34,48,11,13,7,123,5,13,135,55,96,3,10,51,84,13,20,30,33,55,74,73,4,58,46,37
