itm,v1,registered_voters_registered_voters,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,<.5%,<1%,<.5%,<.5%,0%,1%,<1%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<1%,<1%,<1%,0%,<1%,<1%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,2%,2%,2%,1%,2%,2%,4%,2%,<.5%,2%,1%,4%,3%,1%,3%,<1%,3%,2%,2%,2%,2%,3%,<1%,3%,3%,<1%,1%,3%,2%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,1%,<1%,3%,<1%,1%,1%,<.5%,<1%,1%,3%,2%,<1%,1%,<1%,2%,<1%,2%,2%,<1%,1%,<1%,2%,2%,<1%,2%,2%,<1%,2%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<.5%,0%,<1%,<1%,<.5%,<.5%,<.5%,<1%,0%,0%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,4%,5%,4%,4%,5%,4%,1%,4%,6%,5%,5%,4%,3%,4%,5%,4%,5%,1%,5%,6%,4%,5%,7%,1%,8%,8%,1%,6%,1%,7%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,7%,4%,7%,6%,6%,4%,5%,7%,8%,7%,5%,4%,6%,6%,5%,7%,7%,3%,6%,5%,7%,7%,5%,6%,8%,5%,3%,8%,7%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,1%,<1%,2%,<.5%,2%,<1%,4%,3%,<.5%,0%,<1%,4%,4%,2%,<1%,1%,<.5%,5%,3%,3%,2%,<.5%,2%,<.5%,2%,1%,<.5%,0%,6%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,<1%,<1%,<1%,<1%,1%,<.5%,1%,<1%,<1%,<.5%,<.5%,<1%,2%,<1%,<1%,<1%,<.5%,<1%,2%,<.5%,1%,<.5%,<.5%,<1%,4%,<.5%,<1%,2%,2%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,0%,<.5%,0%,<.5%,<1%,0%,<.5%,0%,<1%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),7%,7%,8%,6%,7%,8%,8%,5%,7%,9%,7%,11%,5%,4%,9%,4%,9%,2%,11%,10%,5%,8%,6%,8%,12%,6%,8%,6%,13%,5%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,5%,8%,3%,4%,6%,5%,8%,5%,3%,7%,5%,6%,6%,4%,6%,4%,5%,7%,6%,6%,6%,4%,5%,4%,16%,5%,3%,11%,13%,4%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",48%,45%,48%,50%,38%,56%,49%,46%,43%,54%,46%,71%,48%,57%,43%,57%,40%,58%,58%,65%,50%,39%,95%,1%,17%,97%,<1%,31%,22%,93%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",47%,47%,48%,47%,55%,40%,44%,46%,52%,43%,50%,19%,47%,37%,52%,39%,56%,30%,37%,28%,44%,58%,3%,96%,26%,2%,98%,44%,31%,5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,3%,4%,2%,2%,4%,2%,3%,5%,2%,1%,2%,6%,2%,3%,3%,3%,2%,5%,3%,3%,4%,2%,1%,1%,32%,<1%,<1%,15%,24%,<.5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,<1%,1%,<.5%,<1%,<.5%,2%,1%,<.5%,<.5%,<1%,1%,<.5%,<1%,<1%,1%,<.5%,<1%,1%,<1%,<1%,<1%,<.5%,<1%,5%,0%,<.5%,8%,4%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,3%,<1%,1%,2%,1%,1%,1%,2%,1%,1%,3%,3%,2%,2%,<1%,2%,6%,2%,3%,1%,1%,<1%,<1%,20%,<1%,<.5%,3%,19%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
The economy,Kamala Harris,44%,41%,46%,46%,35%,53%,43%,43%,38%,53%,42%,68%,43%,53%,40%,52%,37%,57%,53%,64%,45%,35%,89%,1%,15%,90%,<1%,17%,27%,89%
The economy,Donald Trump,53%,55%,52%,52%,62%,45%,55%,53%,59%,45%,55%,30%,54%,44%,58%,45%,61%,39%,45%,32%,52%,62%,9%,99%,57%,7%,99%,75%,52%,10%
The economy,[VOL] Don’t know/Refused,3%,4%,2%,2%,3%,2%,2%,5%,3%,2%,3%,2%,3%,4%,3%,3%,3%,4%,2%,4%,3%,2%,2%,<.5%,29%,2%,<.5%,8%,22%,1%
The economy,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Abortion,Kamala Harris,59%,58%,59%,59%,51%,66%,67%,61%,54%,60%,57%,82%,61%,67%,55%,67%,51%,70%,71%,78%,62%,48%,97%,19%,54%,98%,17%,59%,61%,95%
Abortion,Donald Trump,35%,34%,35%,37%,41%,30%,25%,32%,40%,36%,38%,13%,28%,26%,39%,27%,44%,21%,22%,16%,32%,46%,1%,73%,13%,1%,75%,26%,18%,4%
Abortion,[VOL] Don’t know/Refused,6%,8%,5%,5%,8%,4%,8%,7%,6%,4%,5%,4%,11%,7%,6%,6%,5%,9%,7%,6%,7%,6%,1%,8%,33%,1%,8%,15%,21%,2%
Abortion,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Immigration,Kamala Harris,46%,45%,46%,46%,36%,55%,51%,47%,39%,51%,44%,65%,49%,54%,41%,54%,38%,58%,56%,64%,48%,36%,88%,4%,24%,90%,3%,26%,35%,90%
Immigration,Donald Trump,51%,51%,51%,52%,61%,43%,47%,49%,58%,46%,54%,31%,45%,42%,56%,43%,60%,38%,39%,31%,48%,62%,9%,95%,51%,8%,97%,70%,42%,9%
Immigration,[VOL] Don’t know/Refused,3%,4%,3%,2%,3%,3%,2%,4%,3%,3%,2%,3%,6%,3%,3%,3%,2%,4%,5%,5%,3%,2%,3%,<1%,25%,3%,<1%,5%,23%,1%
Immigration,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Democracy,Kamala Harris,54%,52%,54%,55%,45%,62%,58%,54%,49%,58%,52%,78%,54%,64%,49%,64%,46%,68%,64%,71%,57%,44%,98%,8%,52%,98%,6%,49%,55%,95%
Democracy,Donald Trump,42%,42%,42%,42%,49%,35%,33%,41%,47%,41%,44%,20%,41%,32%,47%,33%,50%,26%,34%,25%,39%,52%,1%,88%,17%,<1%,90%,36%,23%,4%
Democracy,[VOL] Don’t know/Refused,4%,6%,4%,3%,6%,3%,9%,5%,4%,1%,4%,2%,5%,4%,4%,4%,5%,6%,2%,3%,5%,4%,<1%,5%,32%,<1%,4%,15%,22%,<1%
Democracy,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
What single news source do you turn to most often?,[VOL] Fox News,14%,13%,17%,14%,16%,13%,6%,10%,14%,20%,16%,5%,11%,11%,16%,12%,18%,6%,9%,8%,14%,17%,2%,28%,7%,2%,30%,2%,12%,3%
What single news source do you turn to most often?,[VOL] CNN,9%,12%,9%,8%,8%,11%,8%,11%,8%,11%,9%,13%,12%,9%,10%,9%,9%,11%,13%,9%,10%,9%,15%,4%,8%,15%,3%,10%,9%,15%
What single news source do you turn to most often?,[VOL] MSNBC,4%,3%,5%,4%,3%,5%,2%,2%,3%,7%,4%,7%,<.5%,4%,4%,4%,4%,5%,3%,3%,5%,3%,8%,<.5%,0%,8%,<.5%,<1%,0%,10%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,4%,4%,3%,3%,4%,2%,6%,4%,3%,4%,3%,4%,7%,2%,6%,2%,10%,<1%,5%,5%,2%,7%,<.5%,3%,7%,<.5%,1%,3%,7%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,1%,<1%,<1%,2%,1%,1%,<1%,<.5%,2%,1%,1%,0%,<1%,<1%,1%,1%,1%,0%,<.5%,1%,<1%,2%,0%,3%,0%,0%,3%,0%,0%,0%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",15%,11%,16%,18%,13%,17%,8%,7%,16%,24%,16%,21%,8%,14%,16%,14%,17%,13%,14%,15%,13%,17%,22%,8%,16%,22%,8%,13%,11%,22%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,6%,3%,5%,3%,6%,4%,5%,6%,4%,4%,8%,5%,4%,5%,4%,4%,2%,9%,4%,5%,4%,5%,4%,8%,4%,4%,12%,6%,4%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,4%,7%,7%,6%,6%,7%,7%,5%,5%,6%,3%,5%,11%,3%,11%,4%,11%,1%,9%,5%,5%,10%,2%,1%,10%,2%,5%,4%,10%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,1%,<.5%,<1%,<1%,0%,<1%,<1%,<.5%,1%,<.5%,0%,<1%,1%,<.5%,<.5%,<1%,<.5%,1%,<1%,0%,2%,<1%,1%
What single news source do you turn to most often?,[VOL] Social media,17%,21%,16%,15%,19%,16%,36%,24%,16%,6%,15%,24%,29%,13%,20%,13%,17%,16%,32%,25%,18%,14%,15%,21%,7%,15%,21%,20%,14%,13%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,0%,2%,<.5%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",1%,2%,2%,<1%,2%,1%,1%,3%,1%,<1%,1%,0%,4%,3%,<1%,2%,<1%,8%,0%,2%,2%,<.5%,2%,<1%,2%,2%,<.5%,3%,4%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,2%,4%,4%,2%,5%,5%,4%,<1%,3%,<.5%,5%,3%,3%,3%,4%,2%,4%,4%,4%,2%,3%,3%,8%,3%,3%,6%,7%,2%
What single news source do you turn to most often?,[VOL] Conservative news sites,1%,1%,1%,1%,2%,1%,0%,2%,2%,1%,2%,0%,1%,1%,1%,1%,2%,1%,<.5%,0%,2%,2%,<.5%,3%,2%,<.5%,3%,0%,1%,0%
What single news source do you turn to most often?,[VOL] Newsmax,2%,2%,2%,1%,2%,1%,1%,1%,2%,2%,2%,<1%,1%,1%,2%,1%,2%,<1%,1%,<1%,1%,2%,0%,3%,0%,0%,4%,0%,0%,0%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,<1%,<1%,<.5%,2%,0%,<1%,<.5%,<1%,<.5%,2%,<1%,<1%,<.5%,<1%,1%,0%,0%,1%,0%,0%,<1%,1%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,2%,2%,2%,2%,2%,2%,4%,3%,2%,<1%,1%,4%,2%,2%,2%,2%,1%,5%,3%,2%,2%,2%,<1%,2%,15%,<1%,2%,9%,10%,<.5%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),9%,8%,7%,10%,10%,6%,11%,8%,9%,8%,9%,7%,4%,8%,8%,9%,9%,5%,6%,6%,6%,12%,5%,12%,15%,5%,12%,14%,12%,6%
What single news source do you turn to most often?,[VOL] Don't know/Refused,4%,5%,5%,3%,4%,4%,3%,5%,4%,5%,4%,2%,5%,4%,5%,3%,5%,4%,4%,5%,4%,5%,4%,5%,3%,4%,5%,4%,3%,3%
What single news source do you turn to most often?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Often,49%,52%,49%,47%,45%,53%,71%,63%,48%,32%,48%,48%,62%,54%,47%,52%,45%,61%,54%,51%,53%,45%,50%,50%,38%,49%,50%,53%,45%,53%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Sometimes,19%,19%,20%,19%,18%,21%,18%,19%,22%,16%,18%,33%,21%,19%,19%,19%,17%,20%,29%,25%,16%,20%,20%,18%,23%,21%,18%,29%,12%,18%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Rarely,13%,11%,13%,13%,13%,12%,6%,11%,14%,15%,14%,9%,7%,13%,12%,13%,14%,9%,7%,10%,13%,13%,13%,12%,15%,13%,13%,6%,17%,13%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Never,18%,18%,17%,20%,24%,13%,5%,7%,16%,36%,20%,10%,10%,14%,21%,15%,23%,10%,10%,14%,17%,21%,17%,19%,23%,17%,20%,13%,25%,16%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<1%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,0%,1%,<1%
"(If social media user)  How often, if ever, do you use TikTok?",Often,14%,19%,15%,10%,12%,17%,41%,24%,8%,2%,13%,19%,20%,14%,15%,14%,13%,16%,21%,18%,14%,13%,14%,15%,15%,14%,14%,23%,16%,16%
"(If social media user)  How often, if ever, do you use TikTok?",Sometimes,9%,9%,10%,8%,8%,11%,17%,10%,10%,5%,8%,19%,16%,7%,10%,6%,8%,14%,19%,13%,9%,8%,12%,7%,6%,11%,7%,14%,9%,11%
"(If social media user)  How often, if ever, do you use TikTok?",Rarely,10%,11%,10%,8%,9%,9%,11%,10%,12%,6%,9%,14%,11%,10%,9%,11%,8%,10%,14%,10%,11%,8%,12%,7%,8%,13%,7%,7%,7%,11%
"(If social media user)  How often, if ever, do you use TikTok?",Never,48%,43%,48%,52%,47%,49%,26%,49%,55%,50%,49%,38%,43%,54%,45%,54%,47%,51%,36%,44%,48%,49%,44%,52%,48%,45%,52%,42%,43%,45%
"(If social media user)  How often, if ever, do you use TikTok?",[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Never use social media,18%,18%,17%,20%,24%,13%,5%,7%,16%,36%,20%,10%,10%,14%,21%,15%,23%,10%,10%,14%,17%,21%,17%,19%,23%,17%,20%,13%,25%,16%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Don't know/Refused,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<1%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,0%,1%,<1%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Often,18%,23%,18%,13%,15%,19%,43%,26%,9%,4%,17%,21%,23%,16%,19%,16%,17%,18%,24%,22%,17%,17%,17%,18%,19%,17%,17%,27%,21%,19%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Sometimes,11%,12%,12%,11%,10%,13%,18%,10%,11%,8%,10%,21%,17%,8%,13%,7%,11%,15%,21%,16%,10%,11%,14%,9%,8%,13%,8%,17%,12%,13%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Rarely,12%,14%,12%,10%,12%,11%,12%,11%,14%,10%,11%,15%,12%,12%,12%,12%,10%,11%,15%,11%,14%,11%,15%,9%,10%,15%,9%,8%,9%,14%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Never,59%,52%,58%,66%,62%,57%,27%,52%,65%,79%,62%,43%,48%,63%,56%,64%,61%,56%,40%,51%,59%,62%,53%,64%,63%,54%,65%,48%,58%,54%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
And just a few more questions for demographic purposes...,Very liberal,11%,11%,11%,12%,8%,14%,18%,14%,9%,9%,11%,9%,11%,18%,8%,17%,8%,20%,6%,22%,11%,7%,22%,<.5%,3%,23%,<.5%,2%,7%,27%
And just a few more questions for demographic purposes...,Somewhat liberal,12%,10%,13%,13%,10%,14%,17%,13%,10%,11%,12%,13%,16%,15%,11%,16%,10%,14%,15%,14%,13%,11%,22%,3%,8%,22%,2%,9%,10%,25%
And just a few more questions for demographic purposes...,Moderate,38%,38%,39%,38%,36%,40%,39%,42%,37%,37%,36%,54%,42%,41%,37%,40%,34%,46%,48%,39%,41%,35%,44%,31%,44%,44%,29%,52%,45%,38%
And just a few more questions for demographic purposes...,Somewhat conservative,18%,20%,18%,17%,21%,16%,17%,15%,21%,19%,19%,10%,16%,13%,21%,13%,23%,10%,15%,11%,16%,23%,6%,31%,24%,5%,31%,27%,16%,6%
And just a few more questions for demographic purposes...,Very conservative,16%,15%,16%,19%,20%,14%,7%,12%,19%,20%,18%,8%,9%,11%,19%,12%,21%,5%,10%,8%,15%,21%,2%,33%,3%,2%,35%,<1%,5%,3%
And just a few more questions for demographic purposes...,[VOL] Don't know/Refused,4%,7%,3%,2%,4%,3%,2%,4%,4%,5%,3%,5%,6%,3%,5%,2%,4%,4%,6%,5%,4%,3%,4%,3%,18%,4%,2%,9%,16%,2%
And just a few more questions for demographic purposes...,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Which of the following general income categories is your total household income before taxes?,"Under $25,000",10%,14%,10%,7%,9%,12%,20%,7%,6%,14%,9%,22%,14%,3%,14%,3%,12%,2%,25%,18%,8%,9%,13%,7%,14%,13%,7%,14%,10%,13%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",17%,17%,19%,16%,14%,20%,16%,15%,14%,23%,16%,25%,18%,10%,21%,10%,20%,7%,28%,20%,16%,17%,16%,19%,12%,16%,18%,21%,16%,15%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",29%,29%,27%,30%,30%,27%,32%,30%,26%,29%,29%,25%,31%,26%,30%,26%,31%,26%,29%,28%,30%,28%,28%,30%,26%,28%,30%,22%,30%,29%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",27%,26%,27%,29%,32%,23%,23%,33%,34%,19%,28%,17%,23%,39%,21%,38%,23%,45%,9%,20%,30%,28%,27%,28%,30%,27%,28%,28%,23%,30%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",10%,10%,11%,10%,11%,9%,5%,11%,15%,6%,11%,5%,9%,16%,7%,17%,8%,15%,4%,7%,11%,10%,11%,10%,5%,11%,10%,8%,4%,9%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,7%,5%,7%,8%,5%,8%,4%,4%,6%,9%,6%,5%,5%,6%,6%,6%,6%,4%,6%,8%,5%,7%,6%,7%,14%,5%,7%,6%,18%,5%
Which of the following general income categories is your total household income before taxes?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,23%,18%,26%,25%,21%,25%,17%,15%,28%,27%,25%,4%,25%,22%,24%,23%,26%,15%,15%,17%,25%,24%,21%,25%,19%,21%,26%,14%,26%,22%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),27%,27%,29%,25%,26%,29%,22%,21%,25%,36%,28%,28%,22%,28%,27%,29%,28%,26%,24%,23%,23%,32%,23%,33%,18%,23%,33%,22%,21%,23%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),<.5%,<.5%,<1%,<.5%,<.5%,<1%,1%,0%,<.5%,<.5%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<.5%,2%,<.5%,1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,1%,3%,<1%,2%,1%,<1%,1%,1%,2%,2%,2%,1%,3%,<1%,3%,<1%,2%,2%,3%,2%,<.5%,2%,<1%,5%,2%,1%,2%,3%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,2%,2%,<1%,1%,1%,2%,3%,<1%,<1%,<.5%,9%,4%,2%,1%,<1%,0%,7%,6%,3%,2%,<1%,1%,1%,3%,1%,<1%,4%,5%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",11%,11%,9%,13%,12%,10%,5%,11%,14%,11%,11%,19%,6%,7%,13%,7%,13%,8%,14%,13%,11%,11%,8%,14%,9%,8%,15%,7%,8%,10%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,3%,<1%,<1%,1%,2%,2%,3%,2%,<1%,<1%,2%,7%,2%,2%,1%,<1%,7%,4%,2%,2%,1%,2%,1%,2%,2%,<1%,5%,4%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,31%,35%,28%,31%,35%,28%,49%,44%,28%,19%,31%,33%,32%,34%,31%,34%,29%,30%,33%,38%,32%,28%,40%,22%,35%,40%,21%,45%,23%,37%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,2%,2%,3%,1%,3%,1%,1%,2%,3%,2%,1%,2%,2%,2%,2%,2%,3%,1%,1%,2%,3%,2%,2%,6%,2%,2%,<1%,8%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,20%,21%,20%,19%,21%,20%,12%,14%,21%,26%,19%,33%,18%,14%,23%,13%,22%,20%,28%,18%,18%,23%,12%,30%,14%,12%,30%,12%,19%,13%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,20%,20%,21%,20%,19%,22%,19%,20%,19%,23%,21%,20%,17%,24%,19%,24%,19%,22%,17%,20%,20%,21%,22%,19%,19%,22%,18%,24%,17%,22%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",58%,55%,59%,59%,59%,57%,69%,64%,58%,49%,59%,45%,64%,61%,57%,62%,57%,57%,55%,60%,61%,54%,65%,50%,65%,65%,49%,62%,63%,64%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,1%,3%,<.5%,1%,1%,1%,0%,1%,2%,1%,1%,1%,<.5%,<1%,1%,<1%,2%,2%,<.5%,1%,1%,2%,1%,2%,<1%,1%,2%,2%,<1%,1%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,30%,27%,33%,30%,34%,26%,31%,34%,32%,25%,29%,35%,33%,35%,27%,33%,26%,41%,30%,34%,30%,29%,31%,29%,21%,32%,29%,33%,16%,33%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,70%,73%,67%,70%,66%,74%,69%,66%,68%,75%,71%,65%,67%,65%,73%,67%,74%,59%,70%,66%,70%,71%,69%,71%,79%,68%,71%,67%,84%,67%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
