itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about the trial of Donald Trump in New York related to hush money payments made to the porn star Stormy Daniels, do you think that it is likely or unlikely that he will be convicted?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very likely,15%,19%,10%,13%,15%,16%,16%,15%,15%,8%,16%,13%,21%,15%,14%,15%,14%,15%,15%,14%,15%,16%,14%,19%,15%,11%,23%,8%,13%,23%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,20%,21%,17%,22%,20%,18%,23%,20%,21%,22%,20%,17%,24%,21%,17%,17%,23%,24%,18%,25%,19%,20%,19%,20%,24%,16%,28%,14%,17%,28%
How satisfied are you with the way things are going in your life these days?,Somewhat unlikely,28%,23%,30%,28%,28%,28%,31%,28%,28%,41%,25%,30%,21%,28%,29%,32%,26%,28%,28%,29%,28%,27%,29%,26%,26%,33%,24%,34%,18%,24%
How satisfied are you with the way things are going in your life these days?,Very unlikely,25%,27%,31%,22%,23%,29%,17%,27%,22%,19%,29%,26%,20%,23%,30%,27%,28%,21%,27%,18%,26%,30%,28%,25%,23%,26%,16%,32%,27%,15%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,10%,13%,15%,14%,10%,13%,10%,14%,10%,10%,13%,14%,13%,10%,9%,9%,12%,12%,14%,12%,7%,10%,10%,13%,14%,9%,12%,25%,10%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,667",237,227,280,229,426,268,875,773,278,377,549,408,"1,197",177,134,122,777,881,593,600,161,268,397,739,531,749,773,145,619
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,16%,16%,18%,15%,17%,18%,48%,51%,15%,24%,33%,24%,68%,12%,9%,9%,35%,64%,25%,43%,8%,21%,25%,41%,34%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,45%,45%,42%,42%,48%,44%,49%,41%,49%,50%,43%,41%,49%,41%,65%,49%,50%,49%,43%,47%,37%,58%,56%,54%,45%,37%,75%,19%,43%,77%
How satisfied are you with the way things are going in your life these days?,No,49%,48%,52%,52%,45%,52%,48%,54%,45%,43%,52%,53%,45%,54%,29%,43%,46%,47%,51%,49%,57%,37%,38%,41%,49%,56%,21%,76%,41%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,7%,7%,6%,8%,4%,4%,5%,6%,7%,5%,5%,6%,5%,6%,8%,4%,4%,6%,4%,6%,5%,6%,5%,6%,7%,4%,5%,16%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,667",237,227,280,229,426,268,875,773,278,377,549,408,"1,197",177,134,122,777,881,593,600,161,268,397,739,531,749,773,145,619
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,16%,16%,18%,15%,17%,18%,48%,51%,15%,24%,33%,24%,68%,12%,9%,9%,35%,64%,25%,43%,8%,21%,25%,41%,34%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Israel,41%,45%,44%,37%,36%,44%,42%,47%,37%,23%,30%,50%,53%,48%,24%,30%,26%,39%,43%,44%,49%,24%,28%,35%,39%,49%,24%,60%,23%,25%
How satisfied are you with the way things are going in your life these days?,Palestinians,22%,21%,19%,22%,27%,22%,22%,19%,25%,44%,28%,13%,15%,19%,31%,30%,30%,26%,20%,24%,16%,34%,29%,26%,25%,16%,35%,10%,25%,34%
How satisfied are you with the way things are going in your life these days?,[VOL] Both equally (Includes neither),18%,16%,18%,22%,19%,16%,18%,20%,16%,13%,21%,19%,17%,17%,20%,16%,23%,20%,17%,18%,16%,22%,19%,21%,20%,15%,21%,15%,20%,23%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,18%,19%,19%,20%,18%,18%,18%,14%,22%,20%,21%,18%,15%,16%,25%,23%,21%,15%,20%,14%,18%,19%,24%,19%,16%,21%,19%,15%,32%,19%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,[VOL] Fox News,11%,12%,9%,12%,9%,15%,12%,12%,11%,7%,9%,13%,15%,14%,5%,6%,12%,9%,13%,12%,15%,3%,8%,9%,10%,15%,2%,22%,2%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] CNN,8%,6%,8%,9%,11%,8%,7%,7%,9%,7%,7%,9%,10%,7%,18%,7%,7%,9%,8%,8%,6%,13%,11%,8%,9%,7%,13%,4%,4%,14%
How satisfied are you with the way things are going in your life these days?,[VOL] MSNBC,4%,5%,3%,4%,5%,3%,5%,3%,5%,1%,1%,3%,9%,4%,6%,2%,2%,4%,4%,5%,4%,4%,3%,5%,4%,3%,9%,<.5%,3%,10%
How satisfied are you with the way things are going in your life these days?,[VOL] Public Radio/NPR/PBS,3%,2%,5%,3%,1%,4%,5%,3%,3%,3%,5%,3%,2%,4%,2%,<.5%,2%,6%,2%,7%,3%,4%,<.5%,3%,4%,3%,7%,<1%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Talk radio/conservative personality,<1%,1%,<1%,1%,<1%,<.5%,<.5%,1%,<.5%,<.5%,1%,1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,1%,2%,<.5%,1%,<1%,<1%,0%,2%,<1%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] National television networks, like CBS, NBC or ABC",10%,10%,9%,10%,6%,11%,13%,8%,12%,5%,4%,11%,17%,10%,12%,8%,7%,9%,11%,9%,11%,10%,9%,9%,10%,11%,14%,7%,7%,15%
How satisfied are you with the way things are going in your life these days?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",7%,5%,8%,7%,5%,8%,10%,6%,8%,5%,6%,9%,8%,7%,10%,11%,2%,5%,8%,5%,8%,5%,10%,9%,6%,7%,8%,6%,9%,7%
How satisfied are you with the way things are going in your life these days?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",5%,5%,6%,4%,4%,7%,6%,6%,4%,5%,7%,4%,5%,6%,4%,3%,4%,9%,3%,11%,3%,5%,3%,6%,6%,4%,9%,2%,5%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Local print or online news organizations,<1%,1%,<.5%,<1%,<1%,<1%,2%,1%,<1%,<1%,<1%,<1%,<1%,1%,<.5%,<1%,<1%,1%,<1%,2%,<1%,<1%,<.5%,<1%,<1%,1%,1%,<1%,1%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Social media,17%,19%,21%,15%,22%,13%,15%,17%,18%,40%,24%,11%,6%,15%,17%,26%,28%,14%,19%,13%,17%,18%,25%,19%,18%,16%,13%,20%,24%,10%
How satisfied are you with the way things are going in your life these days?,[VOL] Friends and family,<1%,<1%,<1%,<1%,<.5%,<1%,0%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,<1%,2%,<1%,2%,2%,3%,1%,3%,1%,3%,<1%,2%,2%,<1%,3%,<1%,2%,3%
How satisfied are you with the way things are going in your life these days?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,3%,6%,6%,3%,4%,4%,4%,4%,7%,5%,1%,4%,3%,5%,5%,5%,4%,5%,4%,6%,4%,5%,5%,4%,6%,3%,3%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Conservative news sites,2%,2%,<1%,<.5%,2%,4%,2%,2%,2%,<.5%,3%,2%,1%,2%,<.5%,1%,<1%,2%,2%,3%,2%,2%,<.5%,1%,2%,2%,<.5%,4%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Newsmax,3%,4%,3%,3%,2%,4%,3%,3%,3%,<.5%,2%,3%,5%,4%,2%,0%,<1%,2%,4%,2%,5%,1%,1%,2%,2%,4%,<1%,6%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,0%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Doesn’t consume news,3%,3%,3%,1%,4%,2%,2%,3%,2%,3%,3%,3%,2%,2%,2%,4%,6%,2%,3%,1%,2%,2%,4%,2%,2%,3%,2%,3%,6%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (includes no preference and the internet),11%,12%,11%,13%,14%,9%,9%,13%,9%,8%,11%,13%,11%,10%,10%,16%,16%,10%,11%,9%,11%,13%,13%,10%,13%,11%,9%,12%,17%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,6%,8%,6%,5%,5%,3%,6%,5%,7%,5%,6%,4%,5%,6%,7%,5%,5%,6%,5%,5%,6%,6%,5%,6%,5%,3%,6%,12%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,48%,47%,53%,44%,51%,48%,46%,42%,54%,72%,61%,47%,25%,46%,53%,56%,56%,50%,48%,49%,44%,54%,56%,48%,50%,47%,48%,47%,53%,46%
How satisfied are you with the way things are going in your life these days?,Sometimes,18%,19%,18%,22%,16%,18%,17%,17%,19%,17%,16%,20%,19%,18%,18%,21%,20%,18%,18%,18%,18%,18%,20%,20%,18%,18%,19%,18%,16%,20%
How satisfied are you with the way things are going in your life these days?,Rarely,13%,13%,11%,15%,12%,14%,16%,15%,12%,7%,13%,15%,16%,14%,14%,9%,12%,15%,13%,14%,14%,15%,11%,13%,14%,12%,14%,13%,13%,14%
How satisfied are you with the way things are going in your life these days?,Never,20%,20%,18%,18%,19%,19%,22%,25%,14%,4%,10%,17%,40%,22%,14%,13%,11%,17%,21%,18%,24%,12%,13%,19%,17%,23%,19%,21%,17%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<.5%,<.5%,<1%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,17%,17%,24%,17%,18%,13%,12%,13%,21%,42%,23%,11%,3%,14%,20%,29%,26%,14%,18%,12%,15%,21%,27%,16%,19%,15%,18%,15%,22%,15%
How satisfied are you with the way things are going in your life these days?,Sometimes,9%,9%,9%,8%,10%,8%,8%,7%,11%,15%,8%,10%,4%,6%,14%,16%,14%,7%,9%,7%,6%,10%,17%,10%,8%,8%,9%,9%,8%,8%
How satisfied are you with the way things are going in your life these days?,Rarely,11%,9%,13%,10%,12%,10%,11%,9%,12%,12%,13%,12%,6%,10%,15%,10%,12%,11%,10%,10%,10%,16%,12%,11%,11%,10%,12%,10%,12%,12%
How satisfied are you with the way things are going in your life these days?,Never,44%,45%,36%,46%,39%,49%,48%,46%,42%,27%,46%,49%,46%,48%,36%,30%,35%,50%,41%,54%,45%,40%,31%,43%,45%,43%,42%,46%,40%,44%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Never use social media,20%,20%,18%,18%,19%,19%,22%,25%,14%,4%,10%,17%,40%,22%,14%,13%,11%,17%,21%,18%,24%,12%,13%,19%,17%,23%,19%,21%,17%,21%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don't know/Refused,<.5%,<1%,<.5%,<.5%,<1%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,None at all,61%,58%,64%,61%,60%,62%,63%,59%,63%,39%,55%,68%,72%,62%,59%,66%,51%,63%,60%,62%,62%,66%,56%,56%,60%,66%,59%,64%,55%,62%
How satisfied are you with the way things are going in your life these days?,More than none but less than 1 hour,15%,17%,13%,15%,14%,16%,16%,17%,14%,19%,19%,14%,12%,16%,12%,10%,26%,17%,14%,18%,14%,13%,15%,17%,16%,13%,16%,14%,17%,14%
How satisfied are you with the way things are going in your life these days?,More than 1 hour but less than 2,12%,14%,12%,11%,11%,10%,12%,11%,12%,16%,15%,9%,9%,12%,15%,10%,9%,12%,11%,12%,11%,12%,12%,12%,12%,11%,12%,11%,13%,12%
How satisfied are you with the way things are going in your life these days?,More than 2 hours but less than 3,5%,5%,5%,5%,4%,6%,3%,5%,4%,10%,4%,3%,3%,4%,6%,6%,5%,4%,5%,4%,4%,5%,6%,6%,4%,4%,5%,3%,6%,5%
How satisfied are you with the way things are going in your life these days?,More than 3 hours but less than 4,2%,3%,2%,1%,5%,2%,2%,3%,2%,4%,3%,2%,1%,2%,3%,4%,4%,1%,3%,1%,3%,1%,4%,3%,2%,2%,2%,2%,5%,2%
How satisfied are you with the way things are going in your life these days?,More than 4 hours but less than 5,1%,<1%,2%,2%,1%,<1%,1%,<1%,2%,3%,<1%,1%,<1%,1%,3%,1%,2%,<1%,2%,<1%,1%,1%,3%,2%,2%,<1%,2%,1%,1%,1%
How satisfied are you with the way things are going in your life these days?,5 hours or more,3%,2%,2%,5%,4%,2%,3%,3%,3%,8%,2%,2%,2%,3%,2%,3%,3%,1%,4%,1%,4%,1%,4%,3%,3%,3%,3%,3%,3%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<.5%,<1%,<1%,<.5%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,<1%,<.5%,<1%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,15%,13%,22%,16%,16%,14%,11%,22%,9%,23%,24%,14%,3%,13%,19%,17%,24%,20%,13%,18%,11%,27%,16%,16%,18%,12%,13%,18%,14%,12%
How satisfied are you with the way things are going in your life these days?,No,84%,86%,77%,83%,83%,85%,88%,77%,90%,76%,75%,85%,96%,86%,80%,82%,74%,79%,86%,81%,88%,72%,83%,83%,81%,87%,87%,81%,84%,88%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of this,<.5%,0%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<1%,1%,<1%,<.5%,1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,<.5%,<1%,<.5%,1%,<1%,<1%,<1%,<.5%,1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
