itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly oppose,18%,24%,12%,6%,14%,18%,25%,17%,25%,16%,11%,22%,9%,22%,18%,22%,17%,13%,17%,28%,12%,26%,19%,15%,20%,7%,28%,16%,7%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",[VOL] Don't know/Refused,9%,12%,5%,3%,4%,13%,8%,8%,8%,6%,5%,10%,6%,10%,2%,10%,12%,3%,15%,14%,6%,5%,7%,10%,9%,3%,13%,16%,3%,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Favor,65%,56%,74%,87%,76%,58%,57%,66%,59%,75%,78%,58%,79%,57%,77%,61%,65%,78%,57%,39%,77%,62%,67%,69%,60%,87%,46%,64%,86%,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Oppose,26%,32%,21%,10%,20%,28%,35%,26%,34%,19%,17%,32%,15%,33%,22%,30%,23%,20%,28%,47%,17%,34%,26%,21%,31%,10%,41%,20%,10%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,Kamala Harris,40%,30%,48%,40%,42%,38%,42%,36%,74%,53%,57%,30%,55%,24%,70%,60%,48%,51%,43%,23%,40%,25%,58%,50%,22%,88%,<1%,13%,92%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,Donald Trump,56%,65%,48%,56%,53%,58%,53%,60%,23%,42%,41%,65%,42%,71%,30%,33%,50%,41%,52%,67%,58%,71%,41%,48%,69%,8%,99%,40%,4%,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,[VOL] Don’t know/Refused,5%,4%,4%,4%,4%,4%,6%,4%,4%,5%,2%,5%,3%,4%,0%,7%,3%,8%,6%,9%,2%,4%,1%,2%,9%,4%,<.5%,47%,3%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The economy,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,MARGIN Trump +16 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,Kamala Harris,52%,45%,58%,64%,54%,51%,48%,48%,76%,76%,66%,44%,65%,38%,72%,79%,58%,60%,60%,38%,50%,38%,66%,60%,38%,96%,14%,43%,98%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,Donald Trump,41%,48%,35%,35%,37%,44%,43%,45%,17%,20%,27%,49%,28%,56%,24%,15%,35%,30%,35%,55%,43%,55%,29%,35%,52%,3%,77%,15%,<1%,76%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,[VOL] Don’t know/Refused,7%,7%,7%,<1%,9%,6%,9%,6%,7%,4%,6%,6%,7%,6%,4%,6%,7%,10%,6%,8%,7%,7%,5%,5%,10%,1%,8%,42%,<1%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abortion,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,Kamala Harris,40%,31%,47%,46%,42%,35%,42%,36%,67%,60%,53%,32%,52%,26%,61%,66%,45%,45%,46%,27%,39%,28%,53%,49%,24%,86%,2%,17%,90%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,Donald Trump,54%,65%,46%,51%,50%,59%,51%,59%,28%,39%,42%,62%,43%,68%,38%,30%,50%,44%,50%,66%,57%,66%,40%,47%,68%,10%,97%,21%,9%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,[VOL] Don’t know/Refused,6%,4%,7%,3%,7%,5%,7%,5%,5%,1%,5%,6%,5%,5%,2%,4%,5%,11%,5%,6%,4%,6%,7%,4%,8%,4%,1%,62%,1%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,Kamala Harris,46%,37%,54%,56%,47%,42%,46%,42%,76%,68%,61%,38%,58%,32%,76%,70%,49%,58%,51%,35%,45%,33%,61%,56%,30%,96%,3%,44%,95%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,Donald Trump,47%,56%,41%,42%,46%,50%,48%,52%,20%,26%,33%,56%,35%,63%,22%,23%,45%,36%,42%,58%,48%,60%,34%,40%,61%,<1%,93%,9%,<1%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,[VOL] Don’t know/Refused,6%,7%,5%,2%,7%,8%,6%,6%,4%,6%,6%,6%,6%,5%,2%,7%,6%,6%,7%,6%,7%,6%,5%,4%,10%,3%,5%,47%,4%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping the working class,Kamala Harris,46%,38%,53%,51%,46%,44%,47%,41%,81%,70%,62%,37%,59%,30%,80%,73%,51%,58%,54%,32%,43%,31%,66%,54%,29%,97%,2%,39%,99%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping the working class,Donald Trump,50%,60%,43%,48%,49%,52%,50%,55%,19%,29%,36%,59%,38%,66%,20%,26%,46%,39%,43%,62%,54%,65%,32%,45%,64%,2%,97%,13%,1%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping the working class,[VOL] Don’t know/Refused,4%,3%,4%,<.5%,5%,5%,3%,3%,0%,1%,3%,3%,3%,3%,0%,<1%,3%,3%,3%,6%,4%,4%,2%,1%,7%,<1%,1%,48%,<.5%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping the working class,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping people like you,Kamala Harris,44%,35%,52%,50%,46%,40%,45%,41%,72%,62%,57%,37%,56%,31%,69%,66%,47%,56%,50%,31%,42%,30%,62%,51%,29%,95%,1%,28%,96%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping people like you,Donald Trump,51%,60%,44%,49%,48%,55%,48%,55%,21%,34%,38%,58%,40%,65%,27%,28%,46%,38%,46%,62%,53%,66%,34%,44%,65%,3%,97%,17%,1%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping people like you,[VOL] Don’t know/Refused,5%,5%,5%,2%,6%,4%,7%,4%,7%,4%,5%,5%,5%,4%,5%,6%,7%,6%,4%,7%,5%,4%,4%,5%,6%,2%,2%,55%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helping people like you,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,23%,24%,22%,19%,11%,31%,24%,26%,0%,8%,16%,27%,19%,30%,4%,5%,16%,7%,23%,17%,29%,43%,20%,17%,30%,2%,42%,0%,3%,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,25%,31%,19%,38%,26%,18%,26%,27%,7%,22%,16%,30%,16%,32%,15%,15%,27%,29%,18%,32%,29%,19%,18%,23%,30%,3%,43%,24%,4%,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,11%,14%,8%,11%,20%,12%,4%,10%,13%,25%,13%,11%,12%,9%,15%,23%,12%,8%,14%,18%,6%,13%,13%,12%,10%,17%,6%,16%,9%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,34%,23%,45%,25%,34%,32%,40%,32%,58%,40%,50%,25%,49%,22%,58%,41%,31%,53%,39%,26%,30%,19%,46%,40%,24%,73%,<1%,53%,78%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,7%,8%,6%,7%,9%,6%,6%,5%,22%,5%,5%,8%,3%,7%,8%,16%,13%,3%,6%,8%,5%,6%,4%,8%,6%,5%,8%,6%,6%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,48%,55%,41%,57%,37%,49%,50%,53%,7%,30%,32%,57%,35%,63%,20%,20%,44%,36%,41%,49%,59%,62%,37%,40%,60%,5%,85%,24%,7%,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,45%,37%,53%,36%,54%,45%,45%,42%,71%,65%,63%,35%,62%,31%,73%,64%,43%,61%,53%,43%,36%,32%,58%,52%,34%,90%,7%,69%,88%,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For each of the following, please tell me if this describes JD Vance very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,288,146,136,54,53,103,68,234,22,25,128,157,106,127,21,26,58,49,60,22,52,47,51,129,108,135,140,13,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Very well,23%,25%,21%,19%,22%,26%,21%,25%,6%,12%,17%,26%,19%,29%,7%,9%,28%,7%,21%,21%,27%,29%,11%,29%,22%,2%,45%,0%,2%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,25%,30%,22%,21%,31%,23%,24%,29%,18%,6%,25%,26%,28%,29%,7%,16%,15%,29%,21%,48%,24%,24%,17%,22%,32%,5%,45%,22%,3%,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Not too well,7%,4%,9%,15%,5%,9%,2%,6%,4%,20%,7%,7%,4%,7%,23%,4%,6%,9%,8%,4%,2%,11%,6%,7%,7%,12%,2%,6%,5%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
