itm,v1,mi_oh_and_wi_likely_electorate_mi_oh_and_wi_likely_electorate,state_mi,state_oh,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Economy,<1%,2%,0%,0%,1%,<.5%,<.5%,2%,<.5%,<1%,<1%,0%,3%,2%,<.5%,<1%,<.5%,6%,0%,0%,1%,<1%,0%,2%,<1%,0%,2%,<1%,0%,<.5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Other (specify),10%,15%,6%,9%,8%,12%,8%,10%,13%,6%,10%,13%,9%,9%,11%,8%,12%,15%,8%,9%,11%,10%,12%,15%,2%,20%,9%,9%,10%,15%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] No biggest concern,12%,10%,8%,18%,15%,9%,24%,5%,12%,8%,10%,12%,14%,11%,12%,11%,10%,12%,13%,9%,13%,11%,8%,10%,17%,4%,20%,9%,9%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",Number of respondents,313,133,102,78,164,142,63,84,98,61,215,38,43,124,186,88,127,30,51,61,129,123,117,112,84,39,43,172,89,71
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Honesty/follow through,18%,23%,17%,15%,13%,24%,16%,29%,14%,13%,17%,18%,25%,20%,18%,21%,15%,7%,29%,13%,20%,20%,18%,28%,8%,5%,12%,24%,17%,26%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Personality/judgement/attitude/ability,12%,7%,17%,14%,14%,11%,9%,11%,14%,15%,14%,13%,4%,8%,15%,10%,17%,5%,10%,20%,12%,9%,7%,18%,13%,16%,12%,12%,8%,12%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Economy,9%,10%,5%,10%,10%,7%,12%,11%,7%,3%,9%,6%,8%,11%,7%,11%,8%,15%,3%,11%,9%,7%,8%,10%,7%,10%,8%,9%,7%,12%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Lack of experience,7%,3%,13%,7%,6%,7%,3%,1%,13%,10%,7%,2%,6%,3%,8%,3%,9%,5%,4%,9%,8%,6%,6%,5%,12%,4%,14%,7%,7%,14%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Ideology,6%,4%,10%,4%,6%,7%,0%,4%,10%,9%,8%,3%,2%,9%,5%,11%,6%,6%,1%,2%,4%,10%,7%,2%,11%,6%,8%,6%,6%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Immigration,6%,12%,2%,3%,9%,4%,6%,6%,4%,10%,7%,0%,7%,7%,6%,6%,8%,12%,<.5%,9%,9%,2%,7%,4%,6%,8%,12%,5%,9%,6%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don’t know enough about her,4%,3%,6%,3%,2%,6%,3%,2%,6%,5%,6%,1%,0%,4%,4%,5%,6%,2%,0%,3%,4%,5%,7%,4%,<1%,2%,14%,3%,9%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Track record,3%,5%,2%,3%,6%,1%,4%,7%,2%,1%,4%,0%,5%,4%,3%,4%,4%,5%,1%,2%,4%,4%,2%,3%,5%,<1%,1%,3%,3%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Other (specify),15%,14%,15%,18%,18%,13%,17%,19%,12%,15%,13%,24%,22%,19%,13%,16%,11%,28%,21%,13%,18%,13%,13%,16%,17%,21%,8%,14%,17%,9%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] No biggest concern,15%,14%,11%,21%,14%,17%,26%,8%,14%,14%,13%,26%,13%,11%,17%,12%,14%,9%,25%,10%,9%,23%,19%,8%,18%,17%,12%,14%,12%,9%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don't know/refused,3%,4%,3%,3%,3%,3%,4%,1%,3%,4%,1%,7%,7%,4%,3%,<1%,2%,9%,7%,6%,3%,2%,5%,1%,3%,8%,<.5%,3%,5%,<.5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",Number of respondents,313,133,102,78,164,142,63,84,98,61,215,38,43,124,186,88,127,30,51,61,129,123,117,112,84,39,43,172,89,71
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for women than men to get ahead are now largely gone,46%,45%,48%,44%,57%,35%,48%,43%,50%,40%,47%,36%,41%,36%,51%,37%,52%,31%,43%,38%,42%,51%,19%,73%,35%,17%,73%,47%,19%,73%
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for women to get ahead than men,50%,50%,48%,51%,36%,63%,48%,52%,46%,54%,49%,57%,55%,62%,43%,62%,42%,69%,48%,59%,55%,42%,78%,21%,55%,80%,23%,48%,78%,22%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,6%,4%,5%,7%,2%,4%,5%,4%,5%,4%,7%,4%,2%,6%,2%,5%,<.5%,9%,4%,3%,6%,3%,6%,11%,3%,4%,6%,3%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",Business corporations make too much profit,56%,57%,55%,57%,47%,64%,64%,66%,52%,54%,55%,67%,69%,57%,57%,55%,55%,68%,68%,69%,57%,51%,81%,32%,62%,80%,31%,57%,80%,31%
"Which statement comes closer to your view, even if neither is exactly right?",Most corporations make a fair and reasonable amount of profit,38%,36%,40%,38%,48%,30%,31%,28%,43%,40%,40%,26%,27%,38%,38%,40%,40%,29%,25%,27%,36%,43%,16%,62%,25%,15%,63%,38%,16%,63%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,6%,6%,5%,5%,6%,5%,6%,4%,7%,5%,7%,4%,5%,6%,5%,5%,3%,7%,4%,6%,6%,4%,7%,13%,5%,6%,5%,4%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",America’s openness to people from all over the world is essential to who we are as a nation,61%,60%,59%,65%,56%,66%,65%,68%,58%,58%,60%,66%,66%,74%,54%,74%,53%,73%,62%,69%,64%,56%,89%,34%,63%,89%,33%,62%,87%,33%
"Which statement comes closer to your view, even if neither is exactly right?","If America is too open to people from all over the world, we risk losing our identity as a nation",34%,35%,36%,30%,38%,29%,31%,28%,36%,35%,35%,26%,30%,23%,40%,23%,41%,22%,31%,26%,31%,38%,9%,59%,25%,9%,58%,34%,10%,60%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,5%,6%,5%,6%,5%,3%,4%,6%,6%,5%,9%,4%,3%,6%,3%,6%,5%,7%,5%,5%,6%,2%,8%,12%,3%,8%,5%,3%,7%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,49%,46%,47%,55%,46%,52%,38%,41%,47%,63%,51%,45%,44%,60%,43%,63%,45%,55%,38%,56%,52%,45%,70%,30%,35%,73%,35%,44%,71%,33%
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,47%,50%,50%,41%,50%,44%,59%,57%,49%,33%,46%,48%,54%,36%,53%,35%,52%,40%,58%,40%,44%,52%,26%,66%,59%,24%,61%,52%,26%,64%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,5%,3%,4%,4%,4%,3%,2%,4%,4%,3%,7%,3%,3%,4%,2%,4%,5%,4%,4%,4%,4%,3%,4%,6%,3%,4%,4%,3%,4%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Helped people like you,46%,46%,46%,46%,55%,39%,46%,42%,51%,43%,49%,13%,40%,38%,51%,39%,55%,29%,26%,28%,41%,56%,3%,90%,25%,3%,90%,46%,6%,89%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Hurt people like you,36%,36%,37%,36%,27%,44%,33%,41%,31%,40%,35%,53%,40%,44%,32%,44%,30%,51%,44%,52%,40%,28%,73%,<1%,31%,77%,3%,30%,73%,2%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Haven't made much of a difference either way,17%,17%,16%,17%,17%,16%,21%,15%,17%,16%,15%,29%,20%,17%,16%,17%,15%,20%,28%,18%,19%,15%,23%,8%,37%,20%,7%,23%,20%,8%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",[VOL] Don't know/Refused,<1%,<1%,<1%,1%,<1%,<1%,<.5%,2%,<1%,<1%,<1%,4%,<.5%,<1%,1%,<1%,<.5%,<.5%,3%,2%,<.5%,1%,<1%,<.5%,7%,<1%,0%,1%,<1%,<.5%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Help people like you,37%,39%,33%,41%,27%,47%,40%,37%,32%,43%,36%,59%,40%,45%,33%,44%,32%,53%,47%,52%,39%,31%,76%,2%,14%,85%,4%,27%,73%,3%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Hurt people like you,43%,42%,46%,41%,52%,35%,39%,41%,49%,39%,46%,13%,33%,35%,47%,36%,52%,28%,21%,24%,39%,52%,2%,84%,29%,3%,83%,43%,5%,85%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Wouldn't make much of a difference either way,17%,16%,18%,16%,18%,15%,21%,19%,17%,14%,16%,18%,25%,19%,16%,19%,14%,16%,24%,21%,18%,14%,19%,11%,44%,10%,11%,28%,19%,9%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",[VOL] Don't know/Refused,3%,3%,4%,2%,2%,4%,<.5%,3%,2%,4%,2%,10%,2%,2%,4%,1%,3%,3%,7%,3%,3%,3%,2%,3%,13%,2%,3%,3%,2%,3%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",Society is better off if people make marriage and having children a priority,42%,42%,41%,42%,52%,32%,33%,35%,43%,49%,42%,45%,36%,34%,46%,34%,46%,31%,46%,31%,38%,48%,18%,65%,38%,20%,63%,44%,20%,64%
"Which statement comes closer to your view, even if neither is exactly right?",Society is just as well off if people have priorities other than marriage and children,51%,52%,52%,50%,40%,61%,64%,63%,48%,44%,51%,51%,61%,61%,46%,61%,45%,66%,50%,62%,57%,43%,76%,27%,48%,76%,30%,50%,74%,27%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,7%,6%,7%,8%,8%,6%,3%,3%,10%,8%,7%,3%,4%,4%,8%,4%,9%,2%,4%,8%,5%,9%,5%,8%,14%,4%,7%,7%,6%,9%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",Immigrants today strengthen our country because of their hard work and talents,56%,55%,56%,56%,51%,60%,66%,65%,50%,53%,54%,66%,67%,69%,49%,68%,47%,75%,61%,66%,60%,48%,88%,23%,61%,87%,24%,58%,88%,22%
"Which statement comes closer to your view, even if neither is exactly right?","Immigrants today are a burden on our country because they take our jobs, housing and health care",36%,37%,37%,34%,38%,34%,28%,26%,43%,38%,37%,27%,30%,26%,42%,26%,43%,18%,34%,27%,32%,42%,9%,64%,24%,9%,66%,32%,9%,65%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,8%,8%,9%,10%,6%,6%,9%,7%,9%,8%,7%,4%,6%,9%,5%,10%,7%,4%,7%,7%,9%,3%,13%,15%,3%,10%,10%,4%,12%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has lost out from increased trade because it has cost jobs,51%,53%,52%,47%,51%,50%,48%,46%,56%,49%,50%,57%,51%,42%,56%,40%,56%,47%,58%,48%,48%,53%,34%,67%,48%,31%,67%,54%,35%,68%
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has gained from increased trade because it has helped lower prices,34%,31%,35%,37%,36%,32%,42%,37%,29%,36%,34%,32%,35%,43%,29%,44%,29%,40%,30%,33%,36%,32%,49%,20%,27%,51%,22%,32%,48%,20%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,16%,17%,13%,17%,12%,18%,10%,17%,15%,15%,15%,11%,15%,15%,15%,16%,15%,13%,13%,19%,15%,14%,17%,13%,26%,18%,12%,14%,17%,12%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",Society should accept transgender people as having the gender they identify with,56%,58%,54%,54%,46%,64%,60%,63%,48%,57%,54%,72%,64%,68%,49%,68%,47%,76%,63%,74%,61%,45%,84%,27%,54%,86%,25%,57%,83%,27%
"Which statement comes closer to your view, even if neither is exactly right?",Society should NOT accept transgender people as having the gender they identify with,34%,31%,34%,36%,42%,28%,32%,28%,39%,32%,36%,19%,26%,24%,39%,25%,42%,20%,25%,17%,30%,43%,10%,58%,27%,9%,62%,30%,11%,59%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,11%,11%,12%,10%,12%,9%,7%,9%,13%,11%,10%,9%,10%,7%,12%,8%,12%,5%,12%,9%,9%,12%,6%,15%,19%,5%,13%,13%,6%,14%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A great deal,24%,26%,23%,23%,17%,30%,29%,32%,22%,19%,20%,67%,26%,31%,20%,29%,16%,46%,46%,41%,27%,16%,44%,4%,28%,49%,4%,18%,43%,4%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A fair amount,26%,24%,27%,26%,23%,29%,27%,25%,25%,28%,27%,18%,29%,32%,23%,33%,23%,31%,19%,27%,28%,24%,38%,15%,21%,35%,14%,30%,37%,14%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not much,22%,22%,22%,23%,23%,21%,20%,19%,22%,26%,24%,5%,16%,20%,24%,20%,26%,14%,9%,16%,22%,25%,10%,34%,18%,8%,35%,24%,12%,34%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not at all,24%,24%,25%,23%,33%,17%,21%,20%,28%,24%,26%,5%,24%,14%,30%,16%,32%,7%,20%,13%,20%,32%,4%,44%,23%,5%,44%,23%,5%,45%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",[VOL] Don't know/Refused,4%,3%,4%,4%,4%,3%,3%,3%,3%,3%,3%,5%,5%,3%,4%,2%,3%,2%,6%,3%,4%,4%,3%,3%,10%,3%,2%,5%,4%,3%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Fair amount/Great deal,50%,51%,49%,49%,40%,59%,56%,58%,47%,47%,47%,85%,55%,63%,43%,62%,39%,76%,66%,68%,55%,40%,82%,19%,49%,84%,19%,49%,79%,18%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Not much/Not at all,46%,46%,47%,46%,56%,38%,41%,39%,50%,50%,50%,10%,40%,34%,54%,36%,58%,21%,28%,29%,42%,56%,15%,78%,40%,13%,79%,47%,17%,79%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,43%,46%,45%,39%,46%,41%,44%,45%,46%,38%,45%,30%,37%,32%,50%,31%,53%,32%,35%,32%,39%,51%,15%,72%,37%,13%,70%,45%,15%,73%
"Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",15%,14%,15%,16%,17%,13%,16%,14%,16%,15%,15%,11%,18%,16%,15%,16%,15%,20%,11%,15%,16%,15%,11%,19%,20%,9%,17%,20%,11%,18%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,1%,1%,1%,1%,1%,1%,2%,1%,<1%,2%,<1%,3%,2%,<1%,2%,<.5%,1%,3%,2%,1%,2%,1%,<1%,2%,1%,<1%,2%,1%,1%,2%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,31%,29%,31%,33%,27%,34%,25%,31%,27%,38%,30%,48%,28%,40%,26%,42%,23%,32%,41%,39%,35%,24%,60%,4%,13%,66%,6%,25%,61%,4%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,9%,9%,8%,11%,7%,11%,13%,8%,10%,8%,8%,8%,15%,11%,8%,10%,7%,13%,10%,13%,9%,8%,13%,3%,28%,12%,5%,9%,12%,3%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
NA,[VOL] Social media,18%,21%,18%,15%,18%,18%,40%,32%,14%,6%,18%,19%,23%,17%,19%,17%,18%,17%,23%,20%,17%,18%,15%,21%,16%,15%,17%,21%,15%,19%
NA,[VOL] Fox News,13%,13%,14%,12%,14%,12%,8%,5%,16%,17%,14%,6%,7%,11%,14%,12%,15%,6%,7%,7%,12%,15%,2%,25%,4%,2%,29%,8%,1%,28%
NA,"[VOL] National television networks, like CBS, NBC or ABC",11%,12%,9%,13%,9%,13%,5%,6%,10%,19%,12%,9%,7%,10%,12%,11%,12%,7%,8%,11%,9%,13%,16%,6%,9%,16%,7%,11%,16%,7%
NA,[VOL] CNN,8%,7%,8%,7%,6%,9%,7%,6%,8%,7%,7%,12%,13%,8%,7%,8%,6%,11%,14%,10%,7%,7%,13%,3%,6%,14%,3%,8%,13%,2%
NA,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,6%,7%,7%,7%,7%,8%,11%,5%,5%,7%,5%,8%,12%,3%,12%,3%,12%,3%,9%,8%,5%,11%,3%,4%,9%,3%,8%,10%,3%
NA,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,4%,6%,6%,5%,6%,4%,3%,6%,7%,6%,7%,7%,4%,7%,3%,7%,9%,6%,9%,6%,4%,5%,6%,12%,5%,8%,4%,5%,6%
NA,[VOL] MSNBC,4%,4%,5%,3%,4%,4%,<1%,2%,4%,7%,3%,13%,5%,4%,4%,3%,3%,10%,9%,6%,5%,2%,9%,0%,0%,11%,<.5%,2%,9%,0%
NA,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,5%,5%,5%,3%,6%,7%,3%,3%,4%,2%,5%,5%,4%,5%,4%,5%,3%,3%,4%,4%,4%,4%,9%,3%,3%,6%,4%,3%
NA,[VOL] Public Radio/NPR/PBS,4%,4%,2%,5%,2%,5%,2%,6%,4%,3%,4%,1%,2%,8%,1%,9%,2%,4%,<.5%,5%,4%,2%,7%,<.5%,2%,7%,<.5%,4%,8%,<.5%
NA,[VOL] Newsmax,2%,2%,1%,4%,2%,3%,0%,<.5%,3%,4%,3%,0%,<1%,<1%,3%,<1%,4%,0%,<.5%,<1%,2%,3%,0%,5%,0%,0%,6%,1%,0%,6%
NA,[VOL] Conservative news sites,2%,1%,2%,3%,3%,2%,1%,2%,3%,1%,3%,0%,0%,2%,3%,2%,3%,0%,0%,0%,1%,4%,<.5%,5%,1%,0%,6%,<1%,<.5%,5%
NA,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,<1%,3%,2%,2%,2%,<.5%,3%,3%,<1%,2%,1%,3%,3%,1%,3%,1%,3%,2%,3%,2%,2%,3%,<1%,5%,3%,<.5%,2%,3%,<1%
NA,[VOL] Talk radio/conservative personality,1%,2%,<1%,1%,2%,1%,2%,<1%,2%,1%,1%,1%,2%,2%,1%,2%,1%,<1%,2%,<.5%,2%,2%,<.5%,3%,0%,0%,2%,2%,<.5%,3%
NA,[VOL] Local print or online news organizations,1%,1%,<1%,2%,1%,1%,<.5%,<1%,1%,2%,1%,1%,0%,1%,1%,1%,1%,<1%,<1%,3%,<1%,1%,2%,<1%,0%,2%,1%,<1%,2%,<1%
NA,[VOL] Friends and family,<1%,1%,<1%,<.5%,<1%,<1%,1%,1%,<.5%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,0%,1%,0%,<1%,<1%,<1%,<1%,1%,<1%,<.5%,1%,<.5%,<1%
NA,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<1%,<.5%,<1%,<.5%,<1%,0%,0%,1%,<.5%,<1%,0%,<1%,<1%,<.5%,<1%,<1%,<1%,0%,<1%,1%,0%,<1%,<.5%,1%,1%,0%,<1%,1%,0%
NA,[VOL] Doesn’t consume news,2%,2%,3%,1%,2%,2%,3%,3%,<1%,3%,2%,4%,2%,1%,3%,<1%,2%,<1%,4%,<1%,2%,2%,2%,2%,7%,2%,1%,2%,2%,1%
NA,[VOL] Other (includes no preference and the internet),8%,8%,7%,9%,11%,5%,5%,7%,11%,7%,8%,8%,6%,7%,8%,7%,8%,8%,7%,7%,8%,8%,6%,10%,13%,6%,8%,9%,7%,9%
NA,[VOL] Don't know/Refused,6%,6%,6%,5%,6%,5%,6%,4%,6%,7%,5%,8%,9%,3%,7%,3%,6%,5%,11%,5%,5%,6%,4%,7%,9%,4%,6%,7%,3%,7%
NA,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Are you, or is any member of your household, a member of a labor union?","Yes, you are a member",9%,11%,8%,8%,11%,7%,7%,11%,9%,8%,8%,15%,8%,7%,10%,7%,9%,5%,15%,9%,9%,9%,8%,10%,6%,10%,8%,8%,9%,10%
"Are you, or is any member of your household, a member of a labor union?","Yes, another member of your household is a member",9%,13%,8%,6%,6%,12%,11%,10%,9%,9%,9%,10%,9%,10%,9%,9%,9%,12%,9%,6%,10%,9%,8%,10%,14%,10%,8%,10%,9%,9%
"Are you, or is any member of your household, a member of a labor union?","Yes, you and another member of your household are members",3%,3%,4%,1%,3%,3%,4%,2%,3%,1%,3%,1%,3%,2%,3%,2%,3%,1%,2%,2%,2%,4%,3%,2%,1%,3%,3%,2%,3%,2%
"Are you, or is any member of your household, a member of a labor union?",No,78%,72%,79%,83%,79%,77%,76%,76%,79%,80%,79%,68%,79%,81%,77%,81%,78%,82%,68%,83%,77%,77%,79%,77%,77%,76%,81%,79%,78%,79%
"Are you, or is any member of your household, a member of a labor union?",[VOL] Don’t know/Refused,1%,<1%,1%,2%,1%,1%,2%,<1%,<.5%,2%,<1%,5%,2%,<.5%,1%,<.5%,<1%,0%,5%,<.5%,2%,<1%,2%,<1%,2%,2%,<.5%,<1%,2%,<.5%
"Are you, or is any member of your household, a member of a labor union?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,13%,12%,13%,15%,8%,18%,17%,23%,10%,11%,13%,16%,14%,16%,12%,17%,12%,15%,15%,21%,15%,9%,27%,1%,8%,33%,<1%,7%,27%,<1%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,12%,14%,11%,11%,9%,14%,14%,13%,12%,10%,12%,17%,15%,14%,11%,14%,10%,17%,16%,17%,12%,10%,22%,2%,16%,25%,2%,10%,22%,2%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,31%,31%,32%,32%,31%,32%,34%,33%,32%,30%,30%,34%,39%,40%,27%,38%,26%,47%,30%,32%,34%,29%,39%,24%,35%,29%,14%,50%,37%,20%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,18%,21%,19%,25%,14%,12%,18%,22%,21%,20%,11%,17%,17%,21%,17%,22%,13%,15%,16%,20%,20%,7%,32%,14%,4%,33%,22%,8%,34%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,21%,20%,20%,22%,24%,18%,18%,11%,21%,25%,22%,16%,10%,12%,26%,12%,27%,8%,16%,8%,16%,29%,3%,39%,11%,5%,48%,10%,4%,41%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,3%,5%,3%,2%,3%,3%,5%,3%,3%,3%,2%,6%,5%,1%,4%,1%,3%,1%,8%,5%,3%,3%,3%,2%,16%,3%,2%,2%,3%,2%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
Which of the following general income categories is your total household income before taxes?,"Under $25,000",9%,8%,9%,9%,5%,11%,12%,6%,6%,13%,8%,19%,12%,3%,12%,3%,11%,5%,21%,14%,9%,7%,10%,7%,10%,11%,8%,7%,9%,7%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",18%,18%,16%,18%,16%,19%,19%,11%,13%,27%,17%,18%,19%,9%,23%,9%,22%,6%,26%,19%,17%,17%,17%,17%,26%,17%,16%,18%,17%,18%
