itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,No attention at all,11%,10%,11%,12%,15%,12%,6%,11%,10%,8%,9%,12%,9%,12%,6%,11%,7%,10%,16%,2%,8%,20%,13%,7%,11%,12%,7%,12%,23%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,<1%,1%,1%,0%,2%,1%,<1%,3%,0%,1%,1%,1%,<1%,0%,2%,4%,2%,0%,0%,1%,0%,0%,0%,2%,1%,<.5%,2%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,426,247,167,68,81,144,121,341,40,35,221,205,177,164,36,39,36,43,55,39,174,36,43,64,242,120,205,194,27,171
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,49%,49%,15%,21%,34%,27%,77%,11%,10%,38%,62%,30%,48%,8%,13%,12%,14%,18%,12%,22%,11%,12%,20%,47%,33%,42%,49%,10%,35%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about the trial of Donald Trump in New York related to hush money payments made to the porn star Stormy Daniels, do you think that it is likely or unlikely that he will be convicted?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about the trial of Donald Trump in New York related to hush money payments made to the porn star Stormy Daniels, do you think that it is likely or unlikely that he will be convicted?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about the trial of Donald Trump in New York related to hush money payments made to the porn star Stormy Daniels, do you think that it is likely or unlikely that he will be convicted?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very likely,16%,18%,14%,9%,11%,15%,26%,16%,20%,5%,14%,17%,14%,18%,14%,13%,20%,9%,13%,21%,15%,17%,16%,24%,13%,14%,24%,8%,20%,25%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,18%,17%,19%,15%,28%,14%,18%,18%,10%,23%,23%,15%,25%,15%,18%,15%,17%,16%,12%,22%,24%,12%,20%,18%,18%,18%,24%,13%,13%,25%
How satisfied are you with the way things are going in your life these days?,Somewhat unlikely,28%,31%,26%,45%,22%,28%,25%,28%,22%,39%,28%,28%,33%,25%,16%,38%,25%,42%,38%,20%,25%,35%,9%,27%,31%,25%,28%,30%,21%,30%
How satisfied are you with the way things are going in your life these days?,Very unlikely,29%,28%,29%,24%,33%,33%,19%,27%,38%,27%,25%,31%,20%,31%,41%,29%,30%,24%,32%,29%,24%,27%,36%,25%,28%,32%,19%,36%,31%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,6%,12%,7%,6%,10%,13%,10%,9%,6%,10%,10%,9%,11%,11%,5%,7%,9%,5%,8%,12%,10%,18%,6%,10%,11%,4%,13%,15%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,426,247,167,68,81,144,121,341,40,35,221,205,177,164,36,39,36,43,55,39,174,36,43,64,242,120,205,194,27,171
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,49%,49%,15%,21%,34%,27%,77%,11%,10%,38%,62%,30%,48%,8%,13%,12%,14%,18%,12%,22%,11%,12%,20%,47%,33%,42%,49%,10%,35%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,44%,39%,51%,50%,39%,40%,52%,41%,75%,43%,54%,39%,51%,34%,70%,55%,50%,31%,37%,70%,50%,40%,31%,64%,45%,31%,75%,16%,52%,78%
How satisfied are you with the way things are going in your life these days?,No,52%,58%,45%,48%,59%,55%,43%,55%,22%,56%,44%,56%,47%,60%,29%,43%,44%,63%,57%,30%,46%,52%,69%,36%,49%,65%,24%,79%,34%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,2%,4%,1%,3%,5%,5%,4%,3%,1%,2%,5%,2%,6%,2%,2%,5%,6%,5%,0%,4%,8%,0%,0%,6%,4%,<1%,5%,14%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,426,247,167,68,81,144,121,341,40,35,221,205,177,164,36,39,36,43,55,39,174,36,43,64,242,120,205,194,27,171
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,49%,49%,15%,21%,34%,27%,77%,11%,10%,38%,62%,30%,48%,8%,13%,12%,14%,18%,12%,22%,11%,12%,20%,47%,33%,42%,49%,10%,35%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Israel,44%,47%,42%,23%,32%,52%,58%,50%,17%,18%,40%,46%,44%,53%,15%,19%,45%,50%,45%,28%,39%,49%,54%,28%,42%,55%,28%,64%,16%,29%
How satisfied are you with the way things are going in your life these days?,Palestinians,22%,20%,24%,43%,31%,15%,11%,19%,33%,45%,30%,17%,28%,13%,47%,33%,28%,7%,22%,30%,26%,20%,18%,27%,26%,13%,36%,8%,28%,37%
How satisfied are you with the way things are going in your life these days?,[VOL] Both equally (Includes neither),16%,20%,14%,25%,18%,13%,15%,15%,21%,23%,17%,16%,16%,15%,23%,21%,9%,12%,21%,20%,18%,19%,13%,19%,19%,13%,19%,15%,13%,19%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,18%,14%,20%,10%,19%,21%,16%,16%,29%,14%,12%,21%,12%,19%,15%,27%,18%,31%,11%,22%,17%,11%,15%,25%,13%,19%,18%,13%,43%,16%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,[VOL] Fox News,15%,15%,15%,7%,7%,19%,20%,16%,10%,3%,10%,17%,12%,19%,2%,10%,10%,25%,15%,13%,12%,13%,18%,14%,12%,20%,2%,28%,6%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] CNN,8%,6%,9%,12%,7%,8%,6%,6%,17%,14%,7%,8%,7%,5%,9%,19%,8%,2%,9%,8%,10%,7%,9%,6%,9%,7%,14%,3%,3%,14%
How satisfied are you with the way things are going in your life these days?,[VOL] MSNBC,3%,4%,2%,0%,0%,4%,7%,3%,8%,0%,3%,3%,3%,3%,6%,4%,5%,5%,<1%,5%,3%,1%,3%,5%,3%,2%,7%,0%,3%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Public Radio/NPR/PBS,4%,3%,5%,3%,9%,4%,2%,4%,2%,6%,10%,1%,9%,1%,12%,0%,9%,3%,6%,4%,3%,6%,2%,6%,4%,5%,9%,<.5%,4%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Talk radio/conservative personality,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,0%,<1%,<1%,0%,0%,<1%,<.5%,0%,0%,<1%,0%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] National television networks, like CBS, NBC or ABC",11%,8%,15%,4%,6%,13%,17%,12%,9%,6%,10%,12%,10%,14%,11%,7%,13%,11%,5%,11%,10%,13%,18%,10%,12%,11%,15%,9%,5%,17%
How satisfied are you with the way things are going in your life these days?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",8%,7%,10%,8%,8%,8%,10%,8%,14%,7%,5%,10%,5%,10%,10%,12%,9%,10%,5%,15%,7%,8%,7%,13%,7%,7%,9%,7%,13%,8%
How satisfied are you with the way things are going in your life these days?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,7%,6%,7%,9%,7%,6%,8%,2%,7%,12%,4%,14%,4%,5%,4%,13%,3%,1%,14%,12%,0%,5%,12%,7%,4%,13%,1%,7%,14%
How satisfied are you with the way things are going in your life these days?,[VOL] Local print or online news organizations,<1%,<1%,<1%,<1%,<.5%,0%,1%,<1%,0%,0%,<1%,<.5%,<1%,<1%,0%,0%,0%,3%,0%,0%,<.5%,0%,1%,0%,<.5%,2%,<.5%,<1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Social media,13%,14%,12%,30%,15%,9%,6%,11%,13%,28%,11%,14%,10%,12%,15%,21%,5%,11%,20%,15%,13%,11%,12%,14%,14%,11%,8%,14%,29%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Friends and family,<1%,0%,<1%,0%,<.5%,2%,0%,<1%,0%,3%,<1%,<1%,<1%,<1%,3%,0%,0%,0%,0%,<1%,<1%,3%,<1%,1%,<1%,<1%,<.5%,1%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,3%,2%,2%,6%,2%,<1%,2%,3%,6%,5%,<1%,5%,<.5%,8%,2%,6%,<1%,4%,<1%,2%,2%,2%,4%,3%,<1%,5%,<1%,0%,4%
How satisfied are you with the way things are going in your life these days?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,3%,4%,6%,2%,<1%,3%,0%,10%,4%,2%,4%,2%,7%,3%,3%,2%,3%,0%,6%,2%,4%,<1%,4%,3%,5%,1%,3%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Conservative news sites,4%,5%,3%,1%,9%,3%,2%,5%,2%,<.5%,2%,5%,3%,6%,<1%,2%,0%,2%,4%,2%,4%,11%,2%,1%,4%,5%,<.5%,7%,3%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Newsmax,4%,4%,4%,1%,4%,2%,7%,4%,4%,2%,2%,5%,2%,6%,2%,4%,5%,4%,3%,4%,2%,5%,6%,3%,4%,4%,<.5%,8%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Doesn’t consume news,2%,3%,1%,3%,2%,1%,2%,2%,<1%,1%,1%,2%,<1%,3%,3%,0%,<1%,3%,2%,0%,2%,3%,2%,0%,2%,3%,<1%,3%,3%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (includes no preference and the internet),9%,11%,7%,12%,7%,9%,9%,8%,10%,8%,9%,9%,9%,8%,5%,11%,7%,8%,15%,6%,7%,10%,9%,6%,10%,8%,8%,10%,6%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,6%,3%,3%,3%,7%,4%,6%,3%,0%,4%,5%,4%,6%,2%,2%,7%,6%,7%,2%,4%,6%,2%,4%,5%,5%,3%,5%,12%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,48%,41%,54%,72%,58%,47%,29%,47%,47%,61%,50%,47%,51%,45%,45%,57%,51%,49%,47%,46%,50%,46%,45%,47%,51%,44%,51%,45%,45%,51%
How satisfied are you with the way things are going in your life these days?,Sometimes,18%,15%,21%,15%,18%,19%,19%,17%,25%,21%,18%,18%,17%,18%,25%,22%,21%,16%,18%,18%,19%,18%,18%,23%,16%,18%,21%,16%,13%,22%
How satisfied are you with the way things are going in your life these days?,Rarely,14%,17%,11%,11%,14%,14%,18%,14%,17%,8%,16%,13%,16%,13%,16%,13%,9%,9%,18%,19%,12%,16%,16%,14%,13%,16%,11%,16%,18%,11%
How satisfied are you with the way things are going in your life these days?,Never,19%,26%,13%,2%,10%,20%,33%,20%,9%,9%,16%,20%,15%,24%,14%,7%,17%,24%,16%,18%,19%,20%,20%,16%,18%,22%,16%,22%,22%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,1%,0%,<1%,1%,<1%,<1%,0%,1%,2%,2%,1%,0%,<1%,0%,0%,0%,1%,<1%,<.5%,1%,4%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,13%,13%,13%,32%,18%,9%,4%,11%,18%,28%,12%,14%,10%,12%,19%,24%,15%,10%,18%,13%,14%,11%,9%,11%,14%,13%,14%,11%,20%,13%
How satisfied are you with the way things are going in your life these days?,Sometimes,8%,5%,11%,21%,8%,6%,4%,6%,17%,17%,7%,9%,6%,6%,11%,20%,5%,7%,12%,9%,8%,7%,7%,12%,8%,7%,10%,6%,14%,8%
How satisfied are you with the way things are going in your life these days?,Rarely,10%,5%,13%,10%,11%,13%,5%,10%,12%,8%,8%,10%,8%,11%,12%,10%,18%,8%,5%,16%,7%,10%,7%,17%,9%,7%,13%,7%,3%,13%
How satisfied are you with the way things are going in your life these days?,Never,49%,50%,49%,34%,52%,51%,53%,52%,42%,39%,57%,45%,60%,47%,44%,39%,42%,49%,47%,44%,52%,53%,56%,44%,50%,51%,47%,53%,37%,49%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Never use social media,19%,26%,13%,2%,10%,20%,33%,20%,9%,9%,16%,20%,15%,24%,14%,7%,17%,24%,16%,18%,19%,20%,20%,16%,18%,22%,16%,22%,22%,16%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don't know/Refused,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,1%,0%,<1%,1%,<1%,<1%,0%,1%,2%,2%,1%,0%,<1%,0%,0%,0%,1%,<1%,<.5%,1%,4%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,None at all,62%,62%,62%,45%,51%,69%,71%,63%,61%,45%,63%,60%,64%,62%,57%,53%,59%,65%,52%,55%,65%,69%,66%,56%,62%,65%,58%,67%,52%,59%
How satisfied are you with the way things are going in your life these days?,More than none but less than 1 hour,16%,18%,15%,17%,23%,15%,13%,17%,10%,21%,19%,14%,18%,16%,25%,9%,17%,10%,19%,17%,16%,21%,14%,17%,17%,15%,17%,17%,9%,17%
How satisfied are you with the way things are going in your life these days?,More than 1 hour but less than 2,10%,10%,11%,14%,15%,8%,6%,10%,16%,7%,11%,9%,12%,8%,8%,14%,14%,9%,8%,18%,12%,2%,9%,17%,10%,7%,12%,7%,12%,13%
How satisfied are you with the way things are going in your life these days?,More than 2 hours but less than 3,6%,7%,5%,13%,4%,5%,4%,5%,7%,16%,3%,8%,3%,6%,3%,15%,1%,8%,11%,8%,4%,4%,6%,6%,6%,6%,5%,5%,15%,5%
How satisfied are you with the way things are going in your life these days?,More than 3 hours but less than 4,2%,<1%,3%,1%,2%,1%,3%,1%,2%,10%,1%,2%,<1%,2%,4%,5%,4%,2%,5%,0%,<1%,<1%,2%,3%,2%,2%,3%,<.5%,9%,3%
How satisfied are you with the way things are going in your life these days?,More than 4 hours but less than 5,<1%,<1%,<1%,2%,2%,<.5%,0%,<1%,3%,0%,<.5%,1%,0%,<1%,1%,2%,3%,0%,<1%,2%,<1%,0%,0%,1%,<1%,<1%,1%,<1%,0%,1%
How satisfied are you with the way things are going in your life these days?,5 hours or more,2%,2%,3%,8%,2%,<.5%,2%,3%,0%,0%,<.5%,3%,<1%,4%,0%,0%,1%,3%,5%,0%,<1%,3%,2%,0%,2%,4%,3%,2%,<1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,<1%,<1%,<1%,1%,1%,<1%,<1%,1%,1%,1%,<1%,<1%,<1%,2%,1%,2%,2%,0%,0%,<1%,0%,1%,0%,1%,1%,<.5%,1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,14%,20%,7%,25%,23%,11%,3%,12%,13%,30%,19%,10%,17%,9%,27%,16%,19%,5%,17%,18%,16%,14%,7%,16%,17%,7%,12%,15%,12%,10%
How satisfied are you with the way things are going in your life these days?,No,85%,79%,92%,75%,76%,87%,96%,87%,87%,68%,80%,88%,82%,90%,71%,83%,79%,93%,83%,79%,83%,86%,92%,81%,82%,92%,88%,84%,81%,90%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of this,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,2%,<.5%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,<.5%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,<.5%,1%,<1%,<1%,2%,<1%,1%,<1%,0%,<1%,1%,<1%,1%,0%,<1%,2%,2%,0%,3%,<.5%,0%,0%,2%,<1%,<1%,0%,<1%,7%,0%
