itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden
(Ask only split B)  The U.S. Senate,Neither good nor bad for democracy,25%,23%,27%,32%,28%,26%,20%,25%,21%,30%,24%,25%,25%,25%,25%,25%,25%,26%,26%,30%,21%,26%,24%,25%,25%,31%,26%,23%,26%,22%
(Ask only split B)  The U.S. Senate,[VOL] Don't know/Refused,4%,3%,5%,<1%,5%,5%,3%,4%,7%,5%,4%,4%,5%,3%,5%,3%,5%,2%,7%,3%,5%,4%,5%,3%,5%,6%,4%,7%,2%,3%
(Ask only split B)  The U.S. Senate,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split A)  Electronic voting machines,Good for democracy,57%,55%,59%,62%,55%,54%,59%,54%,78%,60%,53%,54%,65%,61%,55%,62%,50%,58%,70%,60%,62%,52%,58%,81%,34%,54%,81%,36%,55%,79%
(Ask only split A)  Electronic voting machines,Bad for democracy,20%,23%,17%,17%,18%,25%,18%,22%,10%,12%,24%,22%,15%,18%,21%,17%,26%,22%,10%,20%,15%,21%,23%,3%,38%,13%,3%,35%,23%,5%
(Ask only split A)  Electronic voting machines,Neither good nor bad for democracy,20%,21%,19%,20%,25%,19%,16%,20%,11%,23%,20%,20%,18%,18%,20%,18%,21%,20%,17%,18%,19%,23%,17%,14%,24%,33%,13%,25%,20%,14%
(Ask only split A)  Electronic voting machines,[VOL] Don't know/Refused,3%,1%,5%,1%,1%,2%,7%,4%,0%,5%,3%,4%,3%,2%,3%,3%,3%,0%,4%,3%,3%,4%,2%,2%,4%,0%,2%,4%,3%,2%
(Ask only split A)  Electronic voting machines,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A)  Voting by mail,Good for democracy,52%,46%,57%,62%,55%,48%,52%,50%,68%,59%,46%,50%,58%,58%,48%,58%,44%,57%,60%,51%,57%,40%,65%,81%,23%,55%,81%,25%,51%,80%
(Ask only split A)  Voting by mail,Bad for democracy,31%,37%,25%,24%,31%,35%,29%,34%,18%,20%,34%,34%,23%,26%,34%,28%,39%,23%,22%,33%,27%,37%,22%,6%,57%,22%,7%,51%,34%,8%
(Ask only split A)  Voting by mail,Neither good nor bad for democracy,15%,15%,15%,13%,14%,16%,16%,15%,12%,16%,20%,15%,16%,15%,15%,13%,16%,20%,14%,13%,13%,20%,11%,12%,18%,18%,11%,20%,14%,12%
(Ask only split A)  Voting by mail,[VOL] Don't know/Refused,2%,2%,2%,0%,1%,2%,3%,2%,2%,4%,0%,2%,2%,1%,3%,2%,2%,0%,3%,2%,2%,2%,2%,2%,2%,4%,<1%,3%,<1%,1%
(Ask only split A)  Voting by mail,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split B)  The mainstream media,Good for democracy,21%,20%,23%,16%,17%,21%,28%,20%,32%,32%,14%,20%,27%,26%,19%,26%,15%,27%,28%,16%,28%,18%,25%,37%,6%,14%,41%,6%,19%,39%
(Ask only split B)  The mainstream media,Bad for democracy,55%,61%,50%,63%,54%,57%,50%,61%,31%,32%,57%,61%,38%,50%,59%,53%,66%,37%,40%,58%,51%,61%,48%,28%,82%,63%,26%,80%,58%,27%
(Ask only split B)  The mainstream media,Neither good nor bad for democracy,21%,17%,24%,21%,27%,19%,17%,18%,28%,32%,28%,18%,29%,23%,19%,20%,17%,34%,25%,22%,21%,18%,24%,31%,11%,20%,28%,12%,22%,31%
(Ask only split B)  The mainstream media,[VOL] Don't know/Refused,3%,2%,2%,0%,1%,3%,4%,1%,9%,5%,1%,1%,6%,2%,3%,1%,1%,2%,8%,3%,1%,3%,3%,4%,1%,3%,5%,2%,1%,4%
(Ask only split B)  The mainstream media,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split B)  Social media,Good for democracy,21%,20%,23%,31%,24%,21%,14%,19%,28%,29%,23%,19%,27%,20%,22%,18%,21%,27%,26%,20%,20%,23%,21%,23%,19%,19%,23%,19%,22%,22%
(Ask only split B)  Social media,Bad for democracy,51%,52%,50%,39%,45%,53%,57%,54%,41%,33%,56%,54%,42%,53%,49%,56%,51%,43%,42%,54%,51%,51%,47%,45%,56%,56%,42%,57%,54%,47%
(Ask only split B)  Social media,Neither good nor bad for democracy,25%,26%,25%,30%,29%,21%,27%,25%,26%,35%,19%,25%,28%,25%,26%,24%,26%,30%,26%,23%,26%,25%,28%,29%,22%,20%,31%,22%,23%,28%
(Ask only split B)  Social media,[VOL] Don't know/Refused,3%,2%,3%,0%,1%,4%,3%,2%,5%,3%,2%,2%,4%,1%,3%,2%,2%,<1%,6%,2%,3%,2%,4%,3%,2%,4%,4%,2%,<1%,3%
(Ask only split B)  Social media,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"(Asked if not Donald Trump supporter) When you think about supporters of Donald Trump, do you tend to think of them as …",Fellow Americans who you disagree with politically,77%,76%,77%,82%,83%,77%,70%,80%,70%,72%,83%,80%,73%,82%,72%,84%,75%,80%,69%,76%,80%,72%,79%,78%,-,67%,76%,71%,82%,78%
"(Asked if not Donald Trump supporter) When you think about supporters of Donald Trump, do you tend to think of them as …",The enemy,16%,16%,17%,14%,9%,16%,24%,16%,22%,16%,13%,16%,18%,12%,21%,12%,20%,11%,22%,16%,14%,18%,17%,17%,-,5%,20%,17%,11%,17%
"(Asked if not Donald Trump supporter) When you think about supporters of Donald Trump, do you tend to think of them as …",[VOL] Don't know/Refused,7%,8%,6%,3%,8%,7%,6%,5%,9%,12%,5%,5%,9%,6%,8%,4%,5%,9%,9%,7%,6%,10%,4%,5%,-,28%,4%,13%,7%,5%
"(Asked if not Donald Trump supporter) When you think about supporters of Donald Trump, do you tend to think of them as …",Number of respondents,"1,150",475,657,216,256,354,288,693,219,129,81,693,429,638,509,437,256,188,239,240,278,363,269,"1,056",,94,647,45,386,885
"(Asked if not Kamala Harris supporter) When you think about supporters of Kamala Harris, do you tend to think of them as …",Fellow Americans who you disagree with politically,83%,84%,81%,91%,90%,82%,76%,83%,60%,84%,93%,83%,83%,85%,81%,86%,81%,82%,84%,81%,86%,79%,87%,-,84%,72%,76%,80%,88%,82%
"(Asked if not Kamala Harris supporter) When you think about supporters of Kamala Harris, do you tend to think of them as …",The enemy,11%,10%,13%,5%,6%,11%,18%,13%,11%,8%,4%,13%,7%,10%,12%,9%,15%,12%,4%,11%,10%,14%,9%,-,12%,3%,16%,15%,6%,4%
"(Asked if not Kamala Harris supporter) When you think about supporters of Kamala Harris, do you tend to think of them as …",[VOL] Don't know/Refused,6%,6%,6%,4%,4%,7%,6%,4%,29%,8%,3%,4%,10%,6%,6%,5%,4%,6%,12%,8%,5%,7%,4%,-,4%,25%,8%,5%,6%,14%
"(Asked if not Kamala Harris supporter) When you think about supporters of Kamala Harris, do you tend to think of them as …",Number of respondents,"1,041",589,445,169,217,380,235,761,47,109,87,761,243,421,609,312,444,95,143,231,191,405,214,,947,94,42,587,334,86
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,Very confident,15%,19%,11%,13%,13%,15%,17%,15%,3%,10%,26%,15%,12%,15%,14%,13%,17%,19%,7%,13%,13%,18%,14%,1%,29%,18%,2%,28%,15%,1%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,Somewhat confident,22%,25%,19%,21%,19%,26%,20%,26%,7%,21%,11%,26%,13%,16%,25%,19%,30%,11%,14%,23%,20%,22%,21%,5%,40%,9%,6%,38%,22%,6%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,Not too confident,17%,15%,18%,28%,21%,15%,9%,16%,17%,21%,20%,16%,19%,17%,17%,18%,15%,15%,21%,14%,17%,18%,16%,14%,18%,24%,17%,19%,13%,15%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,Not at all confident,43%,38%,49%,36%,42%,42%,49%,41%,67%,42%,38%,41%,50%,48%,40%,48%,36%,50%,52%,45%,49%,37%,47%,78%,9%,32%,73%,12%,46%,76%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,[VOL] Don't know/Refused,3%,3%,3%,1%,4%,2%,4%,2%,6%,6%,4%,2%,6%,3%,4%,2%,2%,5%,6%,4%,2%,4%,2%,2%,3%,17%,2%,2%,4%,2%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,NET Confident,37%,44%,30%,34%,32%,41%,37%,41%,11%,31%,38%,41%,25%,32%,39%,32%,47%,31%,21%,37%,32%,41%,35%,6%,69%,27%,8%,66%,37%,7%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,NET Not confident,60%,53%,66%,64%,64%,57%,59%,57%,83%,63%,58%,57%,69%,65%,57%,66%,50%,65%,73%,59%,66%,55%,63%,92%,28%,56%,90%,32%,59%,91%
(Ask only split A)  How confident are you that Donald Trump will accept the results of the election if he loses?,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,Very confident,52%,48%,56%,45%,54%,53%,55%,53%,67%,43%,51%,53%,54%,63%,46%,65%,44%,60%,52%,53%,62%,47%,52%,84%,22%,45%,81%,27%,51%,83%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,Somewhat confident,23%,24%,22%,35%,26%,22%,15%,22%,19%,27%,29%,22%,24%,21%,23%,22%,21%,20%,26%,27%,21%,24%,19%,12%,34%,25%,13%,31%,23%,12%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,Not too confident,13%,16%,10%,11%,12%,12%,17%,14%,4%,15%,11%,14%,10%,8%,16%,6%,20%,13%,9%,13%,7%,15%,15%,2%,23%,15%,3%,22%,15%,3%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,Not at all confident,8%,8%,8%,6%,5%,10%,10%,8%,5%,9%,8%,8%,7%,4%,11%,3%,12%,5%,8%,3%,8%,9%,12%,1%,16%,<.5%,2%,17%,6%,<1%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,[VOL] Don't know/Refused,4%,4%,3%,4%,3%,3%,3%,3%,5%,6%,2%,3%,4%,3%,4%,3%,3%,2%,5%,4%,2%,5%,3%,1%,5%,14%,1%,4%,5%,1%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,NET Confident,75%,72%,78%,80%,80%,75%,70%,75%,86%,69%,80%,75%,79%,84%,69%,87%,65%,80%,78%,80%,83%,71%,71%,96%,55%,71%,94%,58%,74%,95%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,NET Not confident,21%,24%,18%,17%,17%,22%,27%,22%,10%,24%,19%,22%,17%,13%,27%,10%,32%,18%,17%,16%,15%,24%,26%,3%,40%,15%,4%,38%,21%,3%
(Ask only split A)  How confident are you that Kamala Harris will accept the results of the election if she loses?,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"(Ask only split A)  When it comes to elections in the United States, what concerns you more?",That some people will cast votes illegally,49%,56%,43%,43%,50%,54%,46%,54%,23%,41%,52%,54%,37%,41%,54%,42%,63%,40%,35%,51%,42%,57%,44%,12%,86%,52%,15%,82%,52%,14%
"(Ask only split A)  When it comes to elections in the United States, what concerns you more?",That some eligible voters won’t have a fair chance to vote,46%,38%,53%,53%,47%,42%,45%,43%,69%,44%,45%,43%,54%,54%,40%,54%,35%,56%,53%,45%,56%,37%,49%,82%,9%,41%,81%,13%,44%,78%
"(Ask only split A)  When it comes to elections in the United States, what concerns you more?",[VOL] Don't know/Refused,5%,6%,4%,4%,2%,4%,9%,3%,9%,15%,4%,3%,9%,4%,6%,4%,2%,4%,12%,4%,3%,6%,7%,6%,4%,7%,5%,5%,4%,7%
"(Ask only split A)  When it comes to elections in the United States, what concerns you more?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"(Ask only split A)  Which of the following statements comes closer to your view, even if neither is exactly right?",The government is mostly working to benefit itself and the elites,62%,64%,60%,76%,71%,60%,49%,64%,60%,51%,63%,64%,58%,54%,68%,53%,72%,55%,58%,60%,52%,67%,65%,41%,82%,75%,43%,77%,66%,41%
"(Ask only split A)  Which of the following statements comes closer to your view, even if neither is exactly right?",The government is mostly working to benefit the people and the country,33%,31%,34%,22%,25%,34%,44%,32%,31%,41%,35%,32%,36%,41%,26%,43%,23%,40%,34%,34%,42%,27%,32%,53%,14%,20%,53%,20%,28%,54%
"(Ask only split A)  Which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,5%,5%,2%,4%,5%,8%,4%,9%,8%,2%,4%,7%,5%,5%,4%,4%,5%,8%,6%,6%,6%,3%,6%,4%,5%,5%,3%,6%,6%
"(Ask only split A)  Which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"(Ask only split B)  Which of the following statements comes closer to your view about career employees in the federal government, even if neither is exactly right?",They are just trying to carry out the law,36%,33%,39%,37%,36%,37%,36%,35%,45%,45%,32%,35%,41%,47%,30%,49%,26%,44%,40%,28%,47%,32%,42%,57%,16%,23%,59%,16%,35%,56%
"(Ask only split B)  Which of the following statements comes closer to your view about career employees in the federal government, even if neither is exactly right?",They are just trying to advance their own political agenda,56%,59%,53%,61%,56%,54%,55%,58%,49%,46%,54%,58%,49%,46%,62%,46%,66%,48%,51%,65%,43%,59%,53%,36%,74%,64%,34%,73%,59%,37%
"(Ask only split B)  Which of the following statements comes closer to your view about career employees in the federal government, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,8%,8%,3%,8%,9%,9%,7%,7%,10%,14%,7%,10%,7%,9%,6%,9%,8%,9%,7%,10%,10%,5%,7%,9%,13%,7%,11%,6%,7%
"(Ask only split B)  Which of the following statements comes closer to your view about career employees in the federal government, even if neither is exactly right?",Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,Very worried,31%,22%,39%,20%,29%,29%,41%,28%,56%,36%,19%,28%,39%,39%,26%,38%,22%,41%,37%,29%,33%,29%,34%,60%,3%,23%,64%,4%,28%,60%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,Somewhat worried,16%,15%,16%,29%,18%,15%,10%,15%,20%,14%,20%,15%,18%,17%,14%,16%,14%,20%,17%,14%,18%,14%,18%,23%,8%,14%,21%,8%,19%,21%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,Not too worried,15%,19%,11%,17%,17%,17%,9%,15%,12%,16%,16%,15%,14%,12%,17%,12%,17%,13%,16%,13%,16%,14%,16%,9%,19%,32%,8%,17%,19%,11%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,Not at all worried,38%,43%,33%,33%,36%,38%,39%,41%,11%,33%,44%,41%,28%,32%,42%,34%,46%,25%,29%,44%,31%,43%,31%,7%,70%,26%,7%,70%,33%,7%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,[VOL] Don't know/Refused,<1%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<.5%,1%,<.5%,<1%,<.5%,<.5%,5%,<.5%,<.5%,1%,<.5%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,NET Very/somewhat worried,47%,37%,55%,49%,47%,44%,51%,43%,76%,50%,39%,43%,56%,56%,41%,54%,36%,61%,54%,43%,51%,43%,52%,83%,11%,37%,85%,12%,47%,81%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,NET Not too worried/not at all worried,53%,62%,44%,51%,53%,55%,49%,56%,23%,49%,60%,56%,43%,44%,58%,46%,64%,38%,45%,57%,48%,57%,47%,16%,89%,58%,15%,87%,52%,18%
(Ask only split B)  How worried are you about the possibility of Donald Trump and his allies trying to overturn the results of the 2024 election through illegal means?,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,Very worried,20%,20%,21%,13%,13%,23%,25%,23%,3%,12%,21%,23%,11%,15%,24%,16%,28%,9%,13%,26%,16%,24%,13%,<1%,40%,16%,2%,44%,15%,2%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,Somewhat worried,13%,14%,13%,12%,14%,13%,13%,14%,6%,12%,20%,14%,12%,10%,16%,10%,17%,11%,13%,13%,9%,14%,16%,2%,25%,5%,2%,24%,14%,2%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,Not too worried,14%,15%,13%,26%,14%,13%,8%,14%,13%,17%,7%,14%,13%,13%,14%,14%,14%,11%,14%,13%,14%,13%,14%,12%,14%,24%,12%,13%,16%,9%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,Not at all worried,52%,51%,53%,49%,57%,50%,53%,48%,77%,57%,52%,48%,63%,62%,46%,60%,40%,69%,58%,47%,59%,49%,57%,85%,20%,51%,83%,18%,55%,85%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,[VOL] Don't know/Refused,<1%,<1%,<1%,<.5%,1%,0%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,0%,2%,<.5%,<1%,<1%,<.5%,5%,<1%,<.5%,<1%,<1%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,NET Very/somewhat worried,33%,33%,34%,25%,28%,37%,37%,37%,9%,25%,41%,37%,24%,25%,39%,26%,45%,20%,26%,39%,25%,38%,28%,3%,65%,21%,4%,68%,29%,5%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,NET Not too worried/not at all worried,66%,66%,65%,74%,71%,63%,62%,62%,90%,75%,58%,62%,76%,75%,60%,73%,54%,80%,73%,61%,73%,62%,71%,96%,34%,75%,95%,31%,71%,95%
(Ask only split B)  How worried are you about the possibility of Kamala Harris and her allies trying to overturn the results of the 2024 election through illegal means?,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"For each of the following things that Donald Trump has said, do you take what he says seriously or do you not take him seriously?",Take what he says seriously,48%,41%,55%,50%,47%,48%,51%,46%,70%,51%,42%,46%,55%,51%,47%,51%,43%,52%,58%,46%,54%,42%,54%,77%,21%,38%,77%,26%,45%,75%
"For each of the following things that Donald Trump has said, do you take what he says seriously or do you not take him seriously?",Not take what he says seriously,46%,53%,39%,47%,48%,46%,41%,49%,25%,45%,51%,49%,39%,44%,46%,44%,51%,43%,37%,48%,41%,50%,40%,21%,70%,47%,22%,65%,48%,23%
"For each of the following things that Donald Trump has said, do you take what he says seriously or do you not take him seriously?",[VOL] Don't know/Refused,6%,6%,6%,3%,6%,6%,7%,6%,5%,4%,6%,6%,5%,5%,6%,5%,6%,5%,5%,5%,5%,8%,6%,2%,9%,15%,<1%,8%,6%,2%
"For each of the following things that Donald Trump has said, do you take what he says seriously or do you not take him seriously?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
That he might use the Department of Justice to prosecute his political opponents,Take what he says seriously,59%,55%,63%,61%,64%,58%,58%,58%,78%,54%,57%,58%,64%,63%,57%,63%,54%,64%,65%,60%,66%,54%,61%,82%,38%,41%,82%,43%,57%,82%
That he might use the Department of Justice to prosecute his political opponents,Not take what he says seriously,36%,40%,32%,35%,32%,38%,35%,38%,16%,39%,37%,38%,30%,33%,37%,33%,42%,31%,29%,35%,30%,39%,34%,15%,55%,46%,16%,51%,38%,15%
That he might use the Department of Justice to prosecute his political opponents,[VOL] Don't know/Refused,5%,5%,5%,3%,4%,4%,7%,4%,6%,7%,6%,4%,6%,4%,6%,4%,4%,4%,7%,5%,4%,6%,5%,3%,7%,13%,2%,6%,5%,2%
That he might use the Department of Justice to prosecute his political opponents,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
That he would deport all 11 million undocumented immigrants,Take what he says seriously,67%,65%,69%,61%,63%,68%,74%,69%,76%,57%,57%,69%,64%,64%,70%,64%,73%,65%,64%,69%,66%,69%,65%,69%,68%,42%,72%,70%,63%,69%
That he would deport all 11 million undocumented immigrants,Not take what he says seriously,30%,31%,29%,36%,34%,30%,23%,29%,18%,39%,36%,29%,31%,34%,27%,34%,26%,33%,29%,27%,32%,28%,32%,29%,28%,46%,27%,26%,34%,29%
That he would deport all 11 million undocumented immigrants,[VOL] Don't know/Refused,3%,3%,2%,3%,3%,2%,3%,2%,5%,4%,7%,2%,5%,2%,4%,2%,2%,2%,7%,5%,2%,3%,3%,2%,4%,13%,1%,4%,2%,2%
That he would deport all 11 million undocumented immigrants,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Donald Trump makes the partisan divide in this country worse,58%,56%,61%,64%,64%,58%,53%,56%,81%,50%,57%,56%,64%,71%,51%,73%,44%,66%,64%,59%,66%,50%,63%,93%,24%,56%,92%,22%,63%,91%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Donald Trump makes the partisan divide in this country better,18%,19%,18%,20%,10%,21%,20%,20%,9%,20%,13%,20%,14%,12%,22%,12%,27%,14%,14%,19%,16%,22%,14%,2%,35%,7%,4%,37%,14%,4%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Donald Trump does not have an impact on the partisan divide in this country,19%,22%,17%,13%,20%,18%,22%,19%,7%,24%,26%,19%,18%,14%,22%,13%,23%,17%,18%,17%,13%,22%,21%,3%,35%,20%,2%,34%,20%,4%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",[VOL] Don't know/Refused,4%,3%,5%,3%,6%,3%,6%,4%,2%,6%,4%,4%,4%,3%,5%,2%,6%,4%,4%,5%,5%,5%,2%,1%,6%,16%,1%,6%,2%,1%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,A lot worse,49%,43%,54%,51%,51%,50%,47%,46%,73%,43%,51%,46%,57%,59%,43%,58%,37%,61%,55%,52%,56%,40%,54%,88%,10%,36%,85%,11%,52%,85%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,A little bit worse,9%,12%,7%,13%,13%,7%,5%,10%,9%,7%,6%,10%,7%,11%,8%,14%,7%,5%,9%,7%,9%,11%,9%,5%,13%,20%,6%,11%,11%,6%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,[VOL] Don't know/Refused,<.5%,<.5%,<1%,0%,<1%,<.5%,0%,<1%,0%,0%,0%,<1%,0%,<1%,0%,1%,0%,0%,0%,<1%,<1%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Donald Trump makes the partisan divide in this country better,18%,19%,18%,20%,10%,21%,20%,20%,9%,20%,13%,20%,14%,12%,22%,12%,27%,14%,14%,19%,16%,22%,14%,2%,35%,7%,4%,37%,14%,4%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Donald Trump does not have an impact on the partisan divide in this country,19%,22%,17%,13%,20%,18%,22%,19%,7%,24%,26%,19%,18%,14%,22%,13%,23%,17%,18%,17%,13%,22%,21%,3%,35%,20%,2%,34%,20%,4%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Don't know/Refused,4%,3%,5%,3%,6%,3%,6%,4%,2%,6%,4%,4%,4%,3%,5%,2%,6%,4%,4%,5%,5%,5%,2%,1%,6%,16%,1%,6%,2%,1%
(Ask only split A and Trump made divide worse) (Combined) Has Donald Trump made the partisan divide a lot worse or only a little bit worse?,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Kamala Harris makes the partisan divide in this country worse,37%,43%,33%,39%,32%,40%,39%,44%,12%,29%,30%,44%,23%,32%,41%,36%,50%,20%,23%,36%,31%,42%,37%,4%,72%,25%,7%,69%,36%,9%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Kamala Harris makes the partisan divide in this country better,30%,25%,36%,25%,23%,34%,36%,27%,54%,35%,28%,27%,40%,33%,29%,32%,23%,34%,44%,27%,31%,29%,35%,59%,3%,18%,61%,8%,25%,56%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Kamala Harris does not have an impact on the partisan divide in this country,28%,29%,27%,35%,40%,25%,21%,27%,27%,29%,38%,27%,31%,33%,25%,30%,25%,42%,25%,33%,34%,24%,26%,34%,22%,41%,30%,20%,36%,32%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",[VOL] Don't know/Refused,4%,3%,4%,1%,6%,1%,5%,2%,8%,7%,4%,2%,6%,2%,4%,2%,2%,4%,8%,4%,4%,4%,2%,3%,3%,16%,2%,3%,2%,3%
"(Ask only split A)  Which of the following statements comes closest to your view, even if none are exactly right?",Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
