itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Providing additional economic and military support to Ukraine,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly support,35%,39%,31%,21%,26%,33%,53%,38%,28%,23%,37%,43%,30%,47%,34%,35%,24%,36%,33%,32%,39%,34%,38%,31%,62%,14%,16%,56%,21%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat support,24%,22%,26%,34%,24%,23%,20%,25%,19%,24%,26%,25%,24%,27%,24%,21%,24%,22%,28%,20%,29%,31%,24%,20%,21%,26%,26%,23%,30%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat oppose,13%,11%,14%,16%,17%,14%,6%,11%,19%,16%,10%,10%,14%,11%,12%,10%,19%,15%,10%,14%,10%,8%,11%,17%,8%,17%,14%,9%,11%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly oppose,23%,23%,22%,24%,28%,27%,12%,20%,24%,29%,21%,20%,25%,13%,25%,31%,22%,23%,23%,24%,22%,23%,22%,24%,7%,36%,28%,10%,32%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of this,<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,4%,8%,4%,5%,3%,9%,5%,9%,8%,6%,2%,8%,2%,7%,3%,10%,5%,6%,10%,1%,5%,5%,8%,3%,6%,16%,2%,6%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Support,59%,61%,56%,55%,51%,56%,73%,64%,48%,47%,63%,68%,54%,74%,57%,56%,48%,57%,61%,52%,67%,65%,62%,51%,83%,41%,42%,79%,51%,55%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Oppose,35%,34%,36%,40%,44%,41%,18%,31%,43%,45%,31%,30%,39%,23%,36%,41%,42%,38%,33%,38%,31%,31%,33%,41%,14%,53%,42%,19%,43%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Making it harder for migrants at the southern border to seek asylum in the United States,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly support,31%,32%,30%,9%,23%,42%,40%,35%,18%,21%,29%,30%,31%,31%,38%,28%,19%,34%,26%,32%,30%,25%,31%,35%,12%,51%,14%,12%,55%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat support,19%,21%,17%,27%,20%,17%,17%,18%,21%,24%,14%,23%,16%,23%,15%,21%,20%,16%,25%,16%,19%,23%,19%,15%,23%,14%,26%,20%,12%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat oppose,18%,17%,18%,29%,21%,15%,12%,18%,21%,17%,16%,16%,19%,17%,18%,15%,20%,15%,20%,19%,16%,20%,15%,20%,25%,11%,18%,27%,7%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly oppose,25%,23%,27%,31%,27%,21%,21%,22%,27%,30%,39%,27%,24%,25%,20%,29%,31%,28%,20%,22%,31%,24%,29%,21%,33%,18%,28%,35%,18%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of this,<.5%,<.5%,<.5%,<1%,0%,<.5%,0%,<.5%,0%,0%,2%,<.5%,<.5%,0%,<.5%,1%,0%,<1%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,7%,8%,4%,9%,6%,9%,7%,12%,8%,1%,4%,10%,4%,9%,5%,10%,7%,8%,10%,4%,9%,6%,9%,7%,7%,15%,6%,8%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Support,49%,52%,47%,35%,43%,58%,57%,53%,39%,45%,43%,52%,48%,54%,52%,49%,39%,50%,51%,48%,49%,48%,50%,50%,35%,65%,40%,32%,67%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Oppose,43%,40%,45%,60%,49%,36%,33%,40%,49%,47%,54%,43%,42%,43%,38%,44%,51%,43%,41%,41%,47%,43%,43%,41%,58%,29%,45%,61%,25%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has committed serious federal crimes,53%,50%,56%,74%,45%,47%,56%,48%,68%,63%,65%,62%,48%,61%,41%,65%,64%,55%,55%,45%,62%,62%,60%,39%,91%,21%,47%,85%,21%,57%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump has not committed serious federal crimes,36%,38%,34%,21%,36%,44%,38%,42%,20%,28%,23%,30%,40%,33%,47%,23%,25%,32%,33%,45%,30%,28%,30%,49%,4%,68%,23%,10%,67%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,11%,12%,10%,6%,19%,10%,6%,10%,12%,10%,13%,8%,12%,6%,13%,12%,11%,13%,12%,10%,8%,10%,10%,12%,5%,12%,29%,6%,13%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Fox News,10%,9%,11%,7%,5%,12%,12%,11%,1%,8%,9%,8%,11%,9%,13%,5%,7%,9%,6%,12%,10%,5%,10%,12%,<1%,18%,7%,2%,22%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] CNN,7%,8%,6%,6%,8%,9%,4%,5%,19%,8%,10%,8%,7%,6%,4%,13%,12%,5%,10%,7%,8%,11%,8%,4%,10%,5%,5%,15%,2%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] MSNBC,2%,3%,2%,<1%,0%,2%,7%,3%,6%,<1%,0%,4%,2%,5%,1%,3%,2%,2%,2%,2%,5%,3%,3%,1%,6%,<.5%,0%,7%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Public Radio/NPR/PBS,3%,4%,3%,4%,5%,3%,2%,4%,2%,<1%,11%,6%,2%,6%,2%,8%,<1%,4%,4%,3%,2%,6%,2%,3%,7%,<1%,4%,5%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Talk radio/conservative personality,<.5%,<1%,0%,<.5%,0%,<.5%,<1%,<.5%,0%,0%,0%,0%,<.5%,0%,<1%,0%,0%,1%,0%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National television networks, like CBS, NBC or ABC",13%,10%,16%,5%,9%,13%,21%,13%,14%,18%,8%,11%,14%,13%,13%,9%,16%,13%,17%,14%,8%,14%,11%,15%,14%,11%,18%,13%,15%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Local broadcast news (includes non-talk, non-public local radio)",7%,4%,10%,3%,8%,6%,12%,8%,9%,3%,8%,2%,10%,2%,11%,4%,8%,8%,6%,8%,6%,3%,6%,11%,8%,6%,8%,8%,6%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,7%,6%,9%,5%,6%,8%,7%,3%,5%,11%,13%,3%,13%,3%,11%,2%,6%,9%,4%,8%,9%,6%,5%,12%,2%,4%,10%,2%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Local print or online news organizations,1%,1%,1%,0%,<.5%,1%,2%,1%,<1%,1%,5%,2%,1%,1%,<1%,2%,2%,1%,1%,<1%,2%,1%,2%,<.5%,2%,<1%,0%,<1%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Social media,17%,19%,15%,35%,21%,14%,6%,14%,22%,26%,15%,13%,19%,9%,17%,21%,24%,17%,18%,18%,14%,21%,18%,13%,14%,18%,24%,12%,13%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Friends and family,<1%,<.5%,1%,2%,1%,<.5%,0%,<.5%,2%,0%,0%,<.5%,<1%,<.5%,<1%,0%,1%,0%,2%,<1%,0%,1%,<1%,0%,<1%,<1%,0%,2%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",3%,3%,3%,4%,3%,3%,<1%,3%,0%,4%,2%,4%,2%,5%,2%,3%,2%,3%,2%,3%,4%,3%,4%,1%,4%,2%,2%,3%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,4%,6%,7%,4%,7%,3%,5%,5%,5%,3%,5%,5%,5%,5%,3%,5%,5%,4%,5%,5%,6%,5%,4%,6%,4%,6%,7%,3%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Conservative news sites,3%,4%,2%,3%,3%,3%,3%,4%,0%,2%,1%,2%,3%,3%,4%,<1%,1%,3%,<.5%,5%,2%,1%,1%,6%,<.5%,6%,0%,<.5%,6%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Newsmax,1%,1%,1%,0%,<1%,2%,2%,2%,0%,0%,0%,1%,1%,2%,2%,0%,0%,3%,1%,1%,<.5%,0%,2%,2%,0%,3%,0%,0%,3%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,<1%,0%,1%,2%,0%,<.5%,0%,2%,3%,<.5%,1%,0%,<1%,1%,2%,<.5%,0%,<.5%,3%,0%,1%,<1%,1%,0%,2%,2%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Doesn’t consume news,2%,2%,<1%,<1%,2%,1%,<1%,2%,<1%,<.5%,0%,<1%,2%,<1%,3%,<.5%,<.5%,3%,2%,<1%,1%,<.5%,2%,2%,<.5%,3%,0%,<.5%,4%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (includes no preference and the internet),12%,14%,11%,6%,16%,11%,14%,13%,10%,10%,11%,14%,12%,15%,12%,11%,10%,15%,9%,10%,17%,11%,13%,12%,11%,14%,14%,8%,15%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,4%,7%,7%,4%,3%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,3%,6%,4%,6%,4%,4%,6%,4%,5%,8%,4%,5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,50%,44%,57%,75%,57%,48%,34%,49%,49%,58%,51%,54%,48%,52%,47%,58%,51%,48%,59%,46%,52%,51%,54%,46%,53%,49%,41%,54%,47%,52%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,21%,24%,17%,18%,21%,24%,18%,19%,24%,25%,20%,20%,21%,19%,19%,19%,25%,21%,18%,23%,19%,20%,21%,20%,18%,22%,28%,20%,21%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,12%,15%,10%,5%,12%,13%,17%,14%,10%,7%,10%,12%,12%,13%,14%,11%,8%,13%,9%,15%,9%,12%,10%,14%,10%,14%,11%,11%,15%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,17%,18%,15%,2%,8%,16%,32%,18%,15%,10%,20%,14%,18%,15%,19%,12%,15%,17%,13%,16%,20%,17%,15%,19%,18%,14%,20%,15%,18%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,2%,0%,0%,<.5%,<.5%,<.5%,0%,<1%,<1%,<1%,<1%,0%,0%,0%,0%,<1%,0%,<.5%,<1%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,15%,13%,18%,44%,15%,10%,4%,13%,26%,23%,8%,11%,18%,7%,17%,20%,22%,8%,20%,18%,15%,15%,17%,14%,15%,15%,19%,14%,13%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,10%,10%,10%,14%,14%,11%,3%,8%,7%,20%,9%,11%,9%,11%,7%,9%,16%,12%,10%,9%,10%,11%,11%,8%,10%,10%,9%,12%,7%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,10%,9%,10%,13%,12%,9%,7%,9%,11%,8%,14%,13%,8%,15%,6%,10%,11%,14%,6%,10%,9%,12%,10%,8%,13%,7%,7%,14%,8%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,48%,49%,47%,26%,49%,55%,54%,51%,39%,39%,50%,50%,46%,51%,50%,48%,36%,48%,50%,47%,47%,45%,47%,51%,43%,53%,44%,44%,54%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Never use social media,17%,18%,15%,2%,8%,16%,32%,18%,15%,10%,20%,14%,18%,15%,19%,12%,15%,17%,13%,16%,20%,17%,15%,19%,18%,14%,20%,15%,18%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,2%,0%,0%,<.5%,<.5%,<.5%,0%,<1%,<1%,<1%,<1%,0%,0%,0%,0%,<1%,0%,<.5%,<1%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And just a few more questions for demographic purposes ...,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very liberal,11%,10%,12%,13%,11%,9%,10%,10%,14%,13%,13%,15%,9%,16%,7%,15%,13%,5%,15%,10%,15%,16%,12%,7%,22%,1%,10%,30%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat liberal,14%,10%,17%,20%,15%,11%,14%,13%,22%,7%,24%,18%,11%,17%,11%,20%,13%,19%,14%,10%,14%,18%,14%,11%,26%,4%,9%,27%,1%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Moderate,33%,37%,30%,40%,40%,34%,25%,31%,34%,44%,29%,38%,31%,37%,28%,40%,36%,32%,39%,32%,32%,37%,33%,32%,36%,27%,52%,30%,16%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat conservative,20%,20%,21%,11%,19%,27%,19%,21%,18%,18%,19%,15%,23%,15%,25%,15%,19%,24%,18%,22%,17%,18%,22%,20%,10%,31%,15%,10%,36%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very conservative,18%,20%,16%,10%,10%,18%,30%,22%,5%,12%,13%,12%,22%,15%,26%,5%,12%,18%,10%,22%,19%,9%,16%,25%,3%,34%,4%,2%,43%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,3%,4%,6%,5%,2%,2%,2%,7%,5%,3%,2%,5%,<1%,3%,4%,6%,3%,4%,4%,3%,3%,3%,5%,3%,3%,10%,2%,3%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Under $25,000",9%,7%,11%,15%,7%,6%,10%,7%,13%,19%,2%,2%,14%,1%,11%,3%,20%,4%,10%,11%,10%,9%,9%,9%,6%,12%,10%,7%,14%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $25,000 but under $50,000",17%,15%,19%,20%,12%,12%,25%,17%,20%,16%,16%,7%,23%,8%,23%,7%,24%,23%,15%,16%,14%,23%,14%,16%,15%,18%,21%,15%,15%,21%
