itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",How much attention would you say you are paying to news about the legal cases against Donald Trump?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",A lot of attention,29%,31%,26%,13%,17%,29%,44%,29%,26%,28%,25%,30%,28%,31%,28%,26%,27%,24%,29%,26%,36%,36%,30%,22%,34%,26%,11%,34%,29%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some attention,37%,35%,39%,33%,47%,37%,32%,36%,40%,41%,32%,35%,38%,35%,37%,36%,39%,37%,35%,41%,33%,35%,36%,39%,41%,34%,30%,43%,31%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only a little attention,22%,19%,24%,42%,21%,23%,15%,22%,21%,19%,33%,23%,21%,22%,22%,28%,21%,30%,20%,19%,20%,20%,22%,23%,19%,23%,30%,16%,25%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No attention at all,12%,14%,11%,11%,16%,11%,9%,13%,13%,9%,11%,12%,12%,12%,13%,9%,11%,9%,16%,13%,11%,9%,11%,16%,6%,17%,25%,6%,14%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,<1%,<.5%,0%,0%,<.5%,0%,2%,0%,<.5%,<.5%,<.5%,0%,0%,2%,<.5%,0%,<1%,<.5%,0%,<1%,<.5%,<.5%,0%,3%,<.5%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of whether you think Donald Trump did this, do you think the charges that he falsified business records related to hush money payments made to the porn star Stormy Daniels are very serious, somewhat serious, not too serious or not at all serious?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very serious,30%,19%,40%,33%,30%,30%,32%,25%,57%,42%,32%,33%,28%,32%,21%,36%,50%,31%,35%,25%,33%,41%,32%,21%,55%,6%,22%,57%,7%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat serious,27%,25%,29%,39%,26%,25%,29%,27%,25%,25%,42%,32%,24%,29%,25%,41%,21%,27%,30%,25%,28%,26%,31%,23%,36%,19%,24%,33%,21%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not too serious,15%,19%,11%,16%,18%,14%,14%,18%,3%,13%,7%,11%,18%,12%,21%,5%,9%,15%,15%,14%,16%,15%,11%,20%,5%,25%,13%,5%,26%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all serious,22%,31%,15%,11%,20%,25%,21%,25%,12%,13%,15%,18%,24%,20%,28%,13%,14%,23%,14%,29%,19%,15%,20%,30%,2%,44%,12%,3%,43%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,5%,6%,5%,2%,5%,6%,4%,6%,4%,7%,4%,6%,5%,6%,5%,5%,5%,5%,6%,6%,4%,4%,6%,5%,2%,6%,30%,2%,3%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Serious,57%,44%,69%,71%,57%,55%,61%,52%,82%,67%,74%,65%,53%,61%,46%,77%,72%,58%,65%,50%,61%,66%,63%,45%,92%,25%,46%,90%,28%,52%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Not serious,37%,50%,26%,27%,38%,39%,35%,43%,15%,26%,22%,29%,42%,32%,49%,18%,23%,37%,29%,43%,35%,30%,30%,50%,7%,69%,24%,8%,68%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the New York State trial of Donald Trump related to hush money payments made to the porn star Stormy Daniels, do you think he should be found guilty or not guilty?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump should be found guilty,46%,35%,56%,61%,44%,45%,47%,39%,75%,58%,67%,53%,42%,49%,33%,63%,68%,40%,56%,39%,54%,58%,51%,32%,86%,9%,33%,86%,11%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump should be found NOT guilty,37%,46%,29%,23%,34%,41%,39%,42%,14%,28%,21%,27%,43%,30%,50%,21%,22%,34%,30%,47%,31%,30%,32%,48%,2%,74%,14%,5%,73%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,17%,19%,15%,16%,22%,14%,13%,18%,10%,14%,12%,19%,16%,21%,17%,15%,10%,26%,14%,15%,15%,12%,17%,20%,12%,17%,53%,9%,16%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Israel,45%,53%,38%,15%,33%,54%,54%,51%,28%,28%,26%,38%,49%,45%,54%,20%,33%,43%,41%,48%,45%,37%,42%,53%,25%,68%,23%,26%,69%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Palestinians,23%,19%,28%,51%,31%,15%,19%,19%,36%,33%,49%,29%,20%,24%,15%,44%,34%,15%,33%,18%,32%,37%,21%,17%,42%,7%,15%,42%,7%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Both equally (Includes neither),17%,15%,20%,14%,18%,19%,17%,18%,20%,17%,14%,18%,17%,17%,18%,21%,15%,20%,16%,21%,12%,13%,21%,16%,19%,14%,26%,19%,12%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,14%,13%,15%,19%,18%,13%,11%,13%,16%,22%,11%,14%,14%,14%,13%,15%,18%,22%,11%,14%,12%,14%,15%,14%,14%,11%,36%,13%,11%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What single news source do you turn to most often? This could include a social media site or a news site.,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Fox News,12%,13%,11%,6%,8%,13%,16%,14%,4%,4%,7%,9%,13%,11%,16%,5%,4%,6%,12%,17%,10%,8%,11%,16%,1%,24%,3%,2%,31%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] CNN,10%,10%,10%,8%,8%,11%,12%,9%,20%,6%,15%,10%,10%,8%,9%,16%,13%,8%,13%,9%,11%,12%,10%,9%,16%,4%,5%,18%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] MSNBC,3%,2%,5%,0%,1%,3%,8%,3%,6%,3%,0%,4%,3%,3%,4%,4%,3%,4%,5%,3%,3%,3%,5%,2%,7%,<.5%,0%,7%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Public Radio/NPR/PBS,4%,3%,6%,3%,7%,3%,5%,5%,2%,4%,<.5%,8%,2%,11%,1%,2%,2%,6%,5%,4%,2%,3%,7%,2%,8%,<.5%,6%,6%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Talk radio/conservative personality,1%,2%,1%,2%,<.5%,1%,1%,1%,0%,2%,0%,<.5%,2%,<.5%,2%,0%,1%,2%,2%,<1%,1%,2%,2%,<.5%,<.5%,3%,0%,<.5%,3%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National television networks, like CBS, NBC or ABC",12%,9%,14%,3%,8%,13%,16%,12%,14%,22%,1%,11%,12%,13%,11%,9%,16%,17%,11%,8%,13%,9%,13%,12%,15%,7%,23%,17%,8%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Local broadcast news (includes non-talk, non-public local radio)",8%,7%,10%,5%,6%,9%,11%,7%,15%,13%,2%,5%,10%,5%,8%,6%,14%,11%,10%,6%,8%,8%,8%,8%,9%,8%,4%,10%,9%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",5%,5%,6%,5%,7%,5%,4%,6%,2%,3%,6%,11%,2%,12%,2%,6%,2%,4%,7%,4%,6%,8%,6%,3%,11%,<1%,<.5%,11%,<.5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Local print or online news organizations,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,<.5%,0%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,0%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Social media,16%,16%,15%,44%,22%,12%,2%,12%,17%,26%,38%,16%,15%,12%,12%,28%,25%,11%,17%,17%,16%,17%,15%,15%,13%,17%,22%,14%,13%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Friends and family,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,1%,2%,1%,4%,1%,<1%,2%,<1%,0%,6%,3%,<1%,2%,1%,4%,<1%,3%,<1%,<1%,2%,2%,2%,<1%,3%,<1%,0%,2%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,4%,4%,9%,3%,<.5%,4%,2%,4%,2%,5%,3%,4%,4%,7%,<1%,4%,3%,4%,4%,2%,2%,6%,4%,4%,2%,4%,3%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Conservative news sites,3%,4%,2%,2%,2%,3%,5%,4%,2%,<1%,1%,2%,4%,2%,5%,1%,2%,4%,<1%,3%,5%,3%,4%,2%,<1%,6%,2%,0%,6%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Newsmax,2%,3%,<.5%,0%,<.5%,3%,1%,2%,2%,<1%,2%,<1%,2%,<1%,3%,1%,1%,2%,<.5%,3%,<1%,<1%,2%,2%,0%,3%,2%,0%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,<1%,0%,0%,<.5%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<1%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Doesn’t consume news,3%,3%,3%,5%,2%,4%,2%,3%,1%,3%,2%,2%,4%,2%,5%,<.5%,3%,2%,4%,3%,3%,2%,3%,4%,1%,5%,2%,<1%,6%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (includes no preference and the internet),10%,12%,7%,7%,11%,11%,9%,10%,6%,6%,11%,9%,11%,9%,11%,8%,7%,12%,6%,11%,9%,14%,6%,12%,8%,11%,17%,6%,7%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,6%,3%,5%,4%,4%,6%,4%,4%,2%,5%,4%,5%,5%,4%,<1%,4%,5%,3%,5%,5%,4%,3%,6%,3%,5%,11%,2%,6%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,52%,47%,56%,82%,56%,55%,36%,49%,61%,59%,57%,56%,49%,52%,48%,69%,54%,46%,55%,54%,51%,53%,51%,52%,54%,52%,32%,58%,50%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,17%,17%,18%,11%,17%,17%,22%,18%,17%,14%,17%,15%,19%,18%,18%,10%,21%,20%,18%,14%,19%,21%,13%,19%,16%,16%,30%,15%,22%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,14%,16%,12%,5%,14%,13%,18%,15%,9%,16%,10%,14%,14%,14%,15%,11%,13%,15%,9%,17%,14%,10%,18%,12%,14%,13%,20%,11%,14%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,17%,19%,14%,2%,13%,15%,23%,18%,13%,11%,15%,15%,17%,16%,19%,11%,12%,20%,19%,14%,16%,16%,17%,17%,15%,18%,15%,15%,15%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<1%,0%,0%,<.5%,<.5%,<.5%,0%,2%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,14%,12%,16%,44%,19%,10%,3%,10%,34%,25%,16%,12%,16%,7%,12%,23%,28%,10%,14%,16%,14%,16%,13%,14%,13%,15%,9%,16%,14%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,8%,8%,8%,11%,13%,8%,4%,8%,9%,12%,3%,8%,8%,8%,8%,9%,9%,9%,8%,7%,8%,7%,7%,10%,7%,9%,9%,8%,7%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,12%,11%,12%,14%,12%,13%,9%,10%,14%,17%,14%,12%,11%,11%,10%,14%,16%,12%,10%,13%,11%,9%,15%,9%,16%,8%,5%,15%,7%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,49%,49%,50%,29%,43%,54%,60%,54%,31%,35%,51%,54%,47%,58%,52%,44%,35%,49%,49%,49%,51%,52%,48%,50%,48%,50%,59%,45%,58%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Never use social media,17%,19%,14%,2%,13%,15%,23%,18%,13%,11%,15%,15%,17%,16%,19%,11%,12%,20%,19%,14%,16%,16%,17%,17%,15%,18%,15%,15%,15%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,<.5%,<.5%,<.5%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<1%,0%,0%,<.5%,<.5%,<.5%,0%,2%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very liberal,12%,10%,14%,21%,12%,12%,9%,12%,12%,7%,18%,19%,8%,19%,8%,18%,8%,10%,16%,9%,14%,17%,13%,8%,25%,<1%,4%,29%,0%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat liberal,12%,8%,16%,23%,12%,8%,13%,10%,18%,17%,19%,13%,11%,13%,8%,15%,20%,9%,14%,12%,13%,11%,14%,10%,22%,3%,5%,21%,<1%,13%
