itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,9%,13%,16%,13%,10%,14%,10%,14%,9%,10%,13%,15%,13%,10%,11%,10%,12%,13%,13%,13%,6%,12%,11%,12%,14%,9%,13%,27%,10%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,667",237,227,280,229,426,268,875,773,278,377,549,408,"1,197",177,134,122,777,881,593,600,161,268,397,739,531,749,773,145,619
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,16%,16%,19%,15%,17%,18%,48%,51%,12%,22%,36%,26%,73%,10%,8%,7%,38%,61%,28%,44%,8%,16%,23%,41%,35%,44%,48%,8%,37%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Split B)  Thinking about Donald Trump’s trial in New York related to hush money payments, do you think he will be able to get a fair and impartial trial?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,45%,44%,40%,45%,47%,44%,47%,41%,48%,47%,43%,41%,50%,42%,66%,45%,49%,50%,41%,48%,37%,60%,54%,54%,45%,38%,77%,15%,43%,80%
How satisfied are you with the way things are going in your life these days?,No,50%,49%,55%,49%,48%,53%,49%,55%,46%,47%,53%,54%,44%,54%,28%,47%,48%,46%,53%,48%,58%,37%,41%,41%,51%,56%,19%,80%,44%,17%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,7%,5%,6%,5%,3%,3%,4%,5%,7%,4%,4%,6%,4%,6%,8%,2%,4%,5%,4%,5%,3%,6%,4%,4%,6%,3%,5%,12%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,667",237,227,280,229,426,268,875,773,278,377,549,408,"1,197",177,134,122,777,881,593,600,161,268,397,739,531,749,773,145,619
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,16%,16%,19%,15%,17%,18%,48%,51%,12%,22%,36%,26%,73%,10%,8%,7%,38%,61%,28%,44%,8%,16%,23%,41%,35%,44%,48%,8%,37%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Israel,45%,49%,49%,39%,40%,48%,43%,51%,39%,23%,32%,52%,55%,50%,26%,33%,29%,41%,47%,45%,53%,27%,31%,38%,42%,52%,25%,65%,29%,25%
How satisfied are you with the way things are going in your life these days?,Palestinians,21%,19%,18%,21%,26%,20%,21%,18%,24%,47%,28%,13%,14%,18%,31%,29%,30%,25%,19%,23%,15%,31%,30%,26%,24%,14%,35%,8%,26%,33%
How satisfied are you with the way things are going in your life these days?,[VOL] Both equally (Includes neither),18%,16%,17%,22%,18%,16%,18%,19%,16%,11%,21%,19%,17%,17%,20%,16%,22%,20%,16%,19%,16%,24%,17%,20%,20%,14%,22%,14%,18%,23%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,17%,16%,16%,18%,17%,16%,17%,12%,20%,19%,19%,17%,14%,15%,23%,22%,20%,14%,17%,13%,16%,18%,22%,16%,14%,19%,18%,13%,27%,18%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What single news source do you turn to most often?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,[VOL] Fox News,12%,13%,10%,11%,10%,16%,12%,13%,11%,8%,10%,13%,16%,14%,4%,6%,11%,10%,13%,12%,15%,3%,9%,10%,10%,16%,1%,24%,2%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] CNN,8%,5%,10%,10%,12%,7%,6%,8%,9%,7%,8%,8%,10%,7%,19%,8%,8%,9%,8%,8%,6%,14%,12%,8%,10%,7%,15%,4%,5%,15%
How satisfied are you with the way things are going in your life these days?,[VOL] MSNBC,4%,6%,3%,5%,6%,4%,5%,4%,5%,2%,1%,4%,9%,5%,8%,2%,3%,5%,4%,5%,4%,5%,4%,6%,5%,4%,9%,<.5%,3%,11%
How satisfied are you with the way things are going in your life these days?,[VOL] Public Radio/NPR/PBS,4%,3%,5%,4%,2%,5%,5%,4%,4%,3%,6%,4%,2%,4%,2%,<.5%,2%,7%,2%,8%,2%,3%,<.5%,3%,4%,4%,7%,<1%,2%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Talk radio/conservative personality,<1%,2%,<1%,1%,1%,<.5%,<1%,1%,<1%,<1%,1%,1%,<1%,1%,<.5%,1%,<.5%,<1%,<1%,<1%,1%,1%,<.5%,1%,<1%,1%,0%,2%,<.5%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] National television networks, like CBS, NBC or ABC",10%,11%,10%,10%,7%,12%,13%,9%,12%,5%,5%,11%,17%,11%,13%,8%,7%,9%,11%,9%,12%,10%,10%,8%,11%,11%,15%,7%,9%,16%
How satisfied are you with the way things are going in your life these days?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",7%,5%,7%,7%,5%,8%,10%,6%,8%,3%,6%,8%,8%,7%,10%,10%,2%,5%,8%,5%,8%,6%,9%,9%,6%,7%,8%,6%,9%,7%
How satisfied are you with the way things are going in your life these days?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",5%,5%,5%,5%,4%,7%,6%,7%,4%,6%,7%,5%,5%,6%,4%,2%,4%,9%,3%,11%,3%,5%,3%,7%,6%,4%,9%,2%,6%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Local print or online news organizations,<1%,1%,<.5%,<1%,1%,<1%,2%,<1%,<1%,<1%,<1%,1%,<1%,1%,<.5%,<1%,<.5%,1%,<1%,1%,<1%,<.5%,<.5%,<1%,<1%,1%,1%,<1%,1%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Social media,15%,16%,18%,12%,19%,11%,15%,15%,15%,39%,22%,11%,5%,14%,14%,22%,25%,13%,17%,13%,15%,15%,22%,17%,15%,14%,11%,17%,23%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Friends and family,<1%,<1%,<1%,<1%,<.5%,<1%,0%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<.5%,<.5%,<1%,<.5%,<.5%
How satisfied are you with the way things are going in your life these days?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,1%,2%,2%,2%,2%,2%,2%,3%,3%,2%,<1%,2%,1%,2%,2%,3%,1%,3%,1%,3%,1%,2%,2%,<1%,3%,<1%,3%,3%
How satisfied are you with the way things are going in your life these days?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,3%,5%,6%,3%,4%,4%,4%,3%,6%,5%,1%,4%,4%,5%,3%,5%,3%,5%,3%,7%,3%,5%,4%,3%,6%,3%,3%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] Conservative news sites,2%,3%,<1%,<.5%,2%,4%,2%,2%,2%,<.5%,3%,3%,2%,3%,<.5%,1%,1%,2%,2%,3%,3%,1%,<1%,1%,2%,2%,<.5%,4%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Newsmax,4%,5%,3%,3%,3%,4%,3%,4%,3%,<.5%,2%,3%,6%,4%,2%,0%,1%,2%,5%,2%,6%,1%,1%,3%,3%,5%,<1%,6%,1%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,1%,<.5%,<.5%,<.5%,<.5%,<1%,1%,0%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<1%,<.5%,1%,<.5%,0%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Doesn’t consume news,2%,3%,3%,1%,3%,2%,2%,2%,2%,3%,3%,2%,2%,2%,2%,3%,6%,1%,3%,1%,2%,2%,4%,2%,2%,3%,1%,3%,4%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (includes no preference and the internet),11%,12%,12%,12%,14%,9%,9%,13%,10%,9%,11%,13%,11%,10%,10%,17%,18%,11%,11%,9%,11%,14%,14%,11%,13%,11%,9%,13%,17%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,5%,7%,7%,4%,4%,3%,5%,5%,6%,4%,5%,4%,5%,5%,8%,5%,5%,5%,5%,5%,6%,5%,4%,5%,5%,3%,6%,10%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,47%,46%,50%,43%,50%,47%,46%,40%,53%,73%,61%,47%,25%,45%,50%,57%,53%,50%,46%,49%,43%,53%,55%,46%,48%,45%,47%,45%,52%,45%
How satisfied are you with the way things are going in your life these days?,Sometimes,18%,19%,19%,22%,16%,18%,17%,17%,20%,16%,16%,22%,18%,18%,19%,19%,18%,18%,18%,18%,18%,18%,18%,21%,17%,18%,19%,18%,17%,20%
How satisfied are you with the way things are going in your life these days?,Rarely,14%,13%,11%,15%,13%,14%,15%,15%,12%,7%,13%,14%,16%,14%,14%,10%,14%,14%,13%,14%,14%,14%,12%,13%,15%,12%,14%,13%,14%,14%
How satisfied are you with the way things are going in your life these days?,Never,21%,22%,20%,20%,20%,20%,22%,27%,15%,4%,10%,17%,40%,23%,16%,13%,13%,17%,23%,18%,25%,13%,14%,20%,19%,24%,19%,23%,16%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<.5%,<.5%,<1%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%,1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If social media user)  How often, if ever, do you use TikTok?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Often,15%,14%,22%,14%,16%,12%,12%,11%,19%,43%,22%,11%,3%,12%,20%,28%,21%,13%,16%,12%,13%,21%,25%,14%,17%,14%,16%,13%,21%,14%
How satisfied are you with the way things are going in your life these days?,Sometimes,8%,7%,8%,8%,10%,7%,8%,6%,10%,15%,8%,10%,3%,6%,15%,15%,15%,7%,9%,6%,6%,10%,17%,10%,8%,8%,8%,8%,8%,7%
How satisfied are you with the way things are going in your life these days?,Rarely,10%,10%,11%,9%,12%,9%,10%,9%,12%,12%,12%,12%,7%,9%,14%,11%,14%,11%,10%,9%,9%,15%,12%,11%,10%,9%,12%,9%,12%,12%
How satisfied are you with the way things are going in your life these days?,Never,45%,46%,39%,49%,41%,51%,47%,47%,44%,26%,48%,50%,46%,49%,36%,32%,36%,51%,42%,55%,46%,40%,32%,45%,46%,45%,44%,48%,40%,45%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Never use social media,21%,22%,20%,20%,20%,20%,22%,27%,15%,4%,10%,17%,40%,23%,16%,13%,13%,17%,23%,18%,25%,13%,14%,20%,19%,24%,19%,23%,16%,21%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don't know/Refused,<.5%,<1%,<.5%,<.5%,<1%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%,1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How many hours per day do you spend playing video games?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,None at all,64%,60%,68%,62%,64%,63%,65%,63%,65%,41%,57%,69%,71%,63%,64%,69%,55%,64%,63%,63%,64%,68%,61%,59%,62%,68%,61%,67%,59%,63%
How satisfied are you with the way things are going in your life these days?,More than none but less than 1 hour,15%,17%,12%,13%,14%,17%,15%,16%,13%,19%,18%,14%,12%,16%,10%,9%,23%,16%,14%,18%,14%,11%,13%,17%,16%,12%,15%,14%,15%,15%
How satisfied are you with the way things are going in your life these days?,More than 1 hour but less than 2,11%,12%,11%,12%,10%,10%,11%,11%,11%,16%,14%,9%,9%,11%,14%,8%,9%,12%,10%,12%,11%,12%,10%,11%,12%,10%,12%,10%,12%,12%
How satisfied are you with the way things are going in your life these days?,More than 2 hours but less than 3,4%,5%,4%,5%,4%,5%,3%,4%,4%,11%,5%,3%,3%,4%,5%,7%,5%,4%,5%,4%,4%,5%,6%,6%,4%,4%,5%,3%,6%,5%
How satisfied are you with the way things are going in your life these days?,More than 3 hours but less than 4,2%,3%,1%,1%,4%,2%,2%,3%,1%,4%,3%,2%,1%,2%,2%,2%,4%,1%,3%,1%,2%,1%,3%,3%,2%,2%,2%,2%,4%,2%
How satisfied are you with the way things are going in your life these days?,More than 4 hours but less than 5,1%,<1%,2%,2%,<1%,<1%,<1%,<1%,2%,3%,<1%,1%,<1%,1%,3%,<1%,<1%,<1%,1%,<1%,1%,1%,2%,1%,2%,<1%,2%,<1%,<1%,1%
How satisfied are you with the way things are going in your life these days?,5 hours or more,3%,2%,1%,4%,3%,2%,2%,2%,3%,6%,2%,2%,2%,3%,2%,3%,3%,1%,3%,1%,4%,<1%,3%,3%,2%,3%,3%,2%,2%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<.5%,<.5%,<1%,<.5%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,<1%,<.5%,<1%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Have you yourself ever invested in, traded or used a cryptocurrency such as Bitcoin or Ether [ee-ther]?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,14%,12%,19%,15%,14%,13%,11%,20%,8%,21%,24%,14%,3%,13%,15%,15%,22%,18%,12%,17%,11%,24%,13%,15%,17%,11%,12%,16%,12%,11%
How satisfied are you with the way things are going in your life these days?,No,85%,87%,79%,84%,85%,86%,89%,79%,91%,78%,75%,85%,96%,86%,83%,84%,77%,81%,87%,83%,89%,76%,85%,84%,83%,88%,87%,83%,86%,89%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of this,<.5%,0%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,1%,1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,<.5%,<1%,<.5%,1%,<1%,<1%,<1%,<.5%,1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, multiple times",58%,57%,58%,59%,49%,61%,61%,55%,61%,52%,48%,56%,70%,58%,62%,54%,56%,68%,52%,68%,52%,69%,53%,61%,62%,50%,85%,34%,51%,87%
How satisfied are you with the way things are going in your life these days?,"Yes, just once",15%,14%,17%,12%,18%,15%,14%,17%,14%,18%,16%,15%,13%,15%,19%,19%,13%,14%,16%,13%,15%,14%,20%,14%,16%,15%,10%,19%,20%,8%
How satisfied are you with the way things are going in your life these days?,No,26%,27%,23%,27%,31%,22%,24%,27%,24%,29%,33%,28%,16%,26%,18%,24%,30%,17%,31%,17%,32%,15%,26%,23%,20%,33%,5%,44%,26%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,1%,1%,2%,1%,<1%,2%,<1%,2%,1%,1%,1%,<1%,2%,1%,2%,1%,1%,<1%,2%,1%,1%,2%,1%,<1%,2%,3%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
