itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,sub_poll_phil,sub_poll_rest_of_pa,sub_poll_rest_of_u_s,x2024_vote_head_to_head_harris
Is extreme,NET Well,46%,53%,41%,35%,43%,46%,54%,49%,36%,39%,49%,49%,40%,36%,53%,37%,56%,35%,44%,55%,37%,49%,43%,39%,38%,61%,32%,50%,46%,19%
Is extreme,NET Not well,49%,43%,54%,62%,55%,51%,39%,48%,54%,53%,51%,48%,53%,60%,42%,60%,40%,60%,49%,41%,58%,47%,51%,56%,57%,35%,66%,47%,49%,77%
Is extreme,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Says what she believes,Very well,35%,27%,43%,29%,36%,35%,40%,33%,63%,37%,24%,33%,43%,41%,32%,41%,27%,42%,44%,31%,39%,37%,33%,41%,42%,23%,55%,38%,35%,68%
Says what she believes,Somewhat well,21%,23%,20%,45%,24%,20%,11%,20%,18%,28%,27%,20%,24%,26%,18%,25%,16%,28%,22%,20%,24%,18%,26%,25%,22%,19%,25%,19%,21%,28%
Says what she believes,Not too well,11%,15%,7%,15%,14%,11%,8%,11%,9%,12%,21%,11%,13%,10%,13%,9%,12%,11%,14%,13%,8%,13%,11%,8%,13%,12%,6%,10%,11%,3%
Says what she believes,Not at all well,30%,32%,28%,11%,25%,33%,37%,34%,9%,18%,27%,34%,17%,22%,35%,23%,43%,19%,16%,34%,26%,31%,28%,21%,23%,44%,12%,30%,30%,<.5%
Says what she believes,[VOL] Don't know/Refused,2%,3%,2%,<.5%,2%,2%,3%,2%,<1%,5%,<.5%,2%,2%,2%,3%,1%,2%,<.5%,3%,3%,4%,2%,2%,5%,1%,3%,2%,3%,2%,<1%
Says what she believes,NET Well,56%,50%,63%,74%,60%,54%,52%,53%,82%,65%,51%,53%,67%,66%,50%,67%,43%,70%,66%,51%,62%,55%,59%,66%,63%,42%,80%,57%,56%,96%
Says what she believes,NET Not well,41%,47%,35%,26%,39%,44%,45%,45%,18%,30%,49%,45%,30%,32%,47%,32%,55%,30%,30%,47%,34%,43%,39%,29%,35%,55%,18%,40%,41%,3%
Says what she believes,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Will bring about the right kind of change,Very well,38%,41%,35%,18%,32%,41%,45%,43%,15%,30%,29%,43%,24%,26%,46%,28%,55%,19%,26%,38%,33%,43%,34%,26%,31%,54%,13%,37%,38%,<.5%
Will bring about the right kind of change,Somewhat well,13%,17%,10%,23%,17%,10%,10%,12%,10%,17%,22%,12%,15%,10%,15%,8%,14%,14%,16%,19%,10%,11%,12%,10%,12%,16%,10%,15%,13%,4%
Will bring about the right kind of change,Not too well,6%,6%,6%,13%,7%,4%,3%,4%,11%,11%,11%,4%,11%,5%,7%,5%,3%,7%,14%,7%,8%,4%,6%,9%,7%,3%,11%,7%,6%,10%
Will bring about the right kind of change,Not at all well,42%,35%,48%,44%,44%,43%,40%,40%,63%,40%,38%,40%,48%,58%,32%,58%,28%,59%,41%,36%,46%,41%,46%,52%,50%,26%,63%,41%,42%,85%
Will bring about the right kind of change,[VOL] Don't know/Refused,1%,<1%,1%,1%,<.5%,2%,1%,<1%,2%,3%,<.5%,<1%,2%,<1%,1%,<1%,<1%,<1%,2%,<1%,2%,<.5%,2%,2%,1%,<.5%,3%,1%,1%,<1%
Will bring about the right kind of change,NET Well,51%,58%,44%,41%,49%,51%,55%,55%,24%,46%,51%,55%,39%,36%,61%,36%,69%,33%,43%,57%,43%,54%,46%,36%,42%,70%,23%,52%,51%,4%
Will bring about the right kind of change,NET Not well,48%,41%,54%,57%,51%,48%,44%,44%,74%,51%,49%,44%,59%,63%,38%,63%,31%,66%,55%,42%,55%,45%,52%,62%,57%,30%,74%,47%,48%,95%
Will bring about the right kind of change,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Has the temperament to be an effective president,Very well,34%,38%,30%,20%,28%,32%,43%,37%,11%,29%,33%,37%,23%,20%,43%,21%,49%,15%,28%,37%,29%,37%,30%,24%,27%,48%,14%,32%,34%,<1%
Has the temperament to be an effective president,Somewhat well,16%,19%,14%,24%,17%,16%,12%,16%,16%,18%,14%,16%,17%,14%,18%,14%,18%,15%,17%,17%,16%,17%,13%,13%,14%,20%,10%,18%,16%,5%
Has the temperament to be an effective president,Not too well,8%,9%,7%,16%,13%,5%,5%,6%,9%,9%,17%,6%,11%,8%,8%,7%,6%,9%,12%,8%,8%,6%,11%,8%,10%,6%,11%,8%,8%,11%
Has the temperament to be an effective president,Not at all well,41%,34%,49%,40%,43%,44%,40%,40%,60%,41%,36%,40%,47%,58%,31%,59%,27%,60%,39%,37%,46%,40%,45%,52%,49%,26%,65%,41%,41%,83%
Has the temperament to be an effective president,[VOL] Don't know/Refused,<1%,<1%,<1%,<.5%,<.5%,2%,<.5%,<.5%,3%,3%,0%,<.5%,2%,<.5%,1%,<.5%,<.5%,<.5%,3%,<1%,1%,<.5%,1%,3%,<.5%,<.5%,<.5%,<.5%,<1%,<1%
Has the temperament to be an effective president,NET Well,50%,56%,44%,44%,45%,49%,55%,54%,28%,47%,47%,54%,40%,34%,60%,35%,67%,30%,45%,55%,44%,54%,43%,38%,41%,68%,24%,50%,50%,5%
Has the temperament to be an effective president,NET Not well,50%,43%,56%,56%,55%,49%,45%,46%,69%,50%,53%,46%,58%,66%,39%,65%,33%,69%,52%,45%,54%,46%,55%,60%,59%,32%,76%,50%,49%,94%
Has the temperament to be an effective president,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is intelligent,Very well,39%,42%,36%,22%,30%,38%,51%,43%,20%,29%,34%,43%,27%,27%,47%,27%,55%,22%,29%,40%,34%,44%,37%,27%,31%,56%,19%,37%,39%,5%
Is intelligent,Somewhat well,21%,25%,17%,33%,29%,17%,14%,20%,17%,25%,28%,20%,23%,21%,21%,21%,19%,21%,24%,24%,21%,19%,20%,20%,22%,19%,22%,23%,21%,17%
Is intelligent,Not too well,11%,11%,11%,23%,9%,11%,6%,10%,12%,17%,11%,10%,14%,13%,9%,13%,7%,11%,15%,8%,12%,8%,15%,16%,12%,6%,16%,11%,10%,19%
Is intelligent,Not at all well,28%,22%,34%,21%,31%,32%,28%,26%,49%,26%,28%,26%,35%,40%,21%,38%,18%,45%,29%,27%,32%,28%,27%,33%,35%,17%,42%,28%,28%,58%
Is intelligent,[VOL] Don't know/Refused,1%,1%,1%,<1%,<1%,2%,<1%,<1%,1%,3%,0%,<1%,1%,<1%,2%,<.5%,1%,<.5%,2%,1%,<1%,1%,2%,4%,<.5%,<1%,<1%,<.5%,1%,1%
Is intelligent,NET Well,60%,66%,54%,55%,59%,55%,65%,63%,37%,54%,62%,63%,50%,47%,68%,48%,74%,43%,53%,63%,54%,63%,57%,47%,53%,76%,41%,60%,60%,21%
Is intelligent,NET Not well,39%,32%,45%,44%,40%,42%,34%,36%,61%,44%,38%,36%,49%,52%,31%,52%,25%,57%,44%,36%,45%,36%,41%,49%,47%,23%,58%,39%,39%,77%
Is intelligent,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Cares about people like you,Very well,35%,36%,34%,19%,26%,37%,44%,40%,12%,31%,30%,40%,24%,25%,42%,26%,49%,19%,26%,38%,30%,39%,31%,25%,27%,50%,10%,33%,35%,<1%
Cares about people like you,Somewhat well,13%,18%,9%,23%,17%,11%,9%,15%,4%,10%,20%,15%,10%,10%,15%,10%,18%,10%,10%,15%,13%,13%,13%,8%,13%,16%,13%,17%,13%,2%
Cares about people like you,Not too well,8%,9%,7%,17%,11%,7%,4%,6%,12%,11%,11%,6%,11%,8%,8%,7%,5%,8%,13%,9%,7%,7%,9%,11%,8%,6%,9%,8%,8%,12%
Cares about people like you,Not at all well,42%,35%,49%,41%,46%,42%,42%,39%,71%,45%,40%,39%,53%,57%,33%,56%,27%,62%,48%,37%,49%,40%,45%,52%,50%,27%,67%,41%,42%,84%
Cares about people like you,[VOL] Don't know/Refused,1%,1%,2%,<.5%,<.5%,3%,<1%,<1%,1%,4%,<.5%,<1%,2%,<1%,2%,<.5%,<1%,<1%,2%,<1%,2%,1%,1%,3%,1%,<.5%,<.5%,<.5%,1%,<1%
Cares about people like you,NET Well,48%,55%,42%,42%,44%,48%,53%,54%,16%,40%,50%,54%,34%,35%,57%,36%,67%,29%,37%,53%,43%,51%,44%,34%,41%,67%,23%,51%,48%,3%
Cares about people like you,NET Not well,50%,44%,56%,58%,56%,49%,46%,45%,83%,56%,50%,45%,65%,65%,41%,63%,32%,71%,61%,46%,55%,47%,54%,63%,58%,33%,77%,49%,50%,96%
Cares about people like you,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is respected by foreign leaders,Very well,40%,47%,34%,27%,36%,40%,47%,43%,22%,37%,40%,43%,32%,25%,50%,26%,56%,22%,38%,42%,31%,47%,37%,30%,32%,56%,17%,37%,41%,4%
Is respected by foreign leaders,Somewhat well,15%,14%,15%,28%,19%,12%,9%,14%,16%,17%,16%,14%,17%,15%,14%,14%,13%,17%,17%,17%,16%,13%,13%,13%,14%,16%,18%,20%,14%,11%
Is respected by foreign leaders,Not too well,10%,8%,11%,18%,11%,10%,6%,9%,8%,14%,16%,9%,12%,13%,8%,13%,7%,14%,11%,10%,11%,7%,13%,12%,10%,8%,15%,8%,10%,17%
Is respected by foreign leaders,Not at all well,33%,29%,38%,26%,33%,34%,38%,33%,52%,28%,27%,33%,37%,46%,25%,47%,23%,46%,31%,28%,39%,31%,36%,41%,41%,20%,49%,33%,33%,67%
Is respected by foreign leaders,[VOL] Don't know/Refused,2%,2%,2%,<.5%,1%,3%,2%,1%,2%,4%,2%,1%,3%,<1%,3%,<1%,1%,1%,4%,3%,3%,1%,1%,3%,2%,<1%,1%,1%,2%,1%
Is respected by foreign leaders,NET Well,55%,61%,49%,56%,55%,52%,55%,57%,38%,54%,56%,57%,48%,40%,64%,40%,69%,39%,54%,60%,47%,60%,50%,43%,47%,72%,35%,57%,55%,14%
Is respected by foreign leaders,NET Not well,43%,37%,49%,44%,44%,44%,43%,42%,60%,42%,42%,42%,49%,59%,33%,59%,30%,60%,42%,38%,50%,39%,49%,54%,51%,27%,64%,42%,43%,84%
Is respected by foreign leaders,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Is extreme,Very well,53%,46%,59%,56%,58%,54%,46%,52%,60%,58%,45%,52%,55%,64%,45%,63%,45%,68%,48%,47%,56%,56%,50%,59%,56%,44%,70%,48%,53%,80%
Is extreme,Somewhat well,21%,24%,19%,31%,22%,19%,20%,23%,13%,17%,30%,23%,19%,15%,26%,15%,28%,17%,20%,25%,22%,19%,22%,18%,20%,26%,14%,21%,22%,9%
Is extreme,Not too well,8%,11%,5%,8%,7%,9%,8%,8%,9%,5%,15%,8%,9%,7%,9%,7%,9%,6%,11%,8%,8%,7%,11%,3%,11%,8%,3%,10%,8%,3%
Is extreme,Not at all well,16%,16%,15%,4%,12%,15%,24%,16%,14%,17%,9%,16%,14%,12%,18%,13%,17%,9%,17%,18%,12%,17%,15%,16%,12%,20%,11%,18%,15%,7%
Is extreme,[VOL] Don't know/Refused,2%,2%,2%,<1%,<.5%,3%,3%,2%,5%,3%,<.5%,2%,3%,2%,3%,2%,2%,<.5%,4%,3%,2%,2%,2%,3%,2%,2%,1%,3%,2%,1%
Is extreme,NET Well,74%,71%,78%,87%,81%,73%,66%,75%,73%,75%,75%,75%,74%,79%,71%,78%,72%,85%,67%,72%,78%,74%,73%,77%,76%,70%,84%,69%,74%,89%
Is extreme,NET Not well,24%,27%,20%,12%,19%,24%,31%,24%,23%,22%,24%,24%,23%,19%,27%,20%,26%,15%,28%,26%,19%,24%,25%,20%,22%,28%,14%,28%,24%,10%
Is extreme,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Says what he believes,Very well,60%,60%,60%,53%,58%,63%,60%,61%,55%,56%,62%,61%,57%,53%,65%,50%,69%,59%,56%,60%,62%,65%,52%,54%,57%,67%,43%,57%,60%,35%
Says what he believes,Somewhat well,14%,16%,13%,25%,18%,13%,9%,14%,10%,20%,18%,14%,16%,15%,13%,16%,12%,14%,17%,17%,14%,12%,15%,14%,15%,13%,20%,18%,14%,17%
Says what he believes,Not too well,7%,7%,7%,4%,10%,7%,6%,6%,12%,5%,6%,6%,8%,8%,6%,9%,4%,6%,9%,7%,6%,6%,8%,7%,8%,5%,12%,5%,7%,11%
Says what he believes,Not at all well,17%,16%,18%,16%,14%,15%,23%,18%,19%,16%,15%,18%,17%,23%,13%,25%,13%,21%,15%,15%,17%,15%,23%,22%,18%,14%,24%,19%,17%,34%
Says what he believes,[VOL] Don't know/Refused,2%,<1%,2%,<1%,<.5%,2%,3%,1%,3%,3%,0%,1%,2%,<1%,2%,<1%,1%,<.5%,3%,<1%,1%,2%,2%,3%,1%,1%,<1%,1%,2%,3%
Says what he believes,NET Well,74%,76%,73%,78%,76%,76%,69%,75%,65%,76%,79%,75%,73%,68%,78%,66%,82%,74%,73%,77%,76%,77%,67%,68%,73%,80%,63%,74%,74%,52%
Says what he believes,NET Not well,24%,23%,25%,21%,24%,23%,28%,24%,32%,21%,21%,24%,25%,31%,19%,33%,17%,26%,24%,22%,23%,21%,31%,29%,26%,19%,36%,24%,24%,45%
Says what he believes,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
What single news source do you turn to most often?,[VOL] Social media,17%,16%,17%,35%,34%,12%,4%,14%,17%,32%,27%,14%,25%,16%,18%,14%,14%,19%,28%,13%,14%,18%,23%,20%,18%,15%,18%,17%,17%,15%
What single news source do you turn to most often?,[VOL] Fox News,14%,15%,14%,5%,8%,16%,21%,17%,8%,4%,15%,17%,8%,9%,17%,10%,22%,9%,8%,15%,14%,16%,9%,7%,12%,21%,7%,15%,14%,2%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",12%,10%,14%,11%,8%,13%,15%,12%,11%,20%,11%,12%,14%,12%,13%,10%,12%,14%,14%,16%,11%,14%,8%,15%,11%,12%,16%,13%,12%,16%
What single news source do you turn to most often?,[VOL] CNN,10%,8%,12%,9%,10%,13%,8%,8%,31%,12%,7%,8%,18%,14%,8%,12%,5%,21%,16%,8%,11%,14%,7%,12%,11%,9%,14%,10%,10%,18%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",8%,8%,8%,10%,11%,7%,6%,9%,2%,4%,9%,9%,5%,14%,4%,16%,5%,9%,2%,5%,11%,7%,9%,11%,10%,4%,11%,7%,8%,12%
What single news source do you turn to most often?,[VOL] MSNBC,4%,4%,4%,1%,2%,5%,7%,3%,11%,3%,1%,3%,6%,6%,3%,5%,2%,7%,5%,5%,7%,2%,3%,3%,5%,3%,3%,6%,4%,8%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",4%,3%,4%,1%,3%,4%,5%,3%,8%,2%,3%,3%,4%,2%,5%,2%,5%,1%,6%,3%,3%,4%,5%,7%,2%,4%,7%,3%,4%,4%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,3%,3%,4%,2%,3%,4%,4%,5%,<.5%,<1%,<.5%,5%,<.5%,6%,2%,8%,3%,<1%,<.5%,3%,3%,2%,6%,3%,3%,4%,5%,3%,3%,6%
What single news source do you turn to most often?,[VOL] Newsmax,3%,3%,3%,1%,1%,1%,8%,5%,0%,2%,0%,5%,<1%,2%,5%,2%,6%,0%,<1%,4%,2%,4%,3%,3%,2%,5%,<1%,4%,3%,0%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,5%,2%,4%,4%,3%,3%,4%,2%,2%,4%,4%,2%,4%,3%,5%,3%,5%,<1%,5%,3%,3%,3%,2%,4%,3%,2%,3%,3%,4%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,2%,4%,3%,2%,1%,3%,<.5%,2%,4%,3%,2%,3%,2%,4%,2%,2%,2%,2%,4%,<.5%,4%,4%,2%,1%,2%,2%,2%,3%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,1%,1%,2%,3%,1%,2%,<1%,<.5%,3%,2%,<1%,2%,2%,2%,2%,2%,<.5%,3%,<1%,2%,2%,1%,2%,2%,<.5%,2%,2%,<.5%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,<1%,<.5%,2%,1%,0%,<1%,<.5%,0%,3%,<1%,<1%,<1%,1%,<1%,<1%,<.5%,1%,0%,<.5%,<1%,2%,1%,<1%,<1%,1%,<1%,<1%,2%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,<.5%,<1%,2%,<.5%,<1%,<.5%,<.5%,0%,<1%,3%,<.5%,<1%,<1%,<1%,<.5%,<1%,1%,<1%,2%,<.5%,<.5%,<1%,0%,<1%,<1%,0%,<1%,<1%,0%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<.5%,<1%,<1%,0%,0%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<.5%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,1%,1%,1%,1%,1%,2%,<1%,1%,2%,1%,0%,1%,1%,1%,1%,2%,<1%,<1%,1%,2%,1%,1%,<1%,<1%,1%,2%,<1%,2%,1%,1%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),7%,9%,5%,4%,4%,7%,9%,8%,4%,4%,6%,8%,4%,5%,8%,4%,9%,7%,3%,8%,5%,7%,6%,6%,7%,7%,3%,6%,7%,5%
What single news source do you turn to most often?,[VOL] Don't know/Refused,6%,8%,5%,10%,3%,7%,5%,6%,4%,12%,4%,6%,7%,2%,9%,2%,8%,1%,10%,4%,8%,5%,9%,5%,6%,8%,7%,3%,6%,4%
What single news source do you turn to most often?,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
And just a few more questions for demographic purposes...,Very liberal,10%,9%,11%,15%,15%,7%,9%,9%,15%,15%,7%,9%,13%,13%,9%,13%,7%,15%,13%,11%,8%,10%,13%,19%,11%,4%,25%,10%,10%,21%
And just a few more questions for demographic purposes...,Somewhat liberal,13%,11%,16%,21%,16%,10%,12%,12%,13%,22%,17%,12%,17%,15%,12%,16%,8%,11%,21%,10%,16%,12%,16%,18%,14%,9%,13%,11%,13%,23%
And just a few more questions for demographic purposes...,Moderate,37%,37%,37%,42%,42%,40%,29%,36%,43%,30%,52%,36%,41%,46%,31%,45%,30%,52%,33%,36%,41%,37%,35%,34%,43%,33%,41%,40%,37%,47%
And just a few more questions for demographic purposes...,Somewhat conservative,19%,19%,20%,11%,17%,24%,19%,22%,15%,14%,7%,22%,13%,13%,23%,12%,29%,14%,12%,22%,23%,19%,14%,15%,17%,25%,8%,21%,19%,5%
And just a few more questions for demographic purposes...,Very conservative,17%,21%,14%,9%,9%,15%,29%,19%,12%,14%,15%,19%,14%,12%,21%,13%,23%,7%,17%,20%,9%,20%,18%,11%,14%,26%,9%,16%,18%,3%
And just a few more questions for demographic purposes...,[VOL] Don't know/Refused,2%,3%,2%,2%,<1%,4%,1%,2%,3%,4%,<1%,2%,3%,1%,3%,<1%,2%,<1%,4%,2%,2%,2%,4%,3%,2%,3%,4%,3%,2%,1%
And just a few more questions for demographic purposes...,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Which of the following general income categories is your total household income before taxes?,"Under $25,000",6%,6%,6%,7%,4%,5%,8%,6%,5%,9%,7%,6%,7%,1%,9%,2%,9%,<.5%,10%,10%,4%,6%,5%,7%,4%,8%,15%,9%,6%,5%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",14%,12%,16%,27%,11%,10%,16%,12%,14%,28%,11%,12%,18%,6%,20%,6%,17%,7%,26%,15%,13%,14%,14%,14%,13%,15%,16%,15%,14%,14%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",29%,30%,29%,30%,30%,25%,35%,29%,37%,25%,32%,29%,31%,28%,31%,26%,31%,32%,31%,29%,25%,32%,30%,34%,26%,31%,30%,26%,29%,27%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",30%,33%,27%,22%,35%,36%,22%,31%,26%,21%,36%,31%,27%,38%,24%,37%,27%,41%,18%,26%,29%,32%,30%,28%,32%,28%,22%,29%,30%,31%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",12%,13%,12%,5%,16%,20%,5%,14%,9%,8%,10%,14%,9%,21%,7%,22%,9%,18%,3%,12%,19%,9%,12%,11%,16%,8%,11%,13%,12%,14%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,9%,6%,10%,9%,4%,4%,14%,8%,9%,10%,4%,8%,8%,7%,9%,7%,7%,2%,12%,9%,9%,8%,10%,6%,9%,10%,7%,8%,9%,8%
Which of the following general income categories is your total household income before taxes?,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,17%,16%,19%,17%,14%,17%,21%,16%,6%,40%,10%,16%,20%,17%,18%,16%,16%,17%,22%,15%,25%,17%,14%,18%,20%,14%,23%,26%,17%,15%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,45%,44%,46%,27%,34%,48%,57%,47%,69%,23%,27%,47%,41%,39%,49%,38%,54%,46%,38%,53%,30%,55%,36%,37%,40%,56%,35%,38%,45%,35%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,<1%,1%,<1%,<1%,0%,1%,1%,<1%,0%,<1%,4%,<1%,1%,<1%,<1%,<1%,0%,<.5%,2%,0%,0%,1%,2%,2%,0%,1%,0%,0%,<1%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,2%,2%,2%,2%,2%,3%,3%,<.5%,2%,<.5%,3%,<1%,4%,<1%,5%,1%,2%,<.5%,<.5%,4%,2%,3%,4%,2%,1%,6%,1%,2%,4%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,2%,1%,2%,3%,1%,0%,<.5%,4%,2%,10%,<.5%,5%,2%,1%,0%,<.5%,6%,4%,1%,2%,2%,<.5%,2%,2%,<.5%,3%,<.5%,1%,<1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,0%,2%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,1%,<.5%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Hindu,<1%,<.5%,<1%,<.5%,<.5%,1%,0%,0%,0%,0%,6%,0%,1%,<1%,<.5%,0%,0%,2%,1%,<.5%,2%,<.5%,0%,2%,<.5%,0%,0%,<.5%,<1%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Buddhist,<.5%,<1%,<.5%,<1%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<.5%,<.5%,<1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,2%,2%,3%,2%,2%,2%,1%,2%,<1%,9%,1%,3%,1%,2%,1%,2%,2%,4%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,28%,31%,25%,46%,43%,25%,15%,30%,17%,29%,30%,30%,24%,33%,25%,36%,25%,24%,25%,27%,31%,19%,40%,32%,31%,22%,26%,29%,28%,40%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,1%,1%,2%,<1%,1%,<1%,<1%,2%,2%,2%,<1%,2%,2%,1%,1%,<1%,1%,3%,1%,2%,<1%,3%,1%,2%,2%,3%,2%,2%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,28%,28%,29%,15%,21%,30%,39%,29%,44%,15%,22%,29%,28%,21%,33%,18%,37%,30%,25%,34%,16%,39%,18%,21%,22%,41%,21%,23%,29%,16%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,19%,18%,20%,17%,15%,22%,18%,20%,23%,8%,24%,20%,18%,21%,17%,22%,17%,18%,17%,19%,20%,18%,20%,21%,19%,18%,18%,20%,19%,21%
