itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not too far either way,42%,36%,47%,46%,45%,39%,40%,37%,66%,49%,43%,47%,39%,45%,32%,55%,53%,39%,51%,37%,44%,46%,47%,33%,71%,14%,39%,73%,14%,41%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",[VOL] Don’t know/Refused,5%,3%,6%,5%,3%,4%,7%,4%,6%,8%,8%,2%,6%,2%,5%,3%,8%,<1%,5%,6%,6%,6%,4%,4%,4%,4%,20%,4%,3%,6%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Donald Trump will try to pass a law restricting access to legal abortions nationwide,49%,39%,58%,67%,50%,40%,49%,47%,64%,52%,51%,55%,46%,51%,43%,64%,52%,49%,53%,48%,50%,55%,54%,40%,78%,25%,32%,78%,29%,46%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Donald Trump will NOT try to pass a law restricting access to legal abortions nationwide,43%,54%,33%,28%,44%,53%,41%,47%,27%,35%,42%,40%,45%,42%,50%,31%,36%,40%,40%,45%,43%,38%,38%,51%,17%,67%,42%,17%,63%,46%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",[VOL] Don’t know/Refused,8%,7%,9%,5%,7%,7%,9%,7%,9%,13%,8%,6%,8%,6%,7%,5%,12%,11%,7%,7%,7%,7%,8%,9%,5%,8%,26%,6%,8%,7%
"If Donald Trump wins in November, which would come closer to your view, even if neither was exactly right?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"(If heard of Project 2025)  Thinking about Project 2025, do you expect Donald Trump to try to enact most of the policies, just some of them, or do you think he will not try to enact any of the policies outlined in Project 2025?",Will try to enact most of the policies,40%,32%,46%,37%,38%,38%,44%,36%,57%,47%,38%,42%,38%,40%,33%,48%,48%,35%,41%,37%,46%,44%,45%,30%,64%,12%,13%,67%,15%,33%
"(If heard of Project 2025)  Thinking about Project 2025, do you expect Donald Trump to try to enact most of the policies, just some of them, or do you think he will not try to enact any of the policies outlined in Project 2025?",Will try to enact some of the policies,32%,34%,30%,46%,38%,26%,24%,32%,23%,32%,40%,35%,30%,35%,30%,33%,29%,29%,32%,33%,33%,34%,33%,28%,28%,33%,54%,25%,32%,36%
"(If heard of Project 2025)  Thinking about Project 2025, do you expect Donald Trump to try to enact most of the policies, just some of them, or do you think he will not try to enact any of the policies outlined in Project 2025?",Will not try to enact any of the policies,14%,17%,12%,10%,11%,19%,15%,16%,8%,12%,11%,13%,16%,14%,18%,10%,11%,18%,12%,15%,12%,11%,12%,20%,3%,30%,8%,2%,27%,17%
"(If heard of Project 2025)  Thinking about Project 2025, do you expect Donald Trump to try to enact most of the policies, just some of them, or do you think he will not try to enact any of the policies outlined in Project 2025?",[VOL] Don’t know/Refused,14%,17%,13%,7%,12%,17%,17%,16%,11%,10%,11%,11%,16%,12%,18%,9%,12%,18%,15%,15%,10%,11%,10%,22%,5%,25%,25%,5%,26%,14%
"(If heard of Project 2025)  Thinking about Project 2025, do you expect Donald Trump to try to enact most of the policies, just some of them, or do you think he will not try to enact any of the policies outlined in Project 2025?",Number of respondents,"1,048",553,479,158,266,339,258,708,119,108,84,578,464,397,307,163,148,230,229,354,235,249,448,351,566,439,43,344,266,375
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",A lot of blame,25%,28%,23%,18%,17%,32%,29%,29%,9%,17%,22%,19%,29%,20%,35%,15%,16%,25%,25%,26%,23%,19%,19%,36%,2%,47%,20%,4%,50%,20%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",Some blame,30%,30%,31%,48%,35%,25%,20%,29%,19%,36%,36%,27%,32%,26%,32%,27%,33%,34%,25%,30%,31%,26%,30%,33%,21%,39%,30%,19%,33%,37%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",Not too much blame,13%,12%,14%,14%,18%,8%,14%,13%,16%,14%,10%,16%,12%,15%,11%,18%,12%,14%,14%,13%,13%,15%,15%,9%,20%,6%,18%,20%,6%,13%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",No blame at all,24%,23%,24%,12%,24%,27%,26%,22%,44%,19%,23%,34%,18%,35%,14%,33%,26%,20%,30%,23%,23%,28%,28%,16%,46%,4%,13%,49%,6%,22%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",This is not an issue,6%,7%,5%,5%,4%,6%,9%,5%,10%,5%,9%,4%,7%,3%,6%,7%,9%,6%,6%,5%,7%,7%,6%,5%,10%,2%,7%,8%,2%,8%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",[VOL] Don’t know/Refused,2%,<1%,3%,2%,<1%,2%,3%,1%,2%,9%,<.5%,<1%,2%,1%,1%,<.5%,5%,2%,0%,3%,3%,5%,1%,1%,1%,2%,12%,1%,2%,1%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",NET A lot or some of the blame,55%,57%,54%,66%,52%,57%,49%,59%,28%,53%,58%,45%,61%,46%,67%,42%,49%,58%,49%,56%,55%,45%,49%,69%,23%,86%,50%,22%,83%,57%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",NET Not much or no blame,37%,35%,38%,27%,43%,36%,40%,35%,60%,33%,33%,50%,30%,50%,25%,51%,38%,34%,44%,36%,36%,43%,44%,25%,66%,11%,31%,68%,12%,34%
"How much blame, if any, do you think Kamala Harris as sitting vice president should receive for each of the following?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Problems at the border,A lot of blame,37%,42%,33%,24%,30%,44%,43%,45%,11%,24%,25%,32%,40%,36%,51%,22%,19%,39%,34%,41%,32%,27%,30%,52%,4%,70%,22%,4%,72%,34%
Problems at the border,Some blame,26%,23%,29%,37%,30%,22%,19%,23%,32%,31%,30%,27%,25%,26%,21%,28%,34%,26%,26%,24%,29%,28%,28%,22%,31%,20%,32%,29%,16%,30%
Problems at the border,Not too much blame,13%,12%,14%,16%,15%,10%,11%,12%,13%,12%,16%,16%,11%,16%,10%,17%,12%,11%,15%,12%,13%,16%,15%,8%,22%,4%,10%,21%,4%,12%
Problems at the border,No blame at all,15%,15%,15%,8%,14%,16%,19%,12%,34%,10%,21%,18%,14%,16%,10%,23%,21%,15%,15%,17%,14%,16%,18%,12%,29%,2%,13%,31%,3%,15%
Problems at the border,This is not an issue,7%,7%,7%,12%,8%,5%,6%,6%,7%,14%,7%,6%,8%,5%,7%,9%,10%,8%,10%,4%,9%,8%,8%,6%,12%,2%,10%,12%,2%,8%
Problems at the border,[VOL] Don’t know/Refused,2%,1%,3%,3%,1%,2%,2%,1%,2%,9%,1%,1%,2%,2%,<1%,1%,5%,2%,<.5%,2%,3%,5%,1%,1%,2%,1%,12%,2%,2%,2%
Problems at the border,NET A lot or some of the blame,63%,65%,61%,61%,61%,66%,62%,68%,44%,55%,55%,59%,66%,62%,72%,49%,53%,64%,60%,65%,60%,55%,58%,73%,35%,90%,54%,34%,89%,64%
Problems at the border,NET Not much or no blame,28%,27%,29%,24%,30%,27%,30%,25%,47%,22%,37%,34%,24%,32%,21%,40%,32%,26%,30%,29%,28%,32%,33%,20%,52%,6%,23%,53%,7%,27%
Problems at the border,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Problems during the U.S. withdrawal from Afghanistan,A lot of blame,22%,24%,20%,11%,15%,28%,28%,26%,6%,16%,14%,18%,25%,19%,31%,13%,12%,22%,20%,25%,19%,16%,17%,32%,2%,43%,8%,3%,48%,15%
Problems during the U.S. withdrawal from Afghanistan,Some blame,27%,27%,27%,44%,30%,24%,19%,28%,24%,30%,24%,24%,30%,25%,30%,22%,29%,29%,26%,25%,29%,24%,27%,29%,21%,33%,23%,20%,29%,30%
Problems during the U.S. withdrawal from Afghanistan,Not too much blame,13%,11%,15%,16%,16%,11%,12%,14%,15%,12%,12%,17%,11%,18%,10%,16%,11%,11%,14%,14%,14%,16%,15%,9%,18%,9%,15%,18%,8%,14%
Problems during the U.S. withdrawal from Afghanistan,No blame at all,24%,27%,21%,13%,30%,25%,22%,21%,36%,21%,32%,29%,20%,29%,16%,31%,29%,24%,25%,23%,23%,30%,23%,20%,41%,8%,20%,41%,7%,26%
Problems during the U.S. withdrawal from Afghanistan,This is not an issue,9%,9%,10%,10%,7%,8%,12%,8%,16%,9%,12%,9%,10%,6%,9%,14%,11%,7%,13%,8%,10%,7%,12%,7%,14%,4%,17%,14%,3%,11%
Problems during the U.S. withdrawal from Afghanistan,[VOL] Don’t know/Refused,5%,3%,7%,5%,2%,3%,8%,4%,3%,13%,5%,4%,5%,4%,4%,4%,8%,7%,3%,5%,4%,7%,5%,3%,4%,4%,17%,4%,5%,4%
Problems during the U.S. withdrawal from Afghanistan,NET A lot or some of the blame,49%,51%,47%,56%,45%,52%,47%,54%,30%,46%,39%,41%,54%,44%,61%,35%,41%,51%,46%,50%,48%,40%,44%,61%,23%,76%,31%,23%,77%,45%
Problems during the U.S. withdrawal from Afghanistan,NET Not much or no blame,37%,38%,36%,29%,46%,36%,34%,35%,51%,32%,44%,46%,31%,46%,27%,47%,40%,35%,38%,37%,38%,46%,39%,29%,59%,17%,34%,59%,15%,40%
Problems during the U.S. withdrawal from Afghanistan,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
What single news source do you turn to most often?,[VOL] Fox News,11%,13%,10%,10%,4%,13%,18%,15%,5%,4%,1%,7%,14%,9%,18%,3%,4%,15%,10%,14%,5%,9%,9%,16%,2%,21%,5%,2%,26%,8%
What single news source do you turn to most often?,[VOL] CNN,9%,10%,8%,7%,10%,9%,9%,8%,18%,8%,6%,12%,8%,10%,7%,16%,9%,8%,14%,9%,7%,8%,11%,8%,14%,5%,1%,17%,5%,7%
What single news source do you turn to most often?,[VOL] MSNBC,2%,2%,3%,0%,2%,2%,5%,3%,3%,2%,1%,4%,2%,4%,2%,3%,1%,2%,4%,3%,1%,1%,3%,2%,5%,<.5%,0%,6%,<1%,2%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,2%,4%,2%,6%,4%,3%,5%,2%,2%,<1%,7%,2%,8%,3%,4%,<.5%,4%,4%,3%,4%,6%,3%,3%,7%,<1%,1%,6%,<1%,4%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,1%,2%,1%,1%,2%,2%,1%,2%,0%,<1%,<.5%,<1%,2%,<1%,3%,<.5%,<.5%,3%,<.5%,1%,2%,<.5%,1%,2%,<.5%,3%,1%,<.5%,2%,1%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",12%,11%,13%,9%,4%,13%,19%,10%,12%,21%,11%,9%,13%,10%,10%,8%,18%,12%,10%,11%,14%,12%,11%,12%,14%,9%,16%,15%,10%,10%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,4%,7%,3%,5%,6%,8%,4%,12%,5%,8%,2%,8%,1%,7%,3%,11%,6%,6%,5%,4%,6%,6%,4%,6%,5%,4%,7%,5%,5%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,7%,6%,6%,8%,6%,6%,7%,5%,4%,10%,13%,2%,13%,2%,13%,3%,4%,12%,4%,7%,8%,7%,4%,10%,2%,6%,11%,2%,7%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<1%,<.5%,1%,<.5%,0%,0%,<.5%,<1%,<.5%,0%,0%,<1%,<.5%,<1%,<.5%,0%,0%,0%,1%
What single news source do you turn to most often?,[VOL] Social media,19%,19%,18%,37%,27%,15%,6%,18%,21%,22%,25%,14%,22%,13%,21%,18%,25%,18%,18%,19%,21%,20%,20%,18%,17%,21%,21%,14%,18%,23%
What single news source do you turn to most often?,[VOL] Friends and family,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,<.5%,1%,1%,<1%,<.5%,1%,0%,<1%,<1%,1%,<.5%,1%,<.5%,<1%,<1%,<1%,<1%,<1%,<1%,0%,<1%,<.5%,<1%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,2%,1%,3%,3%,1%,2%,2%,3%,3%,4%,<1%,3%,<1%,5%,1%,1%,<1%,2%,3%,1%,3%,2%,3%,1%,2%,3%,2%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,5%,4%,7%,7%,4%,3%,5%,4%,3%,5%,5%,4%,6%,5%,4%,4%,5%,4%,5%,5%,5%,4%,6%,5%,5%,6%,4%,4%,7%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,1%,3%,3%,2%,2%,3%,<1%,1%,1%,3%,2%,2%,3%,3%,<.5%,2%,2%,3%,3%,2%,2%,3%,<.5%,4%,0%,0%,4%,2%
What single news source do you turn to most often?,[VOL] Newsmax,3%,2%,3%,0%,<1%,4%,4%,3%,0%,2%,3%,2%,3%,3%,4%,<.5%,2%,3%,2%,2%,3%,<1%,3%,4%,0%,5%,0%,0%,6%,2%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),1%,1%,<1%,0%,2%,1%,1%,<1%,0%,2%,4%,1%,<1%,<1%,<1%,3%,1%,<1%,<1%,<1%,3%,2%,<1%,1%,2%,<.5%,4%,2%,<.5%,1%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,3%,4%,2%,6%,4%,2%,2%,2%,3%,6%,5%,2%,4%,1%,3%,3%,6%,1%,1%,4%,5%,2%,3%,4%,2%,4%,3%,1%,4%,4%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),9%,9%,9%,6%,11%,10%,8%,9%,10%,6%,11%,11%,8%,10%,8%,11%,7%,10%,7%,10%,8%,11%,8%,9%,8%,9%,18%,7%,9%,11%
What single news source do you turn to most often?,[VOL] Don't know/Refused,3%,2%,4%,2%,3%,3%,3%,3%,<1%,8%,2%,2%,3%,3%,3%,2%,4%,3%,4%,4%,4%,5%,3%,3%,3%,3%,12%,4%,2%,3%
What single news source do you turn to most often?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Often,54%,48%,59%,76%,67%,51%,33%,53%,57%,60%,55%,54%,55%,50%,54%,62%,57%,58%,46%,54%,57%,56%,56%,50%,56%,52%,54%,55%,50%,56%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Sometimes,19%,20%,18%,12%,17%,21%,21%,19%,20%,17%,15%,17%,19%,19%,19%,13%,19%,17%,24%,18%,17%,16%,19%,21%,17%,21%,14%,18%,21%,19%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Rarely,12%,12%,12%,6%,9%,13%,16%,12%,10%,13%,11%,14%,11%,14%,11%,12%,11%,10%,11%,12%,15%,13%,10%,13%,12%,11%,15%,12%,12%,11%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Never,15%,19%,11%,6%,6%,13%,29%,16%,13%,8%,15%,15%,14%,16%,16%,12%,10%,14%,20%,15%,10%,15%,14%,15%,14%,15%,14%,14%,16%,14%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",[VOL] Don't know/Refused,<1%,<1%,<.5%,0%,0%,2%,1%,<.5%,0%,2%,4%,<.5%,<1%,<.5%,<.5%,<1%,2%,1%,0%,<1%,<1%,0%,<1%,2%,<.5%,1%,3%,<.5%,1%,<1%
"(If social media user)  How often, if ever, do you use TikTok?",Often,20%,15%,26%,48%,27%,15%,5%,17%,27%,32%,23%,16%,23%,13%,20%,25%,30%,20%,13%,21%,27%,24%,22%,17%,23%,18%,23%,20%,17%,24%
"(If social media user)  How often, if ever, do you use TikTok?",Sometimes,10%,10%,9%,9%,11%,11%,7%,9%,12%,11%,10%,8%,10%,8%,9%,8%,13%,8%,8%,12%,9%,12%,7%,11%,9%,10%,15%,10%,8%,10%
"(If social media user)  How often, if ever, do you use TikTok?",Rarely,13%,11%,13%,15%,15%,14%,8%,12%,15%,15%,10%,14%,12%,12%,13%,18%,11%,12%,15%,13%,11%,10%,13%,13%,13%,13%,8%,13%,13%,11%
"(If social media user)  How often, if ever, do you use TikTok?",Never,42%,44%,41%,23%,40%,46%,50%,46%,34%,32%,38%,47%,39%,51%,42%,36%,33%,46%,45%,39%,41%,38%,43%,43%,41%,43%,38%,43%,45%,41%
"(If social media user)  How often, if ever, do you use TikTok?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Never use social media,15%,19%,11%,6%,6%,13%,29%,16%,13%,8%,15%,15%,14%,16%,16%,12%,10%,14%,20%,15%,10%,15%,14%,15%,14%,15%,14%,14%,16%,14%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Don't know/Refused,<1%,<1%,<.5%,0%,0%,2%,1%,<.5%,0%,2%,4%,<.5%,<1%,<.5%,<.5%,<1%,2%,1%,0%,<1%,<1%,0%,<1%,2%,<.5%,1%,3%,<.5%,1%,<1%
And just a few more questions for demographic purposes...,Very liberal,10%,8%,11%,13%,18%,5%,7%,10%,6%,12%,11%,14%,8%,13%,8%,15%,7%,12%,12%,7%,11%,13%,11%,6%,20%,<1%,1%,24%,<.5%,7%
And just a few more questions for demographic purposes...,Somewhat liberal,12%,9%,15%,11%,14%,11%,12%,12%,16%,8%,12%,15%,10%,15%,10%,15%,10%,11%,13%,11%,14%,13%,14%,9%,22%,3%,5%,27%,2%,11%
And just a few more questions for demographic purposes...,Moderate,39%,40%,38%,43%,43%,39%,33%,37%,51%,36%,45%,43%,37%,41%,34%,46%,42%,33%,42%,40%,40%,40%,41%,35%,45%,31%,53%,36%,23%,56%
And just a few more questions for demographic purposes...,Somewhat conservative,18%,21%,17%,19%,16%,22%,16%,20%,15%,18%,14%,15%,20%,16%,22%,13%,18%,20%,18%,19%,15%,14%,17%,24%,7%,30%,11%,9%,31%,15%
And just a few more questions for demographic purposes...,Very conservative,19%,21%,16%,12%,9%,20%,29%,20%,8%,24%,13%,11%,23%,13%,25%,6%,19%,22%,12%,22%,17%,18%,15%,24%,4%,33%,13%,4%,44%,9%
And just a few more questions for demographic purposes...,[VOL] Don't know/Refused,2%,2%,2%,3%,<1%,3%,3%,2%,4%,3%,3%,2%,3%,<1%,3%,4%,3%,2%,3%,2%,3%,3%,2%,2%,1%,2%,17%,<1%,1%,3%
And just a few more questions for demographic purposes...,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Which of the following general income categories is your total household income before taxes?,"Under $25,000",10%,9%,12%,17%,6%,10%,12%,9%,13%,16%,10%,2%,16%,2%,13%,3%,20%,11%,10%,10%,12%,15%,8%,10%,11%,10%,6%,11%,8%,10%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",17%,14%,20%,25%,13%,13%,19%,16%,20%,26%,9%,8%,22%,8%,21%,11%,23%,17%,17%,17%,15%,16%,16%,18%,16%,16%,24%,16%,15%,20%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",26%,26%,28%,23%,29%,21%,31%,27%,31%,22%,25%,25%,28%,25%,28%,24%,28%,31%,23%,28%,23%,23%,28%,27%,28%,26%,20%,28%,25%,26%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",26%,30%,21%,18%,34%,30%,18%,27%,23%,18%,31%,37%,19%,36%,21%,38%,16%,23%,27%,26%,27%,26%,26%,25%,24%,26%,29%,25%,28%,25%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",13%,15%,12%,7%,15%,19%,8%,14%,10%,9%,19%,23%,7%,23%,8%,23%,6%,10%,17%,12%,13%,10%,16%,12%,15%,12%,8%,14%,14%,14%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,8%,7%,8%,10%,3%,6%,12%,8%,3%,9%,6%,5%,9%,5%,9%,1%,8%,9%,7%,7%,9%,10%,7%,8%,6%,9%,13%,7%,10%,6%
Which of the following general income categories is your total household income before taxes?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,21%,20%,23%,23%,13%,22%,27%,21%,10%,38%,14%,20%,22%,21%,21%,18%,23%,20%,32%,17%,19%,22%,26%,15%,20%,23%,18%,24%,23%,18%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),26%,25%,28%,20%,23%,25%,34%,28%,28%,20%,17%,27%,26%,30%,27%,22%,22%,28%,17%,33%,20%,25%,24%,30%,20%,33%,18%,19%,37%,22%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),2%,2%,2%,2%,2%,2%,3%,3%,0%,3%,0%,2%,3%,2%,3%,0%,2%,1%,1%,<1%,6%,1%,3%,2%,2%,2%,2%,2%,2%,3%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,1%,2%,1%,2%,1%,2%,2%,<1%,0%,2%,4%,<.5%,5%,<.5%,2%,0%,<1%,4%,<.5%,2%,2%,3%,<.5%,2%,1%,0%,2%,1%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,1%,1%,<1%,2%,2%,<.5%,<.5%,3%,0%,9%,2%,<1%,0%,<.5%,6%,2%,<1%,2%,1%,<1%,1%,2%,<.5%,1%,<1%,4%,1%,<1%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",12%,13%,11%,8%,9%,18%,11%,11%,27%,4%,11%,9%,14%,8%,13%,12%,15%,13%,7%,15%,10%,11%,10%,15%,9%,16%,1%,12%,18%,8%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<1%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,2%,2%,2%,3%,2%,<1%,1%,2%,<1%,6%,3%,1%,1%,1%,4%,2%,1%,3%,2%,2%,3%,1%,2%,3%,1%,0%,3%,<1%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,31%,33%,29%,42%,43%,25%,20%,31%,28%,30%,34%,33%,30%,32%,31%,34%,29%,31%,33%,27%,34%,33%,30%,31%,40%,21%,41%,36%,15%,40%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,3%,3%,2%,<1%,3%,3%,2%,2%,<1%,4%,6%,2%,3%,1%,2%,2%,5%,3%,<1%,3%,4%,3%,2%,4%,2%,2%,15%,2%,1%,4%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,25%,25%,25%,16%,18%,30%,30%,25%,30%,19%,20%,20%,28%,22%,28%,15%,27%,26%,15%,33%,20%,21%,21%,32%,15%,35%,11%,16%,40%,20%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,18%,17%,19%,17%,20%,16%,19%,19%,27%,9%,16%,21%,16%,20%,17%,23%,15%,18%,16%,19%,19%,19%,16%,19%,20%,17%,11%,20%,18%,17%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",56%,57%,55%,66%,61%,51%,50%,55%,43%,72%,61%,58%,54%,57%,53%,61%,57%,55%,70%,47%,59%,59%,61%,48%,64%,46%,77%,64%,40%,62%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,1%,1%,1%,1%,<1%,2%,<1%,1%,0%,1%,2%,<1%,2%,<.5%,2%,1%,1%,1%,0%,1%,2%,1%,1%,<1%,<1%,2%,0%,<.5%,1%,2%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,33%,39%,27%,29%,36%,36%,29%,31%,37%,28%,42%,35%,32%,35%,30%,36%,35%,33%,32%,35%,29%,30%,35%,31%,33%,33%,30%,32%,34%,35%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,67%,61%,73%,71%,64%,64%,71%,69%,63%,72%,58%,65%,68%,65%,70%,64%,65%,67%,68%,65%,71%,70%,65%,69%,67%,67%,70%,68%,66%,65%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
