itm,v1,wisconsin_likely_electorate_wisconsin_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] No biggest concern,18%,21%,17%,23%,3%,17%,19%,14%,48%,12%,14%,20%,16%,14%,0%,43%,0%,12%,38%,11%,50%,13%,26%,16%,20%,10%,28%,0%,33%,13%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",Number of respondents,78,34,42,17,13,29,16,61,7,8,29,48,25,36,4,11,6,33,7,18,14,19,23,36,29,32,17,13,12,39
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Honesty/follow through,15%,15%,16%,6%,17%,22%,12%,18%,4%,0%,13%,16%,14%,19%,0%,3%,29%,20%,0%,9%,6%,4%,13%,22%,8%,27%,3%,8%,10%,21%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Personality/judgement/attitude/ability,14%,12%,12%,21%,14%,9%,18%,15%,0%,24%,17%,13%,20%,13%,0%,13%,0%,15%,26%,0%,34%,37%,13%,4%,14%,18%,9%,8%,29%,17%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Economy,10%,15%,8%,25%,27%,3%,0%,12%,0%,3%,14%,9%,16%,11%,0%,2%,4%,12%,0%,13%,9%,9%,14%,9%,<1%,19%,9%,7%,10%,14%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Lack of experience,7%,11%,4%,0%,0%,18%,0%,8%,0%,0%,7%,7%,8%,9%,0%,0%,0%,9%,0%,10%,0%,14%,8%,3%,11%,0%,14%,0%,0%,12%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Ideology,4%,6%,2%,0%,3%,7%,3%,5%,0%,0%,3%,4%,4%,5%,0%,0%,0%,2%,0%,8%,9%,1%,6%,4%,8%,3%,0%,10%,2%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Immigration,3%,6%,<1%,0%,0%,3%,6%,3%,0%,13%,4%,3%,1%,3%,22%,0%,28%,<1%,0%,4%,0%,7%,4%,0%,1%,2%,7%,2%,13%,1%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Track record,3%,3%,3%,6%,3%,3%,0%,2%,0%,18%,4%,2%,0%,3%,32%,0%,0%,3%,0%,7%,0%,0%,5%,3%,5%,0%,5%,2%,0%,2%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don’t know enough about her,3%,3%,2%,3%,13%,2%,0%,3%,0%,0%,4%,2%,5%,2%,0%,0%,14%,1%,0%,6%,0%,3%,2%,3%,2%,3%,2%,0%,10%,2%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Other (specify),18%,12%,22%,16%,19%,7%,34%,17%,11%,23%,16%,17%,17%,17%,9%,18%,12%,17%,10%,22%,21%,6%,20%,22%,10%,20%,24%,22%,15%,8%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] No biggest concern,21%,15%,27%,23%,0%,21%,27%,17%,70%,0%,14%,24%,16%,17%,0%,54%,14%,22%,20%,22%,21%,8%,15%,30%,34%,9%,25%,32%,10%,17%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don't know/refused,3%,2%,3%,0%,4%,5%,0%,0%,15%,18%,4%,2%,0%,0%,37%,10%,0%,0%,43%,0%,0%,10%,0%,0%,7%,0%,2%,9%,0%,1%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",Number of respondents,78,34,42,17,13,29,16,61,7,8,29,48,25,36,4,11,6,33,7,18,14,19,23,36,29,32,17,13,12,39
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for women than men to get ahead are now largely gone,44%,59%,31%,47%,42%,50%,38%,44%,55%,45%,31%,52%,30%,52%,32%,57%,24%,50%,43%,45%,41%,40%,42%,47%,18%,72%,40%,19%,70%,43%
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for women to get ahead than men,51%,34%,66%,47%,56%,45%,58%,52%,45%,53%,67%,42%,68%,42%,68%,41%,72%,44%,54%,54%,50%,58%,57%,46%,78%,22%,53%,78%,25%,52%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,7%,3%,5%,2%,5%,4%,4%,<1%,2%,1%,6%,2%,6%,0%,2%,4%,6%,2%,<1%,9%,2%,<1%,8%,4%,6%,7%,3%,5%,4%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",Business corporations make too much profit,57%,46%,66%,59%,59%,55%,61%,56%,83%,68%,58%,56%,58%,54%,74%,75%,70%,52%,74%,50%,64%,67%,57%,53%,83%,29%,65%,85%,31%,55%
"Which statement comes closer to your view, even if neither is exactly right?",Most corporations make a fair and reasonable amount of profit,38%,48%,31%,34%,32%,43%,36%,40%,16%,28%,36%,40%,37%,41%,22%,24%,28%,41%,25%,48%,32%,32%,40%,40%,14%,65%,20%,12%,64%,40%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,6%,3%,7%,9%,3%,4%,5%,<1%,3%,6%,4%,5%,4%,4%,1%,1%,7%,1%,2%,4%,2%,3%,6%,3%,6%,14%,3%,5%,6%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",America’s openness to people from all over the world is essential to who we are as a nation,65%,56%,73%,64%,77%,58%,65%,64%,87%,62%,80%,56%,80%,54%,77%,70%,85%,62%,78%,65%,55%,75%,68%,60%,89%,40%,53%,93%,39%,62%
"Which statement comes closer to your view, even if neither is exactly right?","If America is too open to people from all over the world, we risk losing our identity as a nation",30%,38%,23%,32%,20%,36%,30%,31%,12%,34%,18%,37%,18%,39%,18%,28%,15%,33%,20%,30%,38%,24%,26%,34%,9%,53%,26%,6%,53%,32%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,6%,4%,4%,4%,6%,5%,5%,<1%,5%,2%,6%,2%,7%,5%,2%,0%,6%,2%,5%,7%,1%,5%,6%,2%,7%,22%,1%,8%,6%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,55%,46%,61%,40%,51%,48%,71%,55%,50%,57%,66%,48%,68%,48%,54%,54%,60%,52%,72%,60%,46%,64%,60%,49%,74%,35%,43%,77%,41%,48%
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,41%,49%,36%,58%,45%,47%,27%,41%,37%,43%,30%,48%,29%,49%,34%,43%,37%,45%,19%,35%,51%,31%,36%,47%,22%,60%,54%,19%,55%,47%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,5%,3%,2%,5%,5%,3%,4%,14%,0%,4%,4%,4%,3%,11%,3%,3%,3%,9%,5%,4%,5%,4%,4%,4%,5%,3%,4%,3%,4%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Helped people like you,46%,56%,38%,59%,37%,55%,35%,48%,4%,47%,39%,50%,39%,53%,33%,27%,24%,53%,24%,46%,49%,27%,43%,54%,3%,91%,41%,5%,90%,46%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Hurt people like you,36%,27%,44%,27%,48%,28%,42%,35%,57%,34%,48%,29%,47%,28%,65%,34%,56%,29%,53%,37%,35%,49%,42%,29%,71%,1%,10%,74%,1%,31%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Haven't made much of a difference either way,17%,17%,17%,14%,14%,16%,22%,16%,34%,19%,12%,20%,12%,18%,2%,36%,20%,17%,19%,15%,16%,23%,15%,15%,24%,7%,36%,20%,8%,21%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",[VOL] Don't know/Refused,1%,1%,1%,0%,<1%,2%,2%,<1%,5%,0%,<1%,1%,<1%,1%,0%,3%,0%,1%,3%,2%,<1%,1%,0%,2%,1%,<.5%,13%,1%,0%,1%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Help people like you,41%,29%,52%,31%,46%,34%,50%,40%,61%,38%,51%,34%,51%,33%,55%,44%,60%,36%,55%,40%,37%,52%,46%,34%,80%,2%,7%,88%,4%,32%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Hurt people like you,41%,50%,33%,40%,38%,49%,35%,43%,0%,36%,32%,46%,32%,50%,29%,18%,21%,48%,16%,45%,40%,17%,36%,51%,<1%,85%,26%,2%,87%,37%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Wouldn't make much of a difference either way,16%,19%,13%,29%,14%,15%,14%,15%,26%,25%,15%,17%,16%,15%,4%,35%,18%,16%,22%,13%,16%,28%,17%,11%,19%,10%,56%,10%,8%,28%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",[VOL] Don't know/Refused,2%,3%,1%,0%,2%,1%,1%,1%,13%,0%,2%,3%,<1%,2%,11%,3%,1%,<1%,8%,2%,6%,3%,<1%,3%,1%,3%,11%,<.5%,2%,3%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",Society is better off if people make marriage and having children a priority,42%,53%,32%,33%,38%,42%,46%,43%,31%,33%,35%,46%,35%,47%,29%,33%,23%,45%,28%,36%,61%,26%,38%,50%,15%,70%,38%,18%,67%,42%
"Which statement comes closer to your view, even if neither is exactly right?",Society is just as well off if people have priorities other than marriage and children,50%,37%,62%,61%,61%,46%,47%,49%,68%,64%,62%,43%,62%,42%,68%,65%,75%,44%,66%,60%,31%,69%,60%,39%,78%,21%,42%,78%,24%,48%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,10%,6%,6%,1%,12%,7%,8%,<1%,3%,3%,10%,3%,11%,3%,2%,2%,11%,6%,4%,8%,6%,2%,11%,7%,8%,20%,4%,9%,10%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",Immigrants today strengthen our country because of their hard work and talents,56%,49%,64%,60%,72%,46%,61%,55%,80%,62%,68%,50%,68%,48%,68%,71%,77%,47%,74%,61%,58%,70%,65%,48%,90%,21%,64%,88%,25%,59%
"Which statement comes closer to your view, even if neither is exactly right?","Immigrants today are a burden on our country because they take our jobs, housing and health care",34%,39%,29%,33%,20%,45%,29%,35%,18%,32%,26%,39%,26%,41%,21%,28%,22%,41%,23%,26%,36%,26%,28%,40%,7%,64%,23%,7%,61%,33%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,9%,12%,7%,8%,8%,9%,10%,9%,2%,6%,6%,11%,6%,11%,11%,1%,<1%,12%,3%,13%,6%,4%,7%,12%,3%,15%,14%,5%,13%,9%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has lost out from increased trade because it has cost jobs,47%,53%,41%,43%,41%,55%,43%,48%,47%,32%,35%,54%,35%,55%,27%,44%,35%,51%,47%,38%,51%,43%,41%,51%,30%,64%,56%,23%,63%,51%
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has gained from increased trade because it has helped lower prices,37%,35%,37%,46%,44%,27%,42%,36%,39%,55%,48%,30%,49%,28%,43%,50%,35%,35%,32%,43%,37%,33%,39%,37%,49%,24%,34%,52%,26%,35%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,17%,11%,22%,11%,15%,18%,15%,16%,14%,13%,17%,16%,16%,16%,30%,6%,29%,14%,21%,19%,12%,24%,20%,12%,21%,12%,9%,24%,11%,14%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",Society should accept transgender people as having the gender they identify with,54%,40%,66%,52%,67%,45%,62%,53%,75%,61%,70%,45%,71%,43%,71%,65%,76%,48%,79%,55%,44%,74%,59%,45%,84%,22%,51%,88%,18%,58%
"Which statement comes closer to your view, even if neither is exactly right?",Society should NOT accept transgender people as having the gender they identify with,36%,47%,27%,44%,24%,41%,32%,38%,14%,25%,26%,43%,26%,45%,18%,22%,19%,41%,11%,36%,48%,17%,35%,44%,10%,64%,39%,9%,70%,29%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,10%,13%,7%,4%,9%,13%,7%,9%,11%,14%,5%,12%,4%,11%,11%,13%,5%,11%,11%,9%,8%,9%,6%,11%,6%,14%,11%,2%,11%,14%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A great deal,23%,14%,31%,27%,35%,19%,21%,21%,79%,19%,31%,19%,32%,15%,28%,51%,38%,19%,46%,22%,17%,44%,24%,16%,41%,4%,24%,48%,5%,14%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A fair amount,26%,25%,28%,24%,22%,28%,29%,27%,17%,29%,32%,23%,31%,24%,50%,13%,30%,26%,22%,27%,25%,24%,30%,26%,40%,14%,4%,36%,11%,34%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not much,23%,23%,24%,24%,22%,21%,26%,25%,0%,14%,20%,24%,21%,27%,16%,4%,17%,25%,22%,22%,20%,19%,19%,26%,11%,34%,36%,10%,33%,28%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not at all,23%,33%,14%,21%,17%,29%,21%,24%,0%,34%,14%,29%,14%,30%,5%,26%,15%,25%,3%,26%,31%,10%,23%,28%,3%,44%,33%,3%,49%,20%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",[VOL] Don't know/Refused,4%,5%,4%,4%,3%,3%,4%,3%,4%,4%,3%,5%,2%,4%,0%,6%,0%,5%,7%,3%,6%,3%,3%,5%,6%,3%,3%,3%,2%,5%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Fair amount/Great deal,49%,39%,59%,51%,57%,47%,50%,48%,96%,49%,63%,42%,63%,39%,79%,64%,68%,45%,68%,49%,42%,67%,54%,41%,81%,19%,28%,84%,16%,47%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Not much/Not at all,46%,56%,38%,45%,39%,50%,47%,49%,0%,47%,34%,53%,35%,57%,21%,30%,32%,50%,25%,48%,51%,29%,43%,54%,14%,78%,69%,13%,82%,48%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,39%,44%,35%,47%,30%,45%,33%,40%,10%,41%,29%,46%,27%,48%,37%,24%,26%,44%,13%,39%,48%,23%,35%,47%,11%,70%,29%,10%,69%,37%
"Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",16%,18%,14%,16%,15%,18%,15%,17%,13%,5%,13%,18%,14%,19%,8%,9%,18%,16%,19%,15%,16%,16%,19%,15%,9%,23%,20%,8%,23%,20%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,1%,1%,<1%,4%,2%,<1%,0%,<1%,8%,0%,<1%,1%,0%,1%,11%,0%,0%,1%,5%,0%,0%,2%,0%,1%,<1%,1%,5%,0%,2%,<1%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,33%,28%,37%,18%,40%,28%,42%,32%,48%,33%,47%,25%,48%,23%,38%,41%,45%,28%,51%,33%,28%,42%,35%,28%,63%,3%,10%,67%,3%,31%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,11%,8%,14%,15%,13%,9%,9%,9%,20%,20%,10%,11%,11%,9%,6%,27%,11%,11%,13%,13%,9%,17%,11%,9%,16%,3%,36%,15%,4%,11%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
NA,[VOL] Social media,15%,17%,13%,46%,25%,10%,4%,15%,14%,20%,14%,15%,14%,15%,15%,18%,7%,17%,15%,16%,13%,15%,16%,14%,11%,19%,16%,12%,19%,13%
NA,"[VOL] National television networks, like CBS, NBC or ABC",13%,11%,15%,4%,11%,8%,23%,12%,20%,13%,10%,14%,10%,14%,18%,15%,8%,15%,17%,7%,14%,11%,7%,16%,18%,8%,7%,13%,7%,16%
NA,[VOL] Fox News,12%,12%,11%,5%,2%,16%,15%,13%,0%,8%,12%,11%,14%,12%,0%,7%,10%,13%,4%,15%,8%,3%,14%,14%,1%,23%,7%,<1%,26%,11%
NA,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,6%,8%,11%,14%,6%,4%,7%,13%,8%,13%,4%,13%,3%,13%,9%,25%,5%,6%,6%,5%,12%,10%,5%,13%,1%,6%,11%,2%,7%
NA,[VOL] CNN,7%,7%,7%,10%,6%,8%,5%,6%,17%,6%,7%,6%,8%,6%,5%,14%,10%,4%,12%,6%,11%,13%,5%,5%,12%,2%,0%,14%,2%,6%
NA,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,5%,6%,5%,4%,5%,9%,6%,6%,4%,4%,7%,4%,8%,7%,4%,1%,7%,17%,6%,1%,11%,5%,5%,5%,6%,19%,6%,6%,7%
NA,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,6%,4%,2%,9%,5%,3%,5%,1%,4%,6%,4%,6%,4%,8%,<1%,0%,5%,3%,9%,1%,<1%,9%,4%,4%,4%,15%,3%,4%,8%
NA,[VOL] Public Radio/NPR/PBS,5%,2%,7%,0%,6%,6%,5%,5%,0%,0%,10%,2%,11%,2%,0%,0%,9%,3%,8%,6%,3%,7%,6%,3%,8%,<1%,7%,8%,<.5%,4%
NA,[VOL] Newsmax,4%,5%,3%,0%,0%,5%,6%,4%,0%,3%,0%,6%,0%,7%,0%,2%,2%,4%,0%,4%,7%,1%,3%,5%,0%,8%,0%,0%,8%,3%
NA,[VOL] Conservative news sites,3%,5%,2%,3%,3%,3%,2%,4%,0%,0%,2%,4%,2%,4%,0%,0%,0%,3%,0%,2%,7%,0%,2%,5%,<.5%,6%,0%,0%,9%,1%
NA,[VOL] MSNBC,3%,4%,3%,<.5%,<1%,2%,6%,3%,10%,0%,3%,3%,3%,3%,0%,6%,4%,3%,3%,5%,1%,3%,4%,3%,6%,0%,0%,9%,0%,<1%
NA,[VOL] Local print or online news organizations,2%,1%,2%,0%,2%,2%,3%,2%,0%,0%,<1%,3%,<1%,3%,0%,0%,4%,2%,0%,0%,4%,6%,0%,1%,3%,<1%,0%,4%,1%,1%
NA,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,<.5%,3%,<.5%,5%,2%,1%,2%,6%,<1%,3%,1%,3%,1%,2%,4%,0%,2%,4%,1%,4%,3%,<1%,2%,3%,<.5%,0%,5%,0%,<1%
NA,[VOL] Talk radio/conservative personality,1%,<1%,2%,0%,0%,3%,<1%,1%,0%,4%,2%,<1%,3%,<.5%,0%,4%,0%,<1%,0%,4%,1%,0%,<1%,2%,<1%,2%,0%,0%,3%,1%
NA,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<.5%,2%,0%,0%,2%,<1%,<1%,0%,2%,1%,<1%,1%,<1%,5%,0%,0%,<.5%,2%,3%,<.5%,2%,3%,0%,1%,0%,5%,1%,0%,1%
NA,[VOL] Friends and family,<.5%,<.5%,0%,2%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%
NA,[VOL] Doesn’t consume news,1%,1%,2%,2%,2%,<1%,1%,1%,0%,4%,2%,1%,<1%,1%,6%,<1%,0%,1%,<1%,3%,<1%,1%,2%,<1%,1%,1%,6%,0%,2%,2%
NA,[VOL] Other (includes no preference and the internet),9%,10%,7%,5%,9%,11%,7%,9%,0%,7%,8%,9%,6%,10%,14%,0%,9%,10%,5%,4%,11%,5%,8%,10%,7%,11%,3%,8%,9%,9%
NA,[VOL] Don't know/Refused,5%,6%,4%,4%,2%,6%,6%,4%,13%,15%,2%,7%,1%,6%,9%,16%,9%,5%,4%,3%,8%,6%,5%,5%,6%,5%,9%,6%,2%,6%
NA,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Are you, or is any member of your household, a member of a labor union?","Yes, you are a member",8%,10%,4%,8%,11%,9%,4%,7%,8%,8%,6%,9%,6%,8%,0%,12%,7%,6%,8%,6%,15%,7%,3%,10%,6%,10%,2%,7%,7%,8%
"Are you, or is any member of your household, a member of a labor union?","Yes, another member of your household is a member",6%,3%,9%,9%,8%,5%,5%,6%,0%,2%,7%,6%,7%,6%,2%,1%,2%,8%,8%,5%,6%,4%,5%,8%,6%,6%,8%,7%,5%,6%
"Are you, or is any member of your household, a member of a labor union?","Yes, you and another member of your household are members",1%,2%,<.5%,3%,<.5%,<.5%,2%,<1%,0%,7%,<1%,1%,<1%,<1%,0%,6%,4%,1%,0%,<.5%,<1%,2%,2%,<1%,2%,<1%,0%,1%,2%,0%
"Are you, or is any member of your household, a member of a labor union?",No,83%,82%,85%,79%,81%,85%,86%,85%,82%,80%,87%,82%,86%,84%,98%,73%,88%,83%,84%,85%,79%,87%,86%,81%,84%,83%,83%,82%,85%,86%
"Are you, or is any member of your household, a member of a labor union?",[VOL] Don’t know/Refused,2%,2%,<1%,<1%,0%,<.5%,3%,<1%,10%,2%,0%,2%,0%,1%,0%,8%,0%,2%,0%,4%,0%,0%,5%,1%,3%,<.5%,7%,3%,<.5%,0%
"Are you, or is any member of your household, a member of a labor union?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,15%,8%,21%,17%,23%,11%,16%,16%,18%,15%,19%,13%,20%,13%,17%,16%,35%,10%,25%,19%,10%,24%,23%,9%,30%,0%,16%,39%,0%,7%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,11%,8%,13%,13%,14%,11%,7%,10%,32%,13%,15%,9%,15%,7%,8%,27%,20%,10%,19%,7%,7%,21%,7%,9%,19%,2%,12%,22%,<1%,10%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,32%,29%,35%,24%,37%,32%,34%,31%,39%,38%,41%,27%,38%,27%,66%,26%,30%,32%,33%,38%,26%,32%,32%,31%,41%,22%,32%,29%,11%,54%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,26%,12%,18%,10%,20%,22%,19%,0%,20%,14%,22%,13%,23%,9%,12%,8%,20%,10%,19%,26%,16%,22%,18%,6%,31%,24%,5%,35%,20%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,22%,27%,17%,24%,15%,23%,21%,23%,11%,13%,11%,28%,12%,29%,0%,17%,8%,27%,12%,17%,29%,6%,14%,31%,2%,44%,7%,4%,53%,9%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,2%,1%,2%,4%,<1%,1%,<.5%,<1%,<1%,1%,<.5%,1%,<.5%,1%,0%,1%,0%,2%,1%,<1%,1%,1%,1%,2%,1%,1%,8%,1%,0%,<.5%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
Which of the following general income categories is your total household income before taxes?,"Under $25,000",9%,5%,11%,17%,5%,5%,11%,8%,16%,23%,5%,11%,4%,10%,28%,16%,<1%,10%,23%,5%,9%,15%,7%,7%,9%,8%,11%,11%,6%,8%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",18%,16%,20%,16%,9%,15%,26%,18%,34%,16%,9%,24%,10%,23%,0%,34%,16%,17%,17%,18%,23%,17%,16%,19%,19%,18%,9%,21%,20%,15%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",31%,27%,35%,33%,26%,32%,34%,32%,27%,29%,28%,33%,29%,34%,34%,25%,19%,35%,35%,28%,32%,25%,34%,32%,31%,30%,41%,31%,29%,32%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",28%,32%,26%,22%,45%,29%,22%,30%,20%,11%,39%,22%,41%,23%,22%,11%,50%,28%,19%,25%,24%,33%,25%,28%,30%,28%,16%,28%,26%,31%
