itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
Immigration,[VOL] Don’t know/Refused,3%,3%,2%,2%,6%,2%,<1%,2%,5%,1%,3%,3%,3%,1%,2%,5%,5%,4%,<.5%,3%,2%,3%,5%,<1%,2%,<.5%,28%,1%,2%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immigration,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,MARGIN Trump +14 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,Kamala Harris,47%,40%,53%,56%,54%,45%,39%,28%,82%,47%,58%,40%,45%,16%,77%,71%,73%,51%,24%,41%,47%,71%,53%,32%,97%,3%,30%,95%,4%,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,Donald Trump,47%,53%,42%,40%,37%,50%,54%,66%,12%,46%,40%,52%,52%,75%,21%,20%,26%,39%,73%,52%,46%,27%,38%,64%,<.5%,95%,14%,3%,94%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,[VOL] Don’t know/Refused,6%,7%,5%,3%,9%,4%,7%,6%,6%,7%,2%,8%,3%,8%,2%,8%,1%,11%,3%,7%,7%,2%,8%,4%,3%,2%,56%,2%,2%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democracy,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Personality/behavior,26%,24%,30%,29%,48%,6%,14%,34%,20%,22%,25%,27%,32%,36%,17%,22%,22%,30%,2%,39%,26%,19%,29%,21%,25%,33%,20%,19%,23%,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ethics/honesty,14%,16%,12%,9%,15%,26%,3%,11%,22%,3%,13%,15%,18%,7%,10%,21%,23%,12%,9%,11%,17%,0%,15%,16%,33%,5%,8%,35%,9%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Race/racism/sexism,6%,4%,9%,5%,5%,12%,0%,3%,5%,22%,5%,7%,0%,4%,10%,9%,0%,14%,7%,0%,10%,18%,7%,<.5%,9%,<.5%,9%,4%,0%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Threat to democracy,6%,8%,3%,0%,16%,4%,0%,2%,10%,5%,2%,7%,0%,3%,4%,10%,1%,3%,0%,17%,3%,<.5%,9%,0%,5%,2%,11%,0%,0%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ability to do the job,5%,5%,5%,1%,4%,14%,0%,<1%,4%,8%,6%,5%,0%,1%,6%,5%,16%,10%,0%,0%,2%,17%,6%,0%,3%,4%,8%,4%,0%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Court cases/convictions,4%,8%,0%,6%,0%,11%,0%,1%,7%,8%,11%,1%,4%,0%,19%,2%,0%,0%,25%,2%,0%,0%,<1%,14%,3%,1%,8%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Abortion,4%,0%,9%,15%,0%,0%,0%,0%,9%,0%,0%,6%,0%,0%,0%,9%,22%,0%,0%,0%,0%,0%,0%,14%,0%,0%,11%,16%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Don't know/refused,3%,0%,6%,3%,4%,0%,7%,5%,2%,0%,6%,1%,13%,0%,0%,2%,6%,0%,4%,3%,5%,16%,3%,0%,7%,2%,2%,0%,0%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Immigration,<.5%,<.5%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Economy,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Other (specify),11%,18%,3%,28%,3%,10%,0%,8%,12%,21%,9%,12%,3%,11%,15%,13%,<1%,8%,13%,17%,16%,28%,9%,11%,8%,24%,<1%,16%,10%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] No biggest concern,20%,17%,23%,4%,5%,17%,77%,34%,9%,11%,23%,18%,29%,37%,19%,5%,9%,24%,38%,11%,20%,<1%,21%,23%,6%,29%,22%,5%,58%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",Number of respondents,109,63,45,34,30,30,10,44,43,17,40,68,21,23,17,43,19,28,14,23,25,15,68,26,32,45,32,19,17,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Personality/judgement/attitude/ability,19%,22%,14%,19%,32%,16%,0%,20%,22%,4%,7%,24%,12%,24%,0%,25%,22%,20%,10%,21%,18%,25%,17%,21%,16%,22%,17%,13%,3%,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Economy,15%,7%,27%,18%,6%,31%,0%,14%,13%,32%,14%,16%,23%,10%,7%,21%,0%,27%,7%,14%,23%,0%,22%,5%,30%,4%,14%,33%,11%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Lack of experience,8%,12%,2%,10%,14%,4%,0%,8%,8%,8%,10%,7%,9%,7%,12%,7%,14%,0%,0%,11%,14%,28%,8%,0%,4%,12%,6%,11%,7%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Honesty/follow through,7%,9%,5%,11%,11%,<.5%,3%,10%,5%,10%,11%,6%,5%,12%,18%,2%,8%,8%,16%,5%,4%,3%,6%,11%,8%,14%,<.5%,9%,6%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Ideology,7%,1%,14%,2%,0%,0%,45%,17%,0%,0%,5%,8%,10%,20%,0%,0%,0%,19%,11%,0%,2%,0%,8%,6%,0%,6%,13%,0%,14%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don’t know enough about her,6%,7%,4%,3%,0%,18%,0%,<1%,10%,0%,12%,3%,0%,2%,23%,2%,7%,5%,19%,0%,2%,0%,4%,12%,2%,4%,10%,3%,3%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Immigration,4%,<1%,9%,15%,1%,0%,0%,0%,10%,0%,1%,6%,0%,0%,3%,9%,22%,2%,0%,0%,0%,0%,<1%,14%,0%,0%,12%,16%,0%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Track record,4%,5%,3%,7%,6%,<1%,0%,3%,0%,22%,5%,4%,7%,1%,4%,5%,0%,6%,0%,11%,0%,0%,5%,3%,0%,9%,2%,0%,7%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Other (specify),14%,19%,8%,11%,7%,12%,39%,14%,9%,21%,18%,13%,11%,16%,20%,9%,12%,5%,32%,16%,11%,26%,7%,28%,18%,19%,7%,6%,32%,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] No biggest concern,13%,16%,9%,3%,17%,14%,13%,9%,21%,4%,13%,13%,14%,6%,13%,18%,10%,8%,5%,20%,22%,18%,18%,<1%,13%,9%,18%,8%,17%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don't know/refused,2%,2%,4%,0%,6%,3%,0%,5%,1%,0%,3%,2%,8%,3%,0%,1%,6%,0%,0%,4%,3%,0%,4%,0%,8%,0%,0%,0%,0%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",Number of respondents,109,63,45,34,30,30,10,44,43,17,40,68,21,23,17,43,19,28,14,23,25,15,68,26,32,45,32,19,17,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for women than men to get ahead are now largely gone,48%,56%,41%,44%,46%,48%,51%,58%,29%,45%,37%,54%,45%,67%,27%,37%,26%,50%,60%,48%,52%,39%,45%,53%,17%,76%,46%,17%,74%,54%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for women to get ahead than men,48%,39%,56%,56%,48%,50%,42%,37%,68%,55%,59%,42%,50%,28%,73%,59%,69%,48%,37%,45%,45%,55%,51%,44%,81%,20%,41%,80%,22%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,5%,3%,0%,6%,2%,7%,5%,3%,<.5%,4%,4%,6%,4%,<1%,4%,6%,1%,3%,6%,3%,5%,4%,3%,2%,4%,13%,3%,4%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Business corporations make too much profit,57%,51%,62%,70%,67%,53%,48%,44%,78%,71%,59%,56%,46%,42%,79%,74%,71%,55%,48%,55%,57%,75%,58%,51%,83%,32%,70%,82%,30%,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Most corporations make a fair and reasonable amount of profit,38%,46%,30%,29%,26%,42%,46%,50%,18%,27%,36%,38%,49%,50%,17%,23%,24%,42%,45%,40%,36%,20%,37%,43%,14%,60%,28%,15%,62%,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,3%,7%,1%,6%,5%,6%,7%,4%,2%,4%,6%,5%,8%,4%,3%,6%,3%,6%,5%,7%,5%,5%,6%,3%,8%,2%,2%,8%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",America’s openness to people from all over the world is essential to who we are as a nation,57%,54%,59%,68%,61%,58%,47%,45%,77%,68%,65%,53%,59%,35%,72%,76%,72%,55%,44%,54%,61%,74%,59%,50%,89%,29%,52%,87%,27%,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?","If America is too open to people from all over the world, we risk losing our identity as a nation",38%,39%,37%,30%,30%,39%,47%,49%,20%,32%,31%,42%,36%,57%,23%,22%,21%,43%,47%,40%,37%,21%,36%,44%,9%,65%,30%,12%,67%,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,7%,4%,1%,9%,3%,6%,6%,4%,<.5%,4%,5%,4%,8%,4%,2%,7%,2%,9%,6%,2%,5%,5%,6%,2%,6%,18%,<1%,6%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,40%,35%,43%,39%,34%,40%,44%,40%,37%,45%,49%,34%,53%,32%,43%,36%,50%,46%,34%,33%,38%,40%,41%,38%,54%,28%,31%,56%,34%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,56%,61%,52%,60%,60%,55%,51%,55%,59%,52%,47%,61%,44%,62%,53%,59%,48%,50%,62%,60%,57%,55%,55%,57%,42%,67%,64%,39%,62%,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,4%,5%,<.5%,5%,5%,5%,5%,4%,3%,3%,5%,3%,6%,4%,4%,2%,4%,4%,7%,5%,5%,4%,5%,4%,5%,4%,4%,4%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Helped people like you,43%,48%,40%,36%,31%,46%,55%,64%,12%,26%,36%,48%,50%,73%,16%,15%,19%,38%,70%,44%,44%,26%,35%,59%,1%,83%,35%,3%,85%,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Hurt people like you,30%,22%,38%,32%,36%,27%,29%,21%,48%,30%,39%,25%,35%,12%,45%,43%,52%,30%,12%,27%,31%,44%,34%,22%,67%,<.5%,3%,70%,<.5%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Haven't made much of a difference either way,24%,28%,21%,32%,29%,24%,16%,13%,36%,44%,24%,24%,15%,12%,37%,38%,26%,31%,15%,24%,23%,29%,28%,17%,31%,14%,48%,26%,13%,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",[VOL] Don't know/Refused,2%,3%,2%,<.5%,4%,3%,<1%,2%,4%,<.5%,<1%,3%,<.5%,3%,2%,4%,2%,<.5%,3%,5%,<1%,<.5%,3%,2%,<1%,2%,15%,1%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Help people like you,39%,29%,46%,46%,41%,36%,36%,22%,72%,33%,42%,37%,34%,13%,55%,67%,60%,34%,19%,32%,48%,68%,40%,29%,81%,2%,23%,86%,2%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
