itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Extremely important,0%,0%,0%,-,-,0%,0%,-,-,-,0%,-,0%,0%,-,-,-,0%,-,-,0%,-,0%,-,-,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Very important,47%,0%,100%,-,-,100%,0%,-,-,-,47%,-,47%,47%,-,-,-,47%,-,-,0%,-,100%,-,-,100%,0%,-,100%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Somewhat important,53%,100%,0%,-,-,0%,100%,-,-,-,53%,-,53%,53%,-,-,-,53%,-,-,100%,-,0%,-,-,0%,100%,-,0%,100%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not very important,0%,0%,0%,-,-,0%,0%,-,-,-,0%,-,0%,0%,-,-,-,0%,-,-,0%,-,0%,-,-,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Not at all important,0%,0%,0%,-,-,0%,0%,-,-,-,0%,-,0%,0%,-,-,-,0%,-,-,0%,-,0%,-,-,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,0%,-,-,0%,0%,-,-,-,0%,-,0%,0%,-,-,-,0%,-,-,0%,-,0%,-,-,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Extremely/Very important,47%,0%,100%,-,-,100%,0%,-,-,-,47%,-,47%,47%,-,-,-,47%,-,-,0%,-,100%,-,-,100%,0%,-,100%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,NET Not very/Not at all important,0%,0%,0%,-,-,0%,0%,-,-,-,0%,-,0%,0%,-,-,-,0%,-,-,0%,-,0%,-,-,0%,0%,-,0%,0%
(Ask of American Indian respondents)  How important is being American Indian or Alaska Native to how you think about yourself?,Number of respondents,2,1,1,,,1,1,,,,2,,2,2,,,,2,,,1,,1,,,1,1,,1,1
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Extremely important,0%,0%,-,-,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,-,-,-,-,0%,-,0%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Very important,0%,0%,-,-,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,-,-,-,-,0%,-,0%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Somewhat important,68%,68%,-,-,0%,100%,-,-,-,-,68%,-,68%,0%,100%,-,-,0%,100%,-,-,-,-,-,68%,-,68%,-,-,100%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not very important,0%,0%,-,-,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,-,-,-,-,0%,-,0%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Not at all important,32%,32%,-,-,100%,0%,-,-,-,-,32%,-,32%,100%,0%,-,-,100%,0%,-,-,-,-,-,32%,-,32%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,[VOL] Don’t know/Refused,0%,0%,-,-,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,-,-,-,-,0%,-,0%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Extremely/Very important,0%,0%,-,-,0%,0%,-,-,-,-,0%,-,0%,0%,0%,-,-,0%,0%,-,-,-,-,-,0%,-,0%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,NET Not very/Not at all important,32%,32%,-,-,100%,0%,-,-,-,-,32%,-,32%,100%,0%,-,-,100%,0%,-,-,-,-,-,32%,-,32%,-,-,0%
(Ask of Middle Eastern or North African respondents)  How important is being Middle Eastern or North African to how you think about yourself?,Number of respondents,2,2,,,1,1,,,,,2,,2,1,1,,,1,1,,,,,,2,,2,,,1
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,44%,43%,44%,30%,31%,40%,61%,48%,45%,37%,32%,48%,39%,57%,34%,61%,39%,54%,26%,39%,41%,46%,46%,48%,39%,60%,31%,47%,58%,32%
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,52%,50%,53%,68%,64%,53%,36%,48%,54%,56%,67%,48%,57%,38%,61%,33%,57%,44%,69%,55%,55%,51%,49%,50%,54%,36%,63%,53%,38%,61%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,7%,3%,2%,5%,7%,2%,5%,1%,7%,1%,5%,4%,5%,4%,6%,4%,3%,5%,6%,3%,3%,5%,2%,7%,4%,6%,0%,4%,7%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Is the party of the working class,Describes the Democratic Party more,40%,33%,46%,45%,35%,36%,44%,34%,65%,44%,41%,34%,51%,52%,32%,48%,24%,57%,46%,50%,26%,50%,31%,57%,38%,88%,5%,17%,91%,5%
Is the party of the working class,Describes the Republican Party more,53%,58%,49%,50%,59%,61%,42%,60%,32%,42%,59%,60%,41%,43%,60%,44%,70%,43%,40%,39%,68%,38%,65%,38%,52%,6%,90%,38%,5%,88%
Is the party of the working class,[VOL] Don’t know/Refused,7%,8%,6%,5%,6%,3%,13%,7%,3%,14%,<.5%,7%,8%,5%,9%,8%,6%,<.5%,14%,11%,5%,12%,4%,5%,10%,6%,5%,46%,5%,7%
Is the party of the working class,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares
Keeps its promises,Describes the Democratic Party more,34%,28%,40%,36%,22%,35%,40%,30%,54%,37%,30%,30%,42%,42%,29%,46%,20%,36%,46%,38%,24%,35%,30%,44%,36%,76%,4%,12%,76%,7%
Keeps its promises,Describes the Republican Party more,47%,50%,45%,47%,54%,53%,38%,54%,26%,34%,52%,54%,34%,34%,56%,31%,69%,39%,31%,42%,63%,33%,57%,35%,42%,6%,80%,30%,7%,79%
Keeps its promises,[VOL] Don’t know/Refused,19%,22%,16%,17%,24%,12%,22%,15%,20%,29%,19%,15%,24%,24%,15%,23%,11%,25%,23%,20%,13%,33%,13%,21%,22%,18%,16%,57%,16%,14%
Keeps its promises,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares,MARGIN Republican +13 Calculated using candidates’ unrounded vote shares
Understands the problems facing people like me,Describes the Democratic Party more,42%,36%,48%,53%,41%,37%,46%,32%,84%,50%,41%,32%,60%,55%,34%,46%,24%,66%,55%,50%,31%,55%,38%,53%,37%,89%,6%,56%,93%,7%
Understands the problems facing people like me,Describes the Republican Party more,50%,55%,46%,42%,51%,59%,42%,59%,11%,42%,56%,59%,34%,37%,59%,43%,70%,30%,37%,42%,60%,37%,58%,41%,50%,4%,89%,4%,1%,89%
Understands the problems facing people like me,[VOL] Don’t know/Refused,7%,9%,6%,5%,8%,4%,12%,9%,5%,7%,3%,9%,6%,8%,7%,12%,6%,3%,8%,8%,9%,7%,4%,6%,12%,7%,5%,39%,5%,4%
Understands the problems facing people like me,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares,MARGIN Republican +8 Calculated using candidates’ unrounded vote shares
Can fix the problems facing people like me,Describes the Democratic Party more,38%,31%,44%,47%,32%,33%,43%,31%,69%,39%,39%,31%,50%,47%,31%,44%,23%,52%,48%,41%,29%,46%,34%,50%,33%,83%,3%,35%,89%,3%
Can fix the problems facing people like me,Describes the Republican Party more,52%,59%,46%,44%,58%,63%,40%,60%,20%,44%,54%,60%,38%,40%,60%,43%,70%,37%,38%,43%,62%,34%,60%,40%,55%,6%,90%,8%,3%,90%
Can fix the problems facing people like me,[VOL] Don’t know/Refused,10%,10%,10%,9%,11%,5%,16%,9%,10%,17%,7%,9%,13%,12%,9%,14%,6%,11%,15%,15%,9%,21%,5%,10%,13%,10%,7%,57%,8%,7%
Can fix the problems facing people like me,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares,MARGIN Republican +14 Calculated using candidates’ unrounded vote shares
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A great deal of difference,62%,58%,66%,41%,49%,62%,72%,68%,58%,44%,56%,68%,51%,59%,64%,68%,67%,45%,56%,64%,73%,45%,61%,64%,65%,66%,62%,16%,73%,64%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",A fair amount of difference,27%,27%,27%,47%,38%,29%,15%,23%,32%,33%,43%,23%,34%,32%,24%,22%,24%,46%,24%,21%,18%,38%,31%,26%,21%,24%,29%,30%,17%,28%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Hardly any difference,8%,12%,4%,7%,12%,8%,7%,6%,10%,17%,1%,6%,12%,7%,9%,7%,5%,7%,16%,7%,6%,17%,7%,5%,9%,7%,6%,49%,5%,5%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",[VOL] Don’t know/Refused,3%,3%,3%,4%,1%,1%,6%,3%,0%,6%,0%,3%,3%,2%,4%,3%,4%,2%,4%,8%,3%,<1%,<1%,5%,5%,3%,3%,6%,4%,3%
"Thinking of the Democratic and Republican parties, would you say there is a great deal of difference in what they stand for, a fair amount of difference or hardly any difference at all?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Do you think the Democratic Party is …,Too far to the left,52%,55%,49%,43%,62%,50%,47%,63%,23%,32%,44%,63%,31%,47%,54%,57%,67%,33%,29%,34%,54%,42%,60%,45%,54%,15%,80%,48%,8%,79%
Do you think the Democratic Party is …,Too far to the right,6%,7%,5%,10%,3%,9%,3%,2%,18%,11%,0%,2%,12%,5%,6%,2%,2%,11%,12%,16%,9%,<1%,7%,0%,2%,6%,5%,0%,5%,5%
Do you think the Democratic Party is …,Not too far either way,36%,32%,39%,42%,28%,35%,42%,30%,53%,46%,43%,30%,48%,42%,32%,38%,24%,48%,48%,37%,30%,52%,29%,52%,32%,74%,8%,28%,79%,11%
Do you think the Democratic Party is …,[VOL] Don’t know/Refused,7%,6%,7%,5%,7%,7%,8%,5%,5%,11%,12%,5%,9%,5%,8%,3%,7%,8%,11%,13%,7%,5%,4%,2%,11%,4%,7%,25%,7%,6%
Do you think the Democratic Party is …,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Do you think the Republican Party is …,Too far to the right,42%,43%,41%,45%,44%,39%,41%,41%,52%,42%,34%,41%,44%,57%,31%,58%,30%,55%,34%,49%,32%,45%,41%,49%,38%,73%,19%,40%,67%,20%
Do you think the Republican Party is …,Too far to the left,5%,5%,5%,13%,4%,6%,2%,3%,13%,6%,7%,3%,9%,4%,6%,4%,2%,4%,13%,5%,10%,5%,3%,6%,5%,7%,4%,0%,6%,4%
Do you think the Republican Party is …,Not too far either way,45%,48%,43%,37%,42%,51%,46%,49%,29%,40%,52%,49%,38%,35%,53%,34%,60%,36%,40%,27%,50%,45%,48%,43%,49%,14%,70%,31%,15%,73%
Do you think the Republican Party is …,[VOL] Don’t know/Refused,8%,5%,10%,5%,10%,3%,11%,6%,6%,12%,7%,6%,9%,4%,10%,4%,8%,4%,14%,19%,8%,5%,7%,3%,7%,7%,7%,29%,11%,4%
Do you think the Republican Party is …,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for Black people to get ahead are now largely gone,44%,45%,43%,40%,40%,52%,39%,50%,31%,32%,47%,50%,34%,34%,51%,37%,58%,30%,38%,37%,56%,35%,46%,40%,46%,16%,66%,38%,16%,65%
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for Black people to get ahead,46%,49%,45%,59%,47%,43%,48%,40%,69%,55%,47%,40%,58%,59%,38%,54%,31%,66%,51%,44%,35%,57%,45%,56%,43%,76%,25%,36%,73%,27%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,9%,6%,12%,1%,13%,5%,14%,10%,0%,13%,6%,10%,7%,7%,10%,8%,11%,4%,10%,18%,9%,8%,9%,4%,11%,8%,9%,26%,11%,8%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"Yes, the Democratic Party has solutions",56%,61%,51%,70%,13%,59%,74%,-,56%,-,-,-,56%,43%,75%,-,-,43%,75%,38%,89%,82%,21%,93%,67%,73%,0%,0%,80%,0%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"No, the Democratic Party does not have solutions",42%,39%,45%,16%,87%,41%,26%,-,42%,-,-,-,42%,57%,20%,-,-,57%,20%,50%,11%,18%,79%,7%,33%,27%,100%,83%,17%,100%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,2%,0%,4%,15%,0%,0%,0%,-,2%,-,-,-,2%,0%,5%,-,-,0%,5%,13%,0%,0%,0%,0%,0%,0%,0%,17%,3%,0%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,Number of respondents,46,15,30,9,6,18,13,,46,,,,46,23,23,,,23,23,9,5,7,11,6,8,40,4,2,29,2
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,"No, the Republican Party does not have solutions",98%,100%,96%,85%,99%,100%,100%,-,98%,-,-,-,98%,100%,95%,-,-,100%,95%,87%,100%,100%,100%,100%,100%,100%,99%,83%,97%,85%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,2%,0%,4%,15%,0%,0%,0%,-,2%,-,-,-,2%,0%,5%,-,-,0%,5%,13%,0%,0%,0%,0%,0%,0%,0%,17%,3%,0%
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,Number of respondents,46,15,30,9,6,18,13,,46,,,,46,23,23,,,23,23,9,5,7,11,6,8,40,4,2,29,2
Building a wall along the U.S.-Mexico border,Strongly support,47%,50%,45%,26%,51%,53%,46%,55%,38%,29%,37%,55%,33%,38%,53%,41%,65%,36%,32%,40%,58%,30%,56%,43%,42%,8%,77%,44%,12%,74%
Building a wall along the U.S.-Mexico border,Somewhat support,13%,15%,12%,12%,10%,16%,12%,13%,15%,10%,19%,13%,13%,14%,13%,13%,12%,15%,12%,12%,8%,14%,12%,17%,14%,13%,13%,15%,7%,14%
Building a wall along the U.S.-Mexico border,Somewhat oppose,11%,8%,13%,17%,12%,8%,11%,9%,8%,16%,18%,9%,14%,11%,10%,12%,8%,10%,16%,8%,7%,18%,9%,8%,14%,19%,3%,24%,20%,6%
Building a wall along the U.S.-Mexico border,Strongly oppose,26%,24%,28%,45%,25%,22%,26%,21%,33%,37%,25%,21%,34%,35%,20%,33%,14%,36%,32%,31%,22%,32%,20%,32%,27%,55%,4%,13%,54%,3%
Building a wall along the U.S.-Mexico border,[VOL] Don't know/Refused,3%,4%,3%,<.5%,2%,1%,6%,1%,6%,8%,0%,1%,6%,2%,4%,1%,2%,4%,8%,9%,6%,5%,3%,0%,2%,5%,2%,5%,6%,3%
Building a wall along the U.S.-Mexico border,NET Support,60%,64%,57%,38%,61%,69%,57%,68%,53%,39%,57%,68%,47%,52%,66%,54%,77%,50%,44%,52%,66%,44%,68%,59%,57%,20%,91%,59%,20%,88%
Building a wall along the U.S.-Mexico border,NET Oppose,36%,32%,41%,61%,37%,30%,36%,31%,41%,53%,43%,31%,47%,46%,30%,45%,21%,46%,48%,39%,29%,50%,29%,41%,41%,75%,7%,37%,74%,9%
Building a wall along the U.S.-Mexico border,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly support,30%,25%,35%,40%,38%,26%,26%,24%,44%,44%,26%,24%,41%,37%,26%,31%,19%,45%,38%,40%,24%,33%,28%,29%,30%,48%,16%,35%,52%,16%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat support,24%,27%,21%,30%,20%,23%,25%,26%,25%,21%,22%,26%,22%,25%,23%,30%,23%,20%,25%,23%,16%,37%,22%,22%,27%,33%,16%,40%,29%,18%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat oppose,12%,13%,12%,12%,14%,14%,10%,13%,8%,10%,16%,13%,10%,12%,13%,11%,15%,13%,8%,4%,10%,2%,17%,17%,11%,6%,18%,2%,3%,18%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly oppose,30%,31%,28%,16%,25%,33%,33%,34%,21%,17%,31%,34%,21%,23%,33%,25%,40%,21%,20%,27%,44%,23%,32%,24%,28%,9%,47%,15%,12%,44%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,[VOL] Don't know/Refused,4%,4%,3%,3%,3%,4%,5%,3%,3%,8%,5%,3%,6%,2%,5%,3%,3%,2%,9%,7%,5%,5%,<1%,7%,4%,4%,4%,8%,4%,4%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Support,54%,52%,56%,70%,58%,49%,51%,50%,69%,65%,48%,50%,63%,62%,49%,61%,42%,64%,63%,63%,40%,70%,50%,51%,57%,81%,32%,75%,81%,34%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Oppose,42%,44%,40%,27%,39%,47%,44%,47%,29%,27%,46%,47%,31%,35%,46%,37%,54%,34%,28%,30%,54%,25%,49%,41%,39%,15%,64%,17%,15%,62%
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I feel like he is talking about me,31%,28%,34%,14%,42%,19%,48%,8%,0%,36%,29%,8%,34%,48%,19%,38%,0%,49%,23%,27%,48%,58%,15%,35%,29%,38%,21%,67%,42%,23%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I do not feel like he is talking about me,62%,64%,60%,86%,53%,76%,34%,83%,100%,56%,70%,83%,59%,48%,71%,62%,89%,47%,67%,63%,52%,41%,73%,56%,71%,55%,72%,16%,48%,68%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,[VOL] Don’t know/Refused,7%,9%,6%,0%,5%,5%,18%,9%,0%,8%,1%,9%,7%,3%,10%,0%,11%,4%,9%,10%,0%,2%,12%,9%,0%,6%,7%,17%,10%,9%
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,Number of respondents,127,61,66,31,32,43,20,21,4,88,14,21,106,54,72,5,15,49,57,31,8,18,27,19,24,57,66,4,34,47
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system does not need changes,2%,3%,2%,2%,0%,4%,3%,3%,0%,1%,8%,3%,2%,2%,3%,4%,2%,0%,4%,0%,<1%,3%,3%,1%,3%,<1%,4%,0%,<1%,5%
