itm,v1,likely_electorate_likely_electorate,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,8%,7%,7%,10%,9%,7%,3%,8%,6%,11%,8%,10%,3%,12%,6%,13%,6%,9%,5%,8%,8%,7%,15%,<1%,2%,16%,<.5%,2%,4%,17%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,<1%,<.5%,<.5%,<1%,<.5%,0%,<.5%,<1%,<.5%,<.5%,0%,1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<1%,<1%,0%,<1%,<1%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,2%,2%,2%,1%,2%,2%,3%,2%,<.5%,2%,1%,5%,3%,1%,3%,<1%,3%,3%,2%,2%,2%,3%,<1%,2%,3%,<1%,2%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,1%,<.5%,3%,1%,1%,1%,<.5%,<.5%,1%,3%,1%,1%,2%,<1%,2%,<1%,2%,2%,1%,2%,<1%,2%,2%,<1%,3%,2%,<1%,2%,3%,2%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,1%,0%,0%,<.5%,<.5%,<1%,0%,0%,<1%,0%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,5%,7%,5%,4%,6%,5%,1%,4%,6%,6%,5%,6%,4%,4%,6%,5%,5%,<1%,7%,8%,4%,5%,8%,1%,6%,9%,1%,3%,2%,8%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,7%,5%,8%,7%,7%,5%,5%,7%,8%,7%,5%,5%,6%,7%,5%,8%,8%,3%,7%,6%,7%,8%,5%,6%,8%,5%,3%,9%,8%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<1%,2%,<.5%,1%,<1%,3%,2%,<.5%,0%,<1%,3%,3%,2%,<1%,1%,<.5%,5%,2%,2%,1%,<.5%,1%,<.5%,4%,1%,<.5%,0%,7%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,<1%,<1%,<1%,<1%,<1%,<.5%,1%,<1%,<1%,<.5%,<.5%,<1%,2%,<1%,<.5%,<1%,<.5%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<1%,5%,<.5%,<1%,3%,3%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,0%,<.5%,0%,<1%,<1%,0%,<.5%,0%,<1%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),7%,7%,7%,6%,6%,8%,8%,3%,7%,9%,7%,11%,5%,4%,9%,4%,8%,3%,11%,10%,4%,8%,6%,7%,12%,6%,8%,6%,12%,5%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,4%,6%,2%,4%,4%,4%,8%,4%,2%,4%,3%,5%,5%,4%,4%,4%,3%,5%,5%,4%,4%,4%,4%,3%,17%,4%,3%,11%,12%,3%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",49%,49%,48%,49%,40%,57%,55%,50%,43%,54%,47%,78%,52%,58%,44%,57%,41%,62%,65%,68%,53%,39%,96%,<1%,18%,97%,<.5%,31%,25%,94%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",47%,46%,49%,47%,56%,39%,41%,44%,53%,44%,50%,14%,43%,37%,52%,39%,57%,28%,31%,26%,44%,58%,2%,97%,29%,2%,99%,46%,31%,4%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,3%,1%,2%,3%,1%,3%,4%,2%,<1%,2%,4%,2%,3%,2%,2%,1%,4%,2%,2%,3%,1%,<1%,<1%,31%,<1%,<.5%,14%,23%,<.5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,<.5%,<1%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<1%,4%,0%,<.5%,6%,5%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,1%,2%,<1%,1%,1%,1%,<.5%,<1%,2%,1%,1%,3%,2%,1%,1%,<1%,1%,5%,2%,4%,<1%,1%,<1%,<.5%,17%,<1%,<.5%,2%,17%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
The economy,Kamala Harris,46%,45%,46%,46%,36%,55%,50%,47%,38%,53%,44%,75%,47%,54%,41%,53%,38%,60%,60%,68%,48%,36%,89%,<1%,18%,91%,<1%,19%,28%,91%
The economy,Donald Trump,52%,51%,52%,52%,61%,43%,49%,49%,59%,45%,54%,22%,50%,43%,56%,44%,60%,36%,38%,29%,49%,62%,8%,99%,53%,7%,99%,72%,50%,8%
The economy,[VOL] Don’t know/Refused,3%,4%,2%,2%,3%,2%,1%,4%,3%,2%,3%,2%,4%,3%,2%,3%,2%,4%,2%,3%,3%,2%,3%,<.5%,29%,3%,<.5%,8%,22%,1%
The economy,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Abortion,Kamala Harris,58%,56%,58%,58%,50%,65%,70%,62%,52%,59%,56%,84%,62%,67%,53%,67%,49%,72%,72%,79%,61%,47%,97%,15%,50%,97%,14%,56%,59%,95%
Abortion,Donald Trump,37%,36%,37%,37%,44%,31%,25%,33%,41%,38%,39%,11%,29%,27%,42%,28%,46%,20%,21%,16%,33%,48%,2%,77%,15%,2%,78%,31%,18%,3%
Abortion,[VOL] Don’t know/Refused,5%,7%,5%,4%,7%,5%,6%,6%,7%,3%,5%,4%,10%,6%,5%,6%,4%,8%,7%,5%,6%,5%,1%,8%,34%,1%,8%,14%,23%,2%
Abortion,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Immigration,Kamala Harris,46%,45%,47%,46%,36%,55%,54%,47%,39%,52%,44%,71%,47%,55%,41%,54%,39%,60%,57%,67%,49%,36%,89%,2%,21%,90%,1%,18%,31%,90%
Immigration,Donald Trump,51%,51%,51%,52%,61%,43%,45%,49%,58%,46%,53%,26%,45%,42%,56%,43%,59%,36%,38%,28%,48%,62%,9%,97%,53%,7%,98%,76%,45%,8%
Immigration,[VOL] Don’t know/Refused,3%,4%,2%,2%,3%,3%,1%,3%,3%,2%,2%,2%,7%,3%,2%,3%,2%,4%,6%,4%,3%,2%,2%,<1%,26%,2%,<1%,6%,24%,1%
Immigration,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Democracy,Kamala Harris,54%,54%,54%,54%,46%,62%,64%,57%,48%,57%,52%,85%,58%,64%,49%,63%,45%,70%,71%,75%,58%,44%,98%,7%,53%,99%,5%,47%,60%,96%
Democracy,Donald Trump,42%,41%,43%,43%,50%,35%,31%,38%,48%,42%,45%,13%,38%,33%,47%,33%,51%,25%,27%,23%,38%,52%,<1%,90%,15%,<1%,91%,35%,19%,3%
Democracy,[VOL] Don’t know/Refused,4%,5%,3%,3%,5%,3%,6%,5%,4%,1%,3%,2%,4%,4%,4%,3%,4%,5%,2%,2%,4%,4%,<1%,4%,32%,<1%,3%,18%,21%,<1%
Democracy,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
What single news source do you turn to most often?,[VOL] Fox News,15%,14%,18%,15%,17%,14%,6%,10%,15%,21%,17%,5%,9%,11%,18%,12%,20%,6%,7%,7%,16%,18%,2%,31%,9%,2%,33%,2%,11%,2%
What single news source do you turn to most often?,[VOL] CNN,10%,13%,9%,8%,9%,11%,9%,11%,8%,11%,9%,16%,11%,9%,10%,9%,9%,12%,14%,11%,10%,9%,16%,3%,8%,16%,3%,10%,8%,16%
What single news source do you turn to most often?,[VOL] MSNBC,4%,3%,6%,4%,3%,5%,3%,2%,4%,8%,5%,9%,<.5%,5%,4%,4%,5%,6%,4%,3%,6%,4%,9%,<.5%,0%,9%,<.5%,<1%,0%,11%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,4%,4%,4%,4%,5%,2%,7%,5%,3%,4%,3%,6%,7%,2%,7%,2%,12%,<1%,6%,5%,3%,8%,<.5%,4%,8%,<.5%,2%,4%,7%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,1%,1%,<1%,2%,1%,1%,1%,<.5%,2%,1%,1%,0%,<1%,<1%,1%,1%,2%,0%,<1%,1%,<1%,2%,0%,3%,0%,0%,3%,0%,0%,0%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",16%,13%,17%,17%,14%,18%,8%,8%,16%,23%,16%,24%,6%,14%,17%,15%,18%,12%,16%,16%,14%,17%,23%,8%,18%,23%,8%,15%,13%,22%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",4%,5%,2%,5%,3%,5%,4%,4%,5%,3%,4%,5%,6%,4%,4%,4%,4%,3%,8%,4%,5%,4%,4%,4%,8%,4%,4%,9%,5%,4%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,4%,7%,7%,6%,6%,9%,7%,6%,4%,6%,4%,5%,11%,3%,11%,4%,9%,1%,11%,6%,5%,10%,2%,2%,10%,2%,6%,6%,10%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,1%,<.5%,<.5%,<.5%,1%,<.5%,1%,<.5%,<1%,<1%,0%,2%,1%,<.5%,1%,<.5%,0%,1%,1%,<.5%,<.5%,1%,<.5%,1%,1%,0%,2%,<1%,1%
What single news source do you turn to most often?,[VOL] Social media,15%,17%,14%,15%,16%,15%,36%,22%,13%,7%,14%,18%,26%,13%,17%,13%,15%,15%,27%,20%,16%,13%,13%,18%,7%,13%,18%,20%,14%,12%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,0%,<1%,<.5%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,2%,<1%,2%,1%,1%,3%,2%,<1%,1%,0%,6%,3%,<1%,2%,<1%,8%,0%,2%,2%,<.5%,2%,<1%,<1%,2%,<.5%,3%,4%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,3%,2%,4%,4%,2%,3%,4%,4%,<1%,3%,<.5%,5%,2%,3%,3%,3%,2%,3%,4%,3%,2%,3%,3%,5%,3%,2%,6%,5%,2%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,2%,2%,1%,2%,1%,0%,3%,2%,1%,2%,0%,2%,1%,2%,2%,2%,1%,<1%,0%,2%,2%,<.5%,3%,3%,<.5%,3%,0%,3%,0%
What single news source do you turn to most often?,[VOL] Newsmax,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,2%,<1%,1%,2%,2%,2%,2%,<1%,1%,<1%,1%,3%,0%,4%,0%,0%,4%,0%,0%,0%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<1%,<1%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,2%,0%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<.5%,<1%,1%,0%,0%,1%,0%,0%,<1%,1%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,2%,2%,2%,2%,2%,2%,4%,2%,2%,<.5%,1%,3%,3%,2%,2%,2%,<1%,5%,2%,<1%,2%,1%,<1%,2%,17%,<1%,1%,9%,10%,<.5%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),8%,8%,7%,10%,10%,6%,9%,8%,10%,7%,9%,8%,5%,8%,8%,8%,9%,5%,6%,5%,6%,12%,5%,11%,15%,5%,11%,12%,14%,6%
What single news source do you turn to most often?,[VOL] Don't know/Refused,4%,5%,5%,3%,5%,3%,3%,5%,4%,4%,4%,3%,6%,4%,5%,4%,4%,3%,5%,3%,4%,5%,3%,6%,3%,3%,6%,4%,2%,3%
What single news source do you turn to most often?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Often,48%,51%,47%,47%,43%,53%,73%,64%,48%,31%,46%,49%,62%,53%,45%,52%,43%,63%,53%,51%,52%,44%,49%,48%,39%,49%,48%,55%,44%,52%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Sometimes,19%,18%,20%,19%,17%,21%,18%,18%,22%,16%,18%,29%,21%,19%,19%,19%,17%,19%,28%,23%,16%,20%,20%,18%,26%,20%,17%,29%,14%,18%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Rarely,13%,13%,14%,14%,14%,13%,5%,11%,15%,16%,14%,11%,7%,13%,14%,13%,15%,10%,7%,13%,13%,13%,13%,13%,15%,14%,13%,6%,18%,13%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",Never,19%,18%,19%,20%,26%,13%,4%,7%,15%,35%,21%,11%,10%,14%,22%,16%,24%,9%,11%,14%,18%,22%,17%,21%,18%,17%,21%,10%,23%,16%
"How often, if ever, do you use social media, such as Facebook, Instagram, TikTok or others?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,0%,1%,<1%
"(If social media user)  How often, if ever, do you use TikTok?",Often,13%,17%,13%,10%,10%,15%,43%,24%,8%,2%,12%,19%,19%,13%,13%,13%,12%,18%,20%,18%,13%,12%,13%,13%,17%,13%,12%,25%,13%,14%
"(If social media user)  How often, if ever, do you use TikTok?",Sometimes,9%,9%,9%,8%,8%,10%,18%,10%,9%,5%,8%,17%,15%,7%,10%,6%,8%,13%,18%,12%,8%,8%,11%,7%,6%,10%,6%,16%,8%,10%
"(If social media user)  How often, if ever, do you use TikTok?",Rarely,10%,12%,10%,8%,9%,10%,12%,11%,12%,7%,9%,17%,11%,11%,10%,11%,8%,11%,15%,11%,12%,8%,12%,8%,10%,13%,8%,7%,9%,12%
"(If social media user)  How often, if ever, do you use TikTok?",Never,49%,44%,49%,54%,47%,52%,23%,49%,56%,50%,50%,37%,45%,54%,46%,55%,48%,49%,36%,45%,49%,49%,46%,52%,48%,46%,52%,42%,46%,47%
"(If social media user)  How often, if ever, do you use TikTok?",[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Never use social media,19%,18%,19%,20%,26%,13%,4%,7%,15%,35%,21%,11%,10%,14%,22%,16%,24%,9%,11%,14%,18%,22%,17%,21%,18%,17%,21%,10%,23%,16%
"(If social media user)  How often, if ever, do you use TikTok?",[PREVIOUSLY] Don't know/Refused,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,0%,1%,<1%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Often,16%,21%,16%,12%,14%,18%,45%,25%,9%,4%,15%,21%,21%,15%,17%,15%,15%,20%,22%,21%,15%,15%,16%,16%,21%,16%,16%,28%,18%,16%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Sometimes,11%,11%,11%,10%,11%,11%,19%,10%,11%,7%,10%,19%,17%,8%,12%,7%,11%,14%,20%,14%,10%,10%,13%,9%,7%,12%,8%,18%,10%,13%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Rarely,12%,15%,12%,10%,12%,11%,12%,12%,14%,10%,12%,19%,12%,12%,12%,13%,11%,12%,17%,13%,14%,11%,15%,10%,13%,15%,10%,8%,12%,14%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",Never,60%,53%,60%,67%,63%,59%,24%,53%,66%,79%,64%,42%,49%,64%,58%,65%,63%,54%,41%,52%,60%,63%,56%,66%,59%,56%,67%,47%,60%,57%
"(Without combination) (If social media user)  How often, if ever, do you use TikTok?",[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
And just a few more questions for demographic purposes...,Very liberal,11%,12%,11%,12%,8%,14%,22%,15%,9%,9%,12%,11%,10%,17%,8%,17%,9%,19%,6%,24%,11%,7%,22%,<.5%,4%,23%,<.5%,<1%,8%,27%
And just a few more questions for demographic purposes...,Somewhat liberal,12%,11%,12%,13%,10%,14%,19%,14%,10%,10%,12%,14%,17%,15%,10%,16%,9%,17%,15%,15%,13%,10%,21%,2%,10%,22%,2%,8%,11%,25%
And just a few more questions for demographic purposes...,Moderate,38%,37%,40%,37%,36%,39%,34%,42%,37%,37%,36%,52%,42%,41%,36%,40%,34%,47%,47%,38%,41%,35%,45%,29%,46%,45%,27%,59%,45%,38%
And just a few more questions for demographic purposes...,Somewhat conservative,18%,18%,18%,16%,21%,15%,15%,14%,21%,18%,18%,11%,16%,13%,21%,13%,22%,10%,15%,10%,15%,23%,5%,31%,26%,5%,31%,27%,15%,5%
And just a few more questions for demographic purposes...,Very conservative,18%,17%,16%,20%,22%,14%,8%,12%,20%,21%,19%,8%,9%,12%,21%,13%,23%,4%,11%,9%,16%,22%,2%,36%,4%,2%,38%,<1%,6%,3%
And just a few more questions for demographic purposes...,[VOL] Don't know/Refused,3%,5%,3%,2%,3%,3%,2%,3%,2%,5%,3%,3%,6%,2%,4%,2%,4%,3%,6%,4%,4%,2%,4%,2%,11%,3%,2%,4%,14%,2%
And just a few more questions for demographic purposes...,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Which of the following general income categories is your total household income before taxes?,"Under $25,000",9%,11%,9%,6%,7%,11%,14%,6%,6%,12%,8%,17%,13%,3%,13%,3%,11%,1%,23%,13%,7%,9%,11%,6%,14%,11%,6%,11%,9%,12%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",15%,14%,18%,15%,12%,18%,15%,11%,12%,22%,15%,23%,13%,9%,19%,9%,19%,7%,24%,18%,14%,16%,15%,16%,9%,15%,16%,19%,12%,14%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",28%,28%,27%,30%,30%,27%,32%,29%,25%,31%,29%,29%,28%,25%,31%,26%,31%,23%,31%,30%,29%,27%,28%,29%,23%,28%,30%,25%,23%,28%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",29%,30%,28%,30%,34%,25%,27%,37%,36%,20%,30%,19%,29%,40%,23%,39%,24%,48%,11%,23%,33%,29%,28%,30%,34%,29%,30%,31%,29%,31%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",11%,11%,12%,10%,12%,11%,6%,13%,16%,6%,12%,6%,11%,17%,8%,17%,9%,17%,4%,8%,12%,11%,12%,11%,4%,12%,11%,8%,5%,10%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,7%,5%,7%,9%,5%,8%,5%,4%,6%,9%,7%,5%,6%,6%,7%,6%,7%,5%,7%,8%,6%,8%,6%,8%,16%,5%,7%,6%,22%,5%
Which of the following general income categories is your total household income before taxes?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,24%,20%,27%,24%,22%,26%,18%,16%,28%,27%,26%,4%,23%,23%,25%,24%,28%,15%,13%,18%,26%,24%,22%,27%,22%,22%,27%,16%,28%,22%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant (Christian),28%,29%,30%,25%,27%,30%,21%,21%,26%,37%,29%,33%,23%,29%,28%,29%,29%,28%,27%,26%,24%,33%,25%,33%,18%,25%,34%,25%,18%,25%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon (LDS),<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,<1%,2%,<.5%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,<1%,3%,<1%,2%,1%,<.5%,<1%,2%,2%,2%,1%,1%,3%,<1%,3%,<1%,<1%,1%,3%,2%,<.5%,2%,1%,5%,2%,1%,<.5%,5%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,1%,2%,1%,<1%,1%,<1%,2%,3%,<1%,<.5%,<.5%,8%,5%,1%,1%,<1%,0%,6%,6%,2%,2%,<1%,1%,<1%,3%,1%,<1%,4%,6%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",11%,10%,9%,14%,12%,9%,4%,10%,13%,11%,10%,21%,6%,7%,13%,7%,12%,7%,16%,11%,11%,11%,8%,14%,9%,8%,15%,8%,6%,9%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,3%,1%,<1%,1%,2%,2%,3%,1%,<1%,<1%,3%,7%,2%,1%,1%,<1%,8%,3%,1%,2%,1%,2%,<1%,4%,2%,<.5%,4%,5%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,30%,34%,26%,31%,32%,27%,51%,45%,27%,18%,30%,29%,33%,32%,29%,33%,28%,30%,32%,36%,31%,27%,39%,21%,31%,39%,20%,41%,20%,37%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,1%,2%,3%,1%,2%,2%,<1%,2%,2%,2%,1%,2%,2%,2%,2%,2%,3%,1%,1%,2%,3%,2%,2%,7%,2%,2%,1%,10%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,21%,22%,20%,20%,23%,19%,11%,13%,21%,27%,19%,38%,17%,14%,24%,13%,23%,19%,31%,18%,18%,24%,12%,31%,15%,12%,32%,13%,16%,13%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,20%,19%,22%,20%,18%,23%,17%,21%,19%,24%,21%,21%,19%,24%,18%,25%,18%,24%,18%,22%,20%,20%,23%,18%,19%,23%,17%,25%,15%,23%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",57%,56%,58%,58%,58%,57%,72%,65%,58%,48%,59%,39%,64%,60%,56%,61%,57%,54%,51%,59%,61%,54%,64%,50%,65%,64%,49%,59%,67%,62%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,2%,3%,<.5%,1%,1%,1%,0%,<1%,2%,1%,1%,2%,<.5%,1%,1%,<1%,2%,3%,<.5%,<1%,1%,2%,1%,2%,2%,1%,2%,3%,2%,2%
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,31%,29%,33%,30%,36%,26%,35%,36%,32%,25%,30%,39%,34%,34%,29%,33%,27%,42%,33%,35%,32%,29%,32%,31%,22%,32%,30%,34%,20%,33%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,69%,71%,67%,70%,64%,74%,65%,64%,68%,75%,70%,61%,66%,66%,71%,67%,73%,58%,67%,65%,68%,71%,68%,69%,78%,68%,70%,66%,80%,67%
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
