itm,v1,michigan_likely_electorate_michigan_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] No biggest concern,10%,15%,7%,30%,3%,12%,0%,12%,<1%,8%,5%,14%,8%,16%,0%,8%,10%,10%,9%,19%,9%,5%,10%,13%,4%,9%,22%,5%,24%,7%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",Number of respondents,133,77,53,29,41,36,25,79,20,25,56,77,32,47,19,26,11,49,42,15,16,22,67,44,50,47,36,15,13,76
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Honesty/follow through,23%,14%,31%,18%,30%,15%,25%,17%,13%,41%,24%,22%,27%,11%,2%,46%,4%,27%,20%,26%,21%,13%,26%,20%,20%,34%,14%,0%,18%,25%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Immigration,12%,15%,9%,12%,10%,8%,19%,15%,0%,10%,12%,12%,12%,17%,15%,<.5%,0%,20%,11%,3%,0%,15%,16%,3%,14%,8%,13%,9%,31%,11%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Economy,10%,8%,13%,6%,16%,10%,7%,12%,15%,4%,10%,11%,8%,15%,16%,4%,10%,11%,5%,11%,26%,13%,10%,11%,14%,5%,12%,21%,9%,9%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Personality/judgement/attitude/ability,7%,11%,4%,1%,2%,14%,14%,10%,7%,1%,<1%,12%,<.5%,16%,2%,4%,0%,9%,9%,5%,0%,0%,8%,8%,<.5%,15%,8%,2%,6%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Track record,5%,10%,0%,3%,11%,0%,4%,7%,0%,3%,4%,6%,6%,8%,0%,3%,0%,0%,12%,0%,11%,5%,5%,5%,1%,5%,11%,0%,0%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Ideology,4%,5%,2%,0%,0%,14%,6%,5%,8%,2%,10%,<.5%,12%,<1%,11%,0%,0%,6%,<1%,16%,0%,0%,4%,6%,8%,0%,4%,8%,0%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don’t know enough about her,3%,2%,5%,4%,0%,9%,0%,5%,3%,0%,5%,2%,6%,3%,3%,0%,0%,0%,6%,0%,11%,2%,3%,4%,4%,4%,1%,0%,16%,3%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Lack of experience,3%,4%,2%,7%,2%,1%,4%,1%,5%,2%,2%,4%,0%,2%,8%,0%,0%,5%,3%,2%,0%,0%,4%,4%,2%,<1%,8%,0%,3%,5%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Other (specify),14%,12%,15%,11%,18%,16%,8%,12%,22%,20%,21%,9%,14%,11%,43%,7%,44%,12%,11%,7%,20%,30%,10%,14%,15%,18%,8%,34%,6%,15%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] No biggest concern,14%,16%,14%,28%,11%,14%,5%,15%,19%,13%,9%,18%,14%,15%,0%,24%,42%,9%,12%,28%,12%,22%,9%,20%,17%,8%,18%,17%,12%,14%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don't know/refused,4%,2%,5%,9%,0%,0%,8%,1%,9%,4%,2%,5%,0%,2%,0%,10%,0%,<.5%,11%,0%,0%,<1%,4%,4%,4%,3%,4%,10%,1%,4%
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",Number of respondents,133,77,53,29,41,36,25,79,20,25,56,77,32,47,19,26,11,49,42,15,16,22,67,44,50,47,36,15,13,76
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for women than men to get ahead are now largely gone,45%,54%,36%,47%,44%,46%,39%,47%,34%,37%,36%,49%,37%,51%,31%,38%,39%,42%,45%,47%,50%,34%,41%,52%,20%,72%,30%,19%,73%,45%
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for women to get ahead than men,50%,37%,62%,46%,51%,52%,51%,49%,60%,55%,62%,44%,62%,43%,68%,50%,51%,52%,49%,47%,49%,60%,54%,42%,77%,22%,53%,79%,23%,47%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,9%,2%,7%,6%,1%,10%,5%,6%,8%,2%,7%,1%,6%,<1%,12%,10%,6%,6%,6%,<1%,7%,5%,6%,3%,7%,17%,2%,4%,8%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",Business corporations make too much profit,57%,52%,62%,58%,75%,56%,49%,57%,63%,65%,54%,60%,51%,60%,65%,63%,68%,60%,55%,53%,57%,72%,60%,50%,79%,35%,63%,80%,29%,56%
"Which statement comes closer to your view, even if neither is exactly right?",Most corporations make a fair and reasonable amount of profit,36%,43%,31%,35%,21%,40%,42%,37%,27%,32%,42%,33%,44%,34%,31%,29%,20%,34%,37%,44%,35%,20%,32%,45%,18%,57%,22%,15%,62%,38%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,5%,7%,7%,5%,5%,9%,6%,10%,3%,5%,7%,5%,7%,4%,8%,11%,6%,7%,2%,7%,7%,8%,5%,3%,9%,15%,5%,8%,6%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",America’s openness to people from all over the world is essential to who we are as a nation,60%,56%,64%,65%,63%,61%,56%,60%,60%,59%,69%,55%,70%,55%,66%,54%,63%,62%,61%,57%,53%,71%,61%,55%,89%,28%,73%,87%,24%,64%
"Which statement comes closer to your view, even if neither is exactly right?","If America is too open to people from all over the world, we risk losing our identity as a nation",35%,38%,31%,30%,34%,35%,36%,35%,32%,36%,28%,39%,26%,39%,30%,37%,32%,33%,35%,38%,36%,26%,32%,41%,9%,63%,21%,11%,65%,32%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,5%,6%,5%,3%,4%,8%,5%,8%,5%,3%,6%,3%,6%,3%,9%,6%,5%,3%,6%,11%,3%,7%,5%,2%,9%,6%,2%,11%,4%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,46%,47%,46%,37%,38%,48%,56%,49%,35%,35%,55%,41%,58%,46%,51%,23%,30%,44%,55%,39%,42%,49%,46%,45%,65%,28%,34%,67%,30%,41%
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,50%,49%,49%,57%,61%,48%,38%,47%,56%,59%,43%,53%,42%,49%,43%,69%,65%,54%,41%,60%,42%,49%,48%,52%,32%,66%,58%,30%,65%,54%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,4%,5%,6%,<1%,4%,7%,4%,9%,6%,2%,6%,0%,5%,6%,9%,6%,3%,4%,<.5%,15%,3%,6%,4%,3%,6%,8%,3%,5%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Helped people like you,46%,55%,38%,41%,44%,48%,49%,50%,13%,45%,39%,50%,42%,53%,27%,32%,20%,44%,48%,51%,51%,23%,42%,57%,3%,92%,27%,1%,92%,48%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Hurt people like you,36%,26%,45%,31%,38%,36%,36%,35%,47%,32%,39%,34%,37%,35%,48%,33%,54%,33%,37%,34%,34%,61%,35%,30%,71%,<.5%,34%,76%,3%,28%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Haven't made much of a difference either way,17%,18%,17%,27%,15%,16%,15%,14%,34%,23%,22%,15%,21%,11%,24%,31%,14%,23%,14%,14%,16%,13%,22%,13%,25%,7%,35%,22%,5%,23%
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",[VOL] Don't know/Refused,<1%,<1%,<1%,0%,3%,<.5%,<.5%,<.5%,6%,<1%,<.5%,1%,0%,<.5%,<1%,5%,13%,<.5%,<.5%,<.5%,0%,4%,<1%,<.5%,<1%,<.5%,4%,<.5%,0%,1%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Help people like you,39%,29%,48%,42%,35%,37%,42%,37%,66%,32%,42%,37%,40%,36%,52%,45%,59%,37%,38%,39%,38%,59%,38%,34%,77%,2%,22%,85%,5%,27%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Hurt people like you,42%,52%,33%,40%,37%,46%,41%,46%,14%,33%,39%,44%,41%,48%,29%,20%,20%,39%,43%,46%,51%,23%,39%,50%,4%,81%,37%,3%,82%,44%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Wouldn't make much of a difference either way,16%,18%,14%,17%,24%,14%,12%,14%,13%,35%,18%,16%,18%,13%,16%,30%,9%,21%,17%,11%,11%,14%,19%,14%,17%,14%,30%,11%,12%,25%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",[VOL] Don't know/Refused,3%,2%,4%,<.5%,4%,2%,4%,2%,7%,1%,1%,4%,<1%,3%,3%,5%,13%,3%,2%,4%,0%,5%,3%,2%,1%,4%,11%,<1%,1%,4%
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",Society is better off if people make marriage and having children a priority,42%,54%,30%,33%,32%,45%,51%,40%,51%,40%,39%,43%,38%,41%,37%,50%,57%,36%,42%,41%,50%,38%,40%,45%,20%,64%,38%,19%,64%,46%
"Which statement comes closer to your view, even if neither is exactly right?",Society is just as well off if people have priorities other than marriage and children,52%,39%,63%,65%,66%,49%,38%,54%,42%,56%,57%,50%,59%,51%,59%,42%,31%,56%,53%,50%,48%,53%,54%,49%,73%,31%,47%,75%,33%,49%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,7%,7%,2%,2%,6%,11%,6%,8%,4%,4%,8%,3%,8%,4%,7%,12%,8%,4%,9%,3%,8%,6%,7%,6%,5%,15%,6%,4%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",Immigrants today strengthen our country because of their hard work and talents,55%,53%,58%,68%,60%,53%,49%,55%,54%,61%,68%,48%,69%,48%,71%,47%,47%,58%,57%,52%,50%,62%,57%,51%,85%,24%,61%,85%,22%,57%
"Which statement comes closer to your view, even if neither is exactly right?","Immigrants today are a burden on our country because they take our jobs, housing and health care",37%,38%,36%,26%,29%,42%,44%,37%,36%,36%,27%,43%,28%,42%,21%,47%,43%,33%,36%,45%,40%,32%,34%,42%,13%,64%,21%,13%,74%,30%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,9%,6%,5%,11%,5%,7%,8%,11%,3%,5%,9%,3%,10%,8%,6%,10%,9%,7%,3%,11%,6%,9%,7%,3%,12%,18%,2%,5%,13%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has lost out from increased trade because it has cost jobs,53%,48%,57%,55%,46%,55%,53%,53%,57%,51%,46%,56%,44%,57%,51%,56%,56%,51%,51%,48%,65%,49%,55%,52%,37%,70%,41%,34%,72%,55%
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has gained from increased trade because it has helped lower prices,31%,36%,26%,39%,29%,30%,32%,31%,27%,25%,39%,27%,40%,28%,35%,19%,14%,40%,29%,27%,23%,27%,33%,29%,46%,16%,25%,47%,18%,28%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,17%,15%,17%,6%,25%,14%,16%,15%,17%,23%,15%,17%,16%,15%,14%,25%,30%,9%,20%,25%,13%,24%,13%,19%,17%,14%,35%,19%,10%,17%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",Society should accept transgender people as having the gender they identify with,58%,51%,64%,62%,67%,56%,50%,55%,75%,70%,68%,53%,66%,50%,79%,68%,80%,62%,56%,52%,55%,80%,63%,46%,85%,31%,56%,87%,28%,55%
"Which statement comes closer to your view, even if neither is exactly right?",Society should NOT accept transgender people as having the gender they identify with,31%,37%,27%,26%,27%,33%,36%,34%,16%,26%,22%,36%,24%,38%,17%,24%,13%,27%,35%,35%,33%,12%,27%,41%,9%,54%,26%,7%,61%,30%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,11%,12%,9%,12%,6%,11%,14%,11%,9%,4%,9%,12%,11%,12%,4%,8%,7%,11%,9%,14%,12%,8%,10%,13%,6%,15%,18%,6%,11%,14%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A great deal,26%,22%,31%,27%,33%,28%,21%,21%,73%,27%,33%,23%,29%,17%,50%,49%,67%,27%,22%,25%,23%,46%,27%,21%,49%,4%,20%,52%,4%,24%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A fair amount,24%,21%,28%,32%,28%,23%,21%,26%,15%,28%,29%,22%,31%,23%,26%,18%,13%,24%,25%,27%,25%,30%,26%,21%,36%,12%,30%,34%,13%,26%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not much,22%,24%,19%,14%,18%,21%,30%,23%,4%,20%,21%,22%,21%,24%,13%,12%,1%,26%,21%,22%,20%,3%,27%,21%,9%,35%,17%,7%,35%,24%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not at all,24%,30%,19%,26%,19%,25%,23%,27%,6%,22%,14%,30%,16%,32%,8%,19%,14%,21%,30%,23%,26%,16%,17%,35%,4%,44%,30%,4%,46%,22%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",[VOL] Don't know/Refused,3%,3%,3%,1%,2%,3%,4%,3%,3%,3%,3%,3%,3%,3%,4%,3%,4%,2%,3%,3%,6%,4%,3%,3%,2%,4%,2%,2%,3%,4%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Fair amount/Great deal,51%,42%,59%,58%,61%,51%,43%,47%,87%,55%,62%,45%,60%,41%,75%,67%,80%,51%,47%,53%,48%,76%,53%,42%,85%,17%,51%,86%,17%,50%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Not much/Not at all,46%,54%,38%,41%,37%,46%,53%,50%,9%,42%,35%,52%,37%,56%,21%,30%,16%,47%,50%,44%,45%,20%,44%,55%,13%,79%,47%,12%,81%,46%
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,46%,49%,43%,43%,51%,46%,44%,47%,42%,43%,35%,52%,35%,53%,35%,48%,47%,39%,49%,51%,52%,40%,39%,56%,21%,73%,34%,17%,78%,44%
"Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",14%,15%,13%,15%,15%,14%,13%,14%,10%,19%,19%,12%,17%,13%,26%,7%,9%,17%,15%,12%,11%,15%,15%,14%,12%,17%,16%,11%,10%,22%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,1%,<.5%,2%,1%,0%,1%,3%,1%,0%,2%,<.5%,2%,0%,2%,2%,0%,0%,1%,<.5%,2%,4%,1%,2%,<1%,<1%,3%,0%,<1%,2%,1%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,29%,28%,30%,25%,27%,29%,33%,28%,41%,26%,34%,26%,37%,23%,29%,36%,32%,33%,28%,23%,26%,31%,34%,21%,53%,4%,24%,57%,5%,25%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,9%,8%,11%,16%,6%,9%,8%,9%,7%,11%,12%,8%,12%,8%,9%,9%,13%,10%,8%,12%,6%,12%,10%,8%,13%,3%,27%,14%,5%,8%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
NA,[VOL] Social media,21%,21%,21%,37%,38%,16%,6%,20%,23%,29%,18%,22%,18%,21%,19%,31%,53%,18%,19%,23%,17%,31%,19%,20%,18%,22%,29%,17%,21%,23%
NA,[VOL] Fox News,13%,16%,11%,9%,7%,16%,17%,13%,12%,11%,12%,14%,12%,14%,11%,12%,13%,13%,10%,15%,17%,13%,13%,14%,2%,25%,5%,3%,31%,8%
NA,"[VOL] National television networks, like CBS, NBC or ABC",12%,9%,15%,5%,8%,15%,16%,13%,7%,7%,10%,13%,12%,14%,5%,8%,4%,11%,11%,16%,14%,10%,11%,13%,19%,6%,4%,22%,6%,9%
NA,[VOL] CNN,7%,6%,8%,8%,3%,9%,8%,6%,15%,13%,8%,7%,6%,6%,15%,14%,6%,6%,10%,9%,4%,7%,6%,9%,13%,3%,<1%,11%,3%,9%
NA,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",6%,6%,6%,5%,11%,4%,6%,6%,1%,10%,12%,3%,11%,3%,12%,1%,<.5%,8%,5%,7%,4%,7%,7%,5%,9%,3%,2%,7%,2%,8%
NA,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",4%,3%,6%,5%,2%,4%,5%,4%,6%,9%,5%,4%,3%,4%,11%,5%,3%,5%,4%,2%,6%,6%,7%,1%,4%,4%,10%,3%,7%,3%
NA,[VOL] Public Radio/NPR/PBS,4%,3%,6%,3%,7%,5%,3%,5%,3%,0%,9%,2%,10%,2%,4%,0%,0%,5%,5%,3%,4%,8%,6%,2%,9%,0%,0%,9%,0%,4%
NA,[VOL] MSNBC,4%,4%,4%,0%,2%,5%,7%,4%,9%,4%,5%,4%,3%,4%,10%,3%,4%,4%,5%,4%,3%,5%,5%,3%,9%,0%,0%,11%,0%,3%
NA,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,2%,9%,3%,<.5%,3%,3%,0%,3%,2%,3%,3%,3%,0%,3%,0%,2%,4%,1%,6%,3%,2%,4%,2%,3%,4%,2%,2%,5%
NA,[VOL] Newsmax,2%,<.5%,4%,0%,<.5%,0%,4%,3%,0%,0%,1%,3%,2%,3%,0%,0%,0%,3%,3%,<1%,<1%,0%,3%,2%,0%,5%,0%,0%,8%,0%
NA,[VOL] Talk radio/conservative personality,2%,2%,2%,1%,2%,2%,2%,2%,0%,<1%,2%,2%,3%,2%,1%,0%,0%,2%,2%,2%,3%,0%,2%,2%,0%,4%,0%,0%,2%,3%
NA,[VOL] Local print or online news organizations,1%,2%,1%,<.5%,0%,1%,3%,1%,3%,0%,2%,<1%,2%,<1%,1%,2%,7%,<.5%,2%,<1%,0%,3%,<1%,2%,1%,2%,0%,2%,1%,1%
NA,[VOL] Conservative news sites,1%,1%,1%,<1%,<1%,2%,1%,1%,0%,0%,1%,<1%,1%,1%,0%,0%,0%,<1%,<1%,1%,4%,0%,<.5%,3%,0%,2%,3%,0%,2%,1%
NA,[VOL] Friends and family,1%,2%,<1%,0%,2%,<.5%,2%,1%,2%,0%,<.5%,2%,<.5%,2%,0%,1%,0%,1%,<1%,3%,1%,0%,<1%,2%,1%,1%,2%,1%,<.5%,2%
NA,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",<1%,2%,<.5%,<.5%,1%,2%,<.5%,1%,0%,0%,2%,<.5%,3%,<1%,0%,0%,0%,1%,1%,<1%,0%,0%,1%,<1%,1%,<1%,0%,<1%,<1%,2%
NA,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<1%,<1%,0%,0%,1%,<1%,<1%,0%,0%,<.5%,<1%,<1%,<1%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,1%,0%,0%,2%,0%,0%
NA,[VOL] Doesn’t consume news,2%,2%,1%,6%,1%,<.5%,3%,1%,5%,3%,0%,3%,0%,2%,0%,7%,0%,3%,2%,0%,2%,0%,2%,2%,2%,1%,6%,2%,0%,2%
NA,[VOL] Other (includes no preference and the internet),8%,12%,5%,4%,8%,12%,7%,9%,6%,4%,8%,9%,7%,9%,7%,3%,<1%,9%,10%,6%,8%,4%,7%,11%,4%,12%,17%,3%,10%,11%
NA,[VOL] Don't know/Refused,6%,6%,5%,7%,5%,5%,6%,5%,7%,7%,4%,7%,4%,6%,4%,9%,10%,5%,5%,6%,6%,5%,6%,5%,4%,6%,17%,4%,4%,6%
NA,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Are you, or is any member of your household, a member of a labor union?","Yes, you are a member",11%,14%,9%,6%,11%,10%,14%,11%,22%,8%,9%,12%,11%,10%,3%,23%,12%,14%,11%,11%,6%,11%,11%,11%,12%,11%,10%,14%,10%,10%
"Are you, or is any member of your household, a member of a labor union?","Yes, another member of your household is a member",13%,10%,17%,14%,11%,16%,13%,12%,15%,15%,14%,13%,12%,13%,18%,13%,15%,16%,11%,10%,14%,12%,15%,12%,11%,14%,25%,12%,10%,15%
"Are you, or is any member of your household, a member of a labor union?","Yes, you and another member of your household are members",3%,3%,3%,4%,4%,5%,<.5%,4%,3%,0%,3%,3%,3%,4%,2%,1%,5%,2%,4%,6%,<1%,2%,2%,5%,4%,3%,<.5%,6%,2%,2%
"Are you, or is any member of your household, a member of a labor union?",No,72%,73%,70%,74%,73%,69%,72%,73%,58%,74%,74%,71%,74%,73%,77%,58%,66%,67%,74%,74%,77%,74%,72%,71%,73%,71%,65%,69%,78%,72%
"Are you, or is any member of your household, a member of a labor union?",[VOL] Don’t know/Refused,<1%,<.5%,<1%,2%,<1%,<.5%,<1%,<.5%,2%,3%,0%,<1%,0%,<.5%,0%,4%,2%,<1%,0%,0%,2%,<1%,<1%,<1%,<.5%,<1%,0%,<1%,0%,<1%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,12%,8%,16%,14%,21%,11%,7%,12%,15%,12%,13%,12%,14%,11%,11%,15%,6%,14%,12%,18%,6%,11%,13%,12%,23%,2%,5%,28%,3%,7%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,14%,12%,16%,14%,13%,15%,13%,16%,8%,10%,15%,14%,15%,16%,17%,4%,1%,16%,14%,13%,13%,18%,14%,13%,26%,3%,10%,34%,3%,6%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,31%,31%,31%,40%,31%,31%,27%,29%,35%,41%,40%,26%,35%,26%,49%,30%,49%,31%,30%,29%,27%,36%,34%,26%,35%,26%,36%,22%,16%,49%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,18%,24%,12%,10%,20%,20%,19%,18%,20%,19%,19%,18%,21%,16%,14%,23%,15%,20%,14%,18%,24%,11%,19%,19%,9%,29%,11%,5%,23%,24%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,20%,21%,20%,16%,10%,20%,28%,23%,9%,8%,12%,24%,14%,27%,7%,10%,7%,17%,23%,20%,26%,8%,15%,29%,3%,38%,17%,4%,52%,11%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,5%,4%,5%,5%,4%,2%,6%,3%,13%,10%,<1%,7%,<1%,4%,2%,19%,22%,2%,7%,2%,4%,15%,5%,2%,4%,3%,21%,6%,3%,3%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,4%,10%,8%,7%,6%,11%,7%,16%,11%,1%,11%,1%,9%,1%,22%,37%,7%,5%,8%,6%,18%,8%,5%,9%,6%,17%,9%,9%,6%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",18%,16%,20%,21%,13%,10%,30%,17%,18%,24%,9%,23%,8%,21%,7%,31%,11%,15%,19%,21%,22%,21%,18%,18%,16%,18%,36%,16%,15%,22%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",33%,34%,33%,29%,35%,33%,31%,35%,24%,28%,30%,35%,29%,37%,30%,23%,29%,26%,38%,40%,33%,32%,27%,41%,34%,34%,15%,34%,34%,31%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",24%,28%,21%,24%,33%,29%,13%,25%,26%,18%,36%,18%,37%,20%,35%,12%,14%,30%,21%,19%,26%,20%,27%,22%,26%,23%,22%,26%,24%,24%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",10%,11%,10%,9%,7%,18%,5%,10%,8%,16%,21%,5%,22%,5%,25%,4%,0%,18%,8%,6%,8%,4%,15%,6%,11%,11%,3%,9%,13%,11%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,6%,6%,6%,9%,6%,3%,9%,6%,7%,3%,3%,8%,3%,8%,2%,7%,8%,4%,9%,7%,5%,5%,5%,9%,4%,9%,7%,6%,5%,7%
